UNITID,school_name.x,coach_comp_third,support_comp_third,coach_comp,guarantees,total_ops,aid,support_comp,severance,recruiting,team_travel,equip,game_expenses,marketing,camps,spirits,facilities,overhead,indirect_institutional,medical,membership,meals,otherops,bowl_expenses,prof_def,bowl_coachcomp,total_expenditure,discounts_to_tuition,gifts,research_expenditure,graduation_rate
204796,Ohio State University-Main Campus,0,0,38623058.6,6959556,207175595,22017950.2,37027170.4,1350930.4,2331941.2,9976365.8,5235287.6,5426389.2,766081.2,917783,447529.6,24100663.4,27126575.4,0,2151663.2,360078.6,5247383.8,10157503.4,5040133.6,15430349.666666666,1911550.4,410174559,211126470.25,150783127,517376408.5,22029.5
204857,Ohio University-Main Campus,0,0,5849319.8,751721,31876675,8666178.8,3538885.2,0,434763.2,1873766,619554.6,463661.8,879356.4,166002.8,0,2369288.6,1902852,2596090.5,625694.4,295310.2,164337.8,394361.4,249234.6,-1236555,31787.4,62764220.25,66254760.75,0,49126423.5,29076.25
206084,University of Toledo,0,0,6952445.4,598052.8,33729015.8,8915106,4258805.8,0,452389.4,1503935.4,1662416,1602810.2,551706,140542.4,69649,1410948,667220.4,2006233.6,445027,184861.6,377514,1599457.2,302568.4,0,27327.2,66521145,80375506.25,5246672.25,44385408,31183
207388,Oklahoma State University-Main Campus,0,0,20357167.6,1240983,91549349.8,7822848.8,18097199.8,156298.2,1286338.4,5893391.8,5125748,3041826.4,2382250.6,288699.8,335754.4,3535778,10730058.4,0,1165419.8,341410.6,1432832,6205992.6,1664627.2,702227.25,444724.4,177645213.25,113379238.75,35386949.25,144206148.75,28064.5
207500,University of Oklahoma-Norman Campus,0,0,30283360.2,1840876.8,157463627.4,16118134,21446562.2,457801.2,2536572.8,7553066.6,6763294.2,10502456.4,4234561.4,0,400477.8,14349863.6,26798870.8,0,2694982.6,140018.6,2136331.2,6234952.2,2466929.6,6247993.6,504515.2,313139642,110711500,81376500,148001500,20578.75
209542,Oregon State University,0,0,16762899,1336877,80862924,10244921.8,13161253.8,485628.4,1424738.6,4295065.2,4260551.2,3252115.8,1722302.4,565973.2,111236.6,8289601.4,4496296.6,0,1510358.6,2753023.8,1513247,4262691,394142.6,-7888330,20000,156320414,83271932.25,54289191.5,217653853,26638.75
209551,University of Oregon,154470,32680,24778937.2,2234704.4,122289562.4,13893288.4,21371290.8,596776.2,1763840,5643315.4,3844146.2,3549319,955673.4,206243.6,374384.2,18771303.4,14049659.8,0,1680709.8,79041,1815111,4321856.6,1685812,75709884.75,487000,307914827.75,84977967.75,96323805.75,91804874.5,47733.5
214777,Pennsylvania State University-Main Campus,0,0,31591789.6,2509849.4,154811073.6,21289611.2,28188914.6,500251.4,2442975.8,7372562.8,3646532.6,8749030.2,1500692.8,0,334514,16556021.2,11622893,0,1915072.6,94676.2,1860304,11985295.4,2211951,8050628.75,438135.8,307135938.25,NA,NA,NA,19882.5
217882,Clemson University,0,0,24533940.6,1988586.6,128675430.6,17984926.6,25382029.4,150073.8,2610770.2,6136300.6,3613123.8,4778963.4,5539271.6,679984.4,390294.6,9652627.4,6394075,0,979848.2,65253,2624412.6,10190166,3340179.2,6053763.25,1640603.6,252332230.25,110203911.75,93940342.25,212030538.25,39171.25
218663,University of South Carolina-Columbia,6642000,499812.8,17814900.6,2117600.8,136139938.6,17003060,26824858.4,4025018.2,1622235.4,6645433.6,3766361.4,7279354.2,1856548.2,125837.4,368012,13944318.2,15884809.4,0,2056139.2,138927,1157322,5398092,752697.2,4609732.333333333,216600.6,271399457.25,261050711.25,39874099,155883179,22771
218724,Coastal Carolina University,0,0,7576268.8,538136.8,39596224.2,9019404.6,4723220.4,70075.4,630150.8,2503615,992225.6,1369213,94036.8,0,231620,3159478.2,2236091.8,4980829.2,167833,128718.6,293860.4,475538.8,233907,131764.2,172000,76433376.25,44260673.5,3719097.75,1609399,18978.25
220862,University of Memphis,0,0,12580792.4,990152.2,56305510,9207328.4,6779187.6,2028080.2,710399.2,4061621.4,2300847.8,2262732.4,785842.4,0,163882.6,1957477.6,2013684.4,2825841.6,1117927,29943,1044330.2,3734613,1127329.8,403819,372485,109816364.75,72418270.25,24751766.75,65981818.5,37121.5
220978,Middle Tennessee State University,0,0,6370361.2,344517.8,34566892.4,8971363.4,4300724.4,7807.2,472536.8,3018603.6,909054.6,729421.2,858012.8,0,4102.4,1274841,948550.4,1992461,829802.6,47032.8,250803.2,3004066.6,185125.6,0,47703.8,68609975,66216894.5,4384517.75,9327168.25,39957.75
221759,The University of Tennessee-Knoxville,0,0,25242050.6,3075610.2,144620618.4,15874960.8,27756430,4006846.2,2962990.8,7371439.4,4038037.6,5506815,5520466.8,391064.4,516114.4,14393171.6,13104499,0,2291081.2,63435,3359312,8339566.4,544088.6,-1646018,262638.4,281762714,156089740,11861899.5,289468380.75,12884.25
225511,University of Houston,0,0,15258112.2,1109011.6,67631572,8407078,10963278.8,0,611542,3603149.8,1710709.6,2038693.2,698602.4,50439.2,0,6169188,9989417.2,887353,1793538.8,30305.8,2070246,1716535.2,415878.2,1175416.75,108493,132280724.25,139605393,83016835.5,199785275.5,28658.75
227216,University of North Texas,0,0,7739656.2,689061,41327676.4,6306653,6982537.6,209089.2,389577.2,2535529,1274075.4,1802275.6,720324.8,86282.4,81581,6089468.8,3914155.2,326123,734238.4,380904.8,354973.8,190801.2,354642,672495.6,165726.8,81984844.5,115127220.5,15700514.75,71259376,27087
228459,Texas State University,0,0,5426128.8,355054.2,35779578.8,6007174.2,4789010.6,260636.8,457021.2,2524267.4,807242.2,1119637.8,760972.2,0,131390.4,5037183.4,5463635.2,425376,470402,112927.8,690751.8,940766.8,0,1331725.5,0,71853947.5,112252210.75,9558245,68985392.5,22708.75
228723,Texas A & M University-College Station,0,0,33043770.8,3392484.2,162685530.8,11977282.4,23759713.6,2646013.4,2959389,9263091.4,3333094.8,4487160.2,310786.6,2702087.4,105604,23351247.4,16045967.2,0,1132441.2,217231.2,3171048.4,19220612.2,1300359.2,26693168.2,266146.2,347377407.5,179806700.75,144516655.75,873708672.25,28731.75
228778,The University of Texas at Austin,0,0,35137495.4,2709099.8,194024607.2,12752424.4,36952734.8,5306783.6,2704296.2,9019282.6,3175449.4,10556888.8,7513142.8,1403096.4,840923.2,21592929.8,30310073.2,0,2620314.6,434500.4,3097608.2,6953661.6,690385.4,18438863.25,253516.6,387389466.5,184091915.5,215000498,645822379.25,18235
228796,The University of Texas at El Paso,94559.4,35588,6030712.2,647483.8,32053345.4,7503537.4,4438780.8,295534.8,481196.4,2732594.6,837085.6,1172084.6,828400.8,46981.4,176527.6,1416925.2,1235484.8,1637387.6,897510,360394,568987.8,494684.2,81967.4,759210.75,38937,63707310.25,54911444.75,6611148.75,97922110.5,17274.5
229027,The University of Texas at San Antonio,0,71268.4,6681685.2,482176.8,32443489.4,6299988.6,4996946.8,496902.4,517029.4,2801237.8,1034516,1552674,563557,87005.8,88226.8,807902.8,2212092.4,650147.4,890536.6,364322.8,375241.4,1265881.8,141997.6,914983.25,62151.6,62445525.75,100925081,24622608,99744924,16762.75
229115,Texas Tech University,0,0,19396663.8,1958652.8,92212235.8,7458376,19514266.8,1787594.8,2036480.6,7253185.2,2068980.4,4152731.6,2116221.6,0,109847.4,9399324.8,7475339.2,0,1833379.2,129591.6,1060530,3813527.6,500485.4,2851320.4,147057,180361455.5,99227433,39813857.75,197741103.25,26507
230728,Utah State University,600463.8,0,8307944.4,590921.2,39788605.6,6550744,4788965.6,319154.8,501540.4,2905394.4,1347219,860186,476414.2,0,13836.6,4877891.4,789066.4,2129169,670470,520426.8,643818.4,2161703.8,559030.6,381193.5,174244.8,78357201.75,89319521.75,23670277,227773484,20565.5
