my_id,school_name,1819_coach_comp_third,1819_support_comp_third,1819_coach_comp,1819_guarantees,1819_total_ops,1819_aid,1819_support_comp,1718_severance,1718_recruiting,1718_teamtravel,1718_equip,1718_game_expenses,1718_marketing,1718_camps,1718_spirit,1718_facilities_rentals,1718_overhead,1718_indirect_institutional,1718_medical,1718_memberships,1718_meals,1718_otherops,1718_bowl_expense,1718_prof_def,1718_bowl_coachcomp
63,New Mexico State,$0 ,$0 ,"$4,397,811 ","$216,200 ","$25,693,309 ","$7,673,915 ","$3,107,134 ",$0 ,"$401,687 ","$2,555,498 ","$602,230 ","$1,159,676 ","$360,359 ",$0 ,"$101,440 ","$240,000 ","$1,360,434 ","$826,694 ","$565,325 ","$245,424 ","$450,866 ","$1,125,305 ","$283,311 ","$626,921 ","$20,000 "
64,North Carolina,$0 ,$0 ,"$18,978,962 ","$1,166,800 ","$102,430,558 ","$16,613,846 ","$16,879,694 ",$0 ,"$1,883,458 ","$6,865,161 ","$3,657,491 ","$3,972,723 ","$729,294 ",$0 ,"$421,147 ","$3,096,184 ","$9,851,122 ","$1,813,707 ","$2,789,471 ","$2,491,179 ","$1,310,081 ","$9,910,238 ",$0 ,"$2,140,846 ",$0 
65,North Texas,$0 ,$0 ,"$6,966,062 ","$909,918 ","$38,635,792 ","$5,928,828 ","$6,440,367 ","$631,677 ","$378,188 ","$2,579,322 ","$1,574,244 ","$1,958,081 ","$850,808 ","$422,578 ",$0 ,"$4,497,601 ","$3,177,292 ",$0 ,"$671,095 ","$397,672 ","$188,053 ","$175,446 ","$687,690 ","($633,416)","$200,870 "
66,Northern Illinois,$0 ,$0 ,"$4,336,410 ","$773,500 ","$25,821,426 ","$7,683,032 ","$2,827,909 ","$33,475 ","$323,571 ","$2,197,366 ","$962,037 ","$823,207 ","$742,214 ","$181,483 ","$21,828 ","$1,092,368 ","$944,716 ","$367,733 ","$620,147 ","$289,111 ","$106,511 ","$968,181 ","$408,799 ","$34,974 ","$117,828 "
67,Ohio,$0 ,$0 ,"$5,752,243 ","$869,350 ","$35,869,324 ","$8,403,029 ","$3,303,172 ",$0 ,"$635,731 ","$2,021,566 ","$755,327 ","$474,366 ","$1,006,993 ","$258,453 ",$0 ,"$2,368,136 ","$5,406,521 ","$2,554,390 ","$642,153 ","$328,391 ",$0 ,"$631,744 ","$457,759 ","($2,559,287)",$0 
68,Ohio State,$0 ,$0 ,"$38,911,213 ","$4,103,107 ","$203,809,715 ","$21,305,478 ","$35,348,842 ","$6,397,241 ","$2,819,239 ","$12,003,148 ","$4,971,124 ","$5,716,581 ","$1,333,662 ","$1,426,016 ","$468,841 ","$20,919,781 ","$25,861,331 ",$0 ,"$1,468,239 ","$333,507 ","$3,742,691 ","$11,166,277 ","$4,181,828 ","$1,746,948 ","$1,331,569 "
69,Oklahoma,$0 ,$0 ,"$25,830,103 ","$2,410,621 ","$152,674,475 ","$15,056,236 ","$21,150,588 ","$465,918 ","$2,542,581 ","$7,813,896 ","$6,824,576 ","$12,432,367 ","$5,259,551 ",$0 ,"$319,831 ","$14,842,471 ","$21,784,826 ",$0 ,"$1,807,040 ","$100,663 ","$2,346,159 ","$8,662,937 ","$2,610,687 ","$22,651,025 ","$413,424 "
70,Oklahoma State,$0 ,$0 ,"$18,007,541 ","$1,146,945 ","$88,228,667 ","$7,456,645 ","$16,856,943 ","$236,385 ","$1,817,717 ","$6,397,218 ","$5,662,812 ","$3,005,316 ","$2,607,300 ",$0 ,"$394,160 ","$3,556,969 ","$6,591,528 ",$0 ,"$1,374,672 ","$291,566 ","$1,000,085 ","$9,647,198 ","$1,811,724 ","$287,700 ","$365,943 "
71,Old Dominion,$0 ,$0 ,"$7,347,516 ","$652,481 ","$45,189,213 ","$9,678,274 ","$6,540,028 ",$0 ,"$805,815 ","$3,453,672 ","$1,967,260 ","$1,416,890 ","$795,040 ","$3,106 ","$93,782 ","$4,361,257 ","$4,891,067 ",$0 ,"$385,028 ","$406,924 ","$21,255 ","$2,369,818 ",$0 ,"($918,180)",$0 
72,Ole Miss,$0 ,$0 ,"$18,861,309 ","$3,757,700 ","$116,812,268 ","$10,616,926 ","$17,547,390 ","$5,174,614 ","$1,683,435 ","$5,614,309 ","$4,649,788 ","$6,824,286 ","$2,793,823 ","$645,710 ","$774,522 ","$17,629,731 ","$14,124,916 ",$0 ,"$1,199,187 ","$61,125 ","$989,234 ","$3,864,263 ",$0 ,"($5,899,651)",$0 
73,Oregon,"$153,800 ","$33,000 ","$22,967,829 ","$2,536,571 ","$119,811,239 ","$13,261,559 ","$20,227,415 ",$0 ,"$1,878,901 ","$5,305,807 ","$3,686,367 ","$3,724,409 ","$1,210,467 ","$495,590 ","$360,109 ","$19,089,414 ","$16,595,070 ",$0 ,"$1,357,824 ","$93,752 ","$1,631,125 ","$3,885,815 ","$1,181,415 ","$2,730,588 ","$135,000 "
74,Oregon State,$0 ,$0 ,"$16,083,039 ","$1,659,963 ","$88,600,330 ","$9,932,095 ","$13,596,308 ","$1,085,472 ","$1,443,224 ","$4,647,814 ","$4,205,824 ","$3,032,955 ","$1,881,904 ","$1,479,760 ","$272,527 ","$12,978,403 ","$4,983,783 ",$0 ,"$2,031,214 ","$3,579,311 ","$1,247,603 ","$4,459,131 ",$0 ,"($7,888,330)",$0 
75,Penn State,$0 ,$0 ,"$29,229,628 ","$3,448,700 ","$155,184,697 ","$20,261,209 ","$26,517,915 ","$148,135 ","$2,708,778 ","$7,962,950 ","$3,194,317 ","$8,159,696 ","$1,928,620 ",$0 ,"$326,068 ","$20,230,213 ","$11,939,450 ",$0 ,"$2,009,560 ","$91,103 ","$1,452,644 ","$11,838,152 ","$3,150,866 ","$10,188,517 ","$586,693 "
76,Purdue,"$121,672 ","$71,747 ","$17,990,815 ","$1,466,313 ","$95,176,957 ","$11,512,537 ","$18,513,698 ","$2,158,867 ","$1,459,650 ","$5,705,758 ","$1,924,416 ","$2,691,122 ","$2,285,723 ",$0 ,"$271,573 ","$9,675,766 ","$8,799,721 ",$0 ,"$1,098,548 ","$140,305 ","$2,373,792 ","$4,805,954 ","$1,838,241 ","$7,915,247 ","$270,739 "
77,Rutgers,"$808,315 ","$111,057 ","$17,397,449 ","$2,923,728 ","$102,518,486 ","$16,824,971 ","$19,340,875 ","$2,017,961 ","$1,881,103 ","$7,538,225 ","$5,129,968 ","$4,679,748 ","$1,336,480 ",$0 ,"$629,234 ","$6,147,171 ","$9,834,111 ",$0 ,"$1,384,737 ","$102,071 ","$2,570,862 ","$1,860,420 ",$0 ,"($1,773,100)",$0 
78,San Diego State,$0 ,$0 ,"$10,168,259 ","$955,316 ","$54,933,032 ","$8,808,212 ","$10,674,786 ",$0 ,"$684,266 ","$3,677,619 ","$1,397,149 ","$2,413,285 ","$4,471,306 ","$160,913 ","$367,287 ","$2,710,105 ","$1,800,661 ","$1,943,458 ","$867,023 ","$491,563 ","$624,714 ","$1,275,144 ","$1,131,940 ","$754,152 ","$310,026 "
79,San Jose State,$0 ,$0 ,"$7,910,851 ","$815,000 ","$32,563,136 ","$8,108,637 ","$5,341,355 ","$467,615 ","$409,818 ","$2,879,773 ","$1,416,581 ","$1,191,078 ","$442,115 ",$0 ,"$21,462 ","$448,101 ",$0 ,"$1,028,960 ","$529,984 ","$516,467 ","$66,828 ","$968,511 ",$0 ,"$1,596,061 ",$0 
80,South Alabama,$0 ,$0 ,"$5,906,508 ","$210,500 ","$29,894,011 ","$7,018,864 ","$4,985,031 ",$0 ,"$400,965 ","$2,054,137 ","$2,353,707 ","$727,558 ","$342,509 ",$0 ,"$291,734 ","$1,690,857 ","$1,007,877 ",#N/A,"$605,963 ","$115,298 ","$193,896 ","$1,988,607 ",$0 ,"($853,053)",$0 
81,South Carolina,"$7,187,500 ","$487,813 ","$15,336,867 ","$1,734,904 ","$134,863,557 ","$16,418,748 ","$24,390,153 ","$910,269 ","$2,128,667 ","$7,614,883 ","$3,794,458 ","$7,771,451 ","$2,347,843 ","$108,721 ","$575,947 ","$13,550,745 ","$19,853,281 ",$0 ,"$1,703,227 ","$84,363 ","$1,571,419 ","$5,409,459 ","$1,653,830 ","$5,220,593 ","$229,009 "
82,South Florida,"$25,000 ","$5,000 ","$8,948,865 ","$1,142,009 ","$50,674,340 ","$6,328,125 ","$8,797,191 ","$829,632 ","$1,029,164 ","$4,613,153 ","$2,140,521 ","$1,656,872 ","$1,203,863 ","$13,092 ","$295,225 ","$5,137,474 ","$2,672,606 ",$0 ,"$821,813 ","$40,480 ","$768,003 ","$3,378,414 ","$716,338 ","($5,118,227)","$111,500 "
83,Southern Mississippi,$0 ,$0 ,"$4,439,843 ","$394,687 ","$26,135,504 ","$5,518,865 ","$3,332,307 ",$0 ,"$687,450 ","$2,386,444 ","$624,615 ","$1,174,027 ","$308,181 ","$150,630 ",$0 ,"$1,904,808 ","$707,010 ","$480,000 ","$462,203 ","$361,052 ","$70,723 ","$2,598,751 ","$431,922 ","($1,886,784)","$101,986 "
84,Tennessee,$0 ,$0 ,"$21,843,304 ","$3,120,400 ","$150,030,497 ","$14,530,655 ","$25,770,210 ","$13,768,072 ","$3,220,244 ","$8,041,157 ","$4,367,250 ","$5,201,736 ","$7,220,868 ","$271,735 ","$807,284 ","$16,877,236 ","$13,759,807 ",$0 ,"$1,611,841 ","$72,811 ","$2,306,733 ","$7,239,154 ",$0 ,"($6,485,382)",$0 
85,Texas,$0 ,$0 ,"$26,052,112 ","$2,157,000 ","$206,554,432 ","$12,655,927 ","$42,055,348 ","$7,846,472 ","$3,199,072 ","$8,877,600 ","$3,332,058 ","$11,177,668 ","$10,718,887 ","$2,806,831 ","$840,865 ","$24,519,458 ","$36,339,130 ",$0 ,"$1,680,414 ","$446,387 ","$2,747,988 ","$8,218,228 ","$723,587 ","$12,848,147 ","$159,400 "
86,Texas A&M,$0 ,$0 ,"$32,752,266 ","$3,976,183 ","$165,782,418 ","$11,133,891 ","$21,104,092 ","$8,031,684 ","$3,036,727 ","$9,913,279 ","$3,247,123 ","$4,219,713 ","$289,232 ","$3,973,166 ","$106,478 ","$24,836,875 ","$15,431,262 ",$0 ,"$851,544 ","$184,797 ","$2,886,049 ","$18,106,588 ","$1,186,588 ","$46,617,008 ","$514,881 "
87,Texas State,$0 ,$0 ,"$4,666,402 ","$265,265 ","$34,470,226 ","$5,282,035 ","$4,450,272 ","$101,916 ","$531,321 ","$2,583,586 ","$475,419 ","$1,093,784 ","$975,733 ",$0 ,"$153,653 ","$3,803,890 ","$6,915,386 ","$419,880 ","$283,464 ","$118,334 ","$680,664 ","$1,669,222 ",$0 ,"$2,797,532 ",$0 
88,Texas Tech,$0 ,$0 ,"$17,165,340 ","$2,081,315 ","$88,948,721 ","$7,401,068 ","$18,408,838 ",$0 ,"$1,833,803 ","$7,101,082 ","$2,224,531 ","$3,915,967 ","$2,262,990 ",$0 ,"$135,661 ","$11,519,148 ","$7,890,588 ",$0 ,"$1,208,436 ","$137,059 ","$918,101 ","$3,730,913 ","$731,260 ","$311,062 ","$282,621 "
89,Toledo,$0 ,$0 ,"$6,286,354 ","$709,764 ","$33,776,969 ","$8,368,053 ","$3,936,445 ",$0 ,"$557,945 ","$1,951,515 ","$1,866,466 ","$1,792,384 ","$612,592 ","$284,020 ","$59,767 ","$1,367,467 ","$537,071 ","$2,197,547 ","$435,136 ","$208,241 ","$417,715 ","$1,585,915 ","$554,072 ",$0 ,"$48,500 "
90,UAB,$0 ,$0 ,"$6,579,779 ","$788,930 ","$35,809,571 ","$8,522,659 ","$5,850,694 ",$0 ,"$655,128 ","$2,749,655 ","$1,477,238 ","$1,152,635 ","$720,852 ",$0 ,"$696,201 ","$1,074,179 ","$1,052,294 ","$232,275 ","$557,932 ","$371,482 ","$436,253 ","$2,286,707 ","$456,441 ","($1,073,284)","$148,237 "
91,UCF,$0 ,$0 ,"$10,845,275 ","$1,345,345 ","$61,118,971 ","$8,838,863 ","$9,380,340 ","$450,103 ","$717,790 ","$3,618,969 ","$2,116,743 ","$2,179,776 ","$1,113,266 ",$0 ,"$210,682 ","$5,400,149 ","$4,835,949 ",$0 ,"$608,867 ","$188,041 ","$1,053,447 ","$4,021,248 ","$3,355,718 ","$849,086 ","$838,400 "
92,UCLA,$0 ,$0 ,"$23,231,458 ","$1,596,000 ","$130,960,560 ","$14,536,160 ","$21,759,738 ","$12,535,781 ","$1,620,167 ","$7,077,656 ","$4,658,610 ","$8,308,083 ","$1,461,774 ","$2,734,843 ","$59,912 ","$3,952,902 ","$9,707,991 ",$0 ,"$990,900 ","$102,640 ","$3,094,623 ","$11,867,742 ","$1,533,580 ",$0 ,"$130,000 "
93,UNLV,"$35,000 ",$0 ,"$7,165,744 ","$1,207,472 ","$50,014,197 ","$8,231,499 ","$6,396,855 ","$650,404 ","$1,173,505 ","$2,695,892 ","$2,454,205 ","$1,192,739 ","$2,058,523 ",$0 ,"$411,060 ","$3,282,889 ","$5,102,081 ","$3,877,138 ","$826,692 ","$531,582 ","$364,533 ","$2,356,384 ",$0 ,"$554,095 ",$0 
94,Utah,$0 ,$0 ,"$18,691,407 ","$1,549,419 ","$87,578,834 ","$10,894,082 ","$13,181,124 ","$932,486 ","$1,964,161 ","$6,246,860 ","$3,670,190 ","$2,507,890 ","$2,265,404 ","$357,477 ","$416,421 ","$6,769,976 ","$1,204,213 ","$1,782,799 ","$1,092,534 ","$140,254 ","$1,276,811 ","$10,969,074 ","$1,187,574 ","$3,807,759 ","$478,678 "
95,Utah State,"$643,515 ",$0 ,"$6,879,576 ","$607,511 ","$39,075,114 ","$6,156,344 ","$4,672,329 ","$357,641 ","$592,703 ","$3,007,743 ","$1,249,773 ","$937,272 ","$614,542 ",$0 ,"$20,500 ","$5,787,651 ","$867,770 ","$1,955,064 ","$410,719 ","$519,729 ","$675,595 ","$2,240,879 ","$684,798 ","($362,717)","$193,460 "
96,UTEP,"$113,093 ","$45,447 ","$5,818,902 ","$651,787 ","$33,439,133 ","$7,822,109 ","$4,083,379 ","$1,291,472 ","$658,861 ","$2,998,163 ","$804,121 ","$1,108,283 ","$964,750 ","$49,687 ","$313,130 ","$1,486,368 ","$1,171,156 ","$1,652,124 ","$898,790 ","$362,729 ","$569,053 ","$575,729 ",$0 ,"($583,830)",$0 
97,UTSA,$0 ,$0 ,"$6,227,774 ","$412,400 ","$31,308,818 ","$6,029,598 ","$4,712,379 ","$416,365 ","$655,670 ","$3,056,580 ","$949,232 ","$1,242,885 ","$360,909 ","$150,031 ","$107,034 ","$914,392 ","$2,869,804 ","$611,370 ","$553,268 ","$81,593 ","$647,472 ","$1,310,062 ",$0 ,"($940,625)",$0 
98,Virginia,$0 ,$0 ,"$22,231,786 ","$1,694,500 ","$106,926,915 ","$18,961,246 ","$18,066,114 ","$680,717 ","$1,740,460 ","$7,090,402 ","$2,154,621 ","$4,887,371 ","$486,916 ","$143,269 ","$146,483 ","$9,650,642 ","$9,210,271 ",$0 ,"$1,576,317 ","$100,014 ","$1,219,622 ","$5,798,554 ","$801,339 ","($345,345)","$286,271 "
99,Virginia Tech,$0 ,$0 ,"$19,474,615 ","$1,303,531 ","$93,588,260 ","$14,281,972 ","$13,685,760 ","$490,257 ","$1,588,752 ","$4,934,968 ","$2,471,725 ","$4,687,876 ","$952,087 ",$0 ,"$477,962 ","$5,932,008 ","$15,031,617 ",$0 ,"$1,216,525 ","$60,931 ","$1,587,761 ","$3,183,162 ","$1,782,185 ","$4,897,135 ","$444,566 "
100,Washington,$0 ,$0 ,"$21,542,788 ","$2,587,358 ","$126,133,008 ","$13,416,662 ","$21,779,276 ","$370,564 ","$1,740,611 ","$6,813,978 ","$5,142,216 ","$8,605,936 ","$4,252,032 ","$97,868 ","$675,561 ","$15,189,210 ","$7,954,598 ",$0 ,"$1,319,102 ","$120,430 ","$1,965,871 ","$10,153,874 ","$1,945,073 ","$4,786,323 ","$460,000 "
101,Washington State,$0 ,$0 ,"$12,788,800 ","$1,687,947 ","$73,775,035 ","$10,779,818 ","$13,261,269 ","$1,099,264 ","$1,269,495 ","$4,127,165 ","$2,160,593 ","$2,022,397 ","$2,021,348 ","$279,414 ","$209,277 ","$9,214,963 ","$1,996,167 ","$308,852 ","$837,520 ","$2,139,759 ","$1,112,910 ","$4,628,114 ","$1,465,763 ","($8,657,320)","$364,200 "
102,West Virginia,$0 ,$0 ,"$16,440,149 ","$1,549,952 ","$91,807,281 ","$11,481,009 ","$16,374,363 ",$0 ,"$1,546,908 ","$7,482,740 ","$3,071,855 ","$4,790,275 ","$721,584 ","$916,763 ","$148,047 ","$11,262,460 ","$3,443,577 ",$0 ,"$1,023,329 ","$113,300 ","$2,504,840 ","$7,686,638 ","$1,124,492 ","$10,877,142 ","$125,000 "
103,Western Kentucky,"$50,058 ","$21,895 ","$5,798,412 ","$765,258 ","$30,595,027 ","$6,392,767 ","$4,526,637 ",$0 ,"$562,304 ","$2,090,249 ","$684,426 ","$1,250,815 ","$869,864 ","$465,998 ","$95,505 ","$2,816,155 ","$646,372 ","$531,088 ","$804,775 ","$366,314 ","$352,280 ","$930,804 ","$573,051 ",($1),$0 
104,Western Michigan,$0 ,$0 ,"$6,987,564 ","$732,337 ","$37,925,540 ","$8,846,993 ","$4,272,031 ","$16,458 ","$518,978 ","$2,309,047 ","$1,121,830 ","$1,525,922 ","$937,725 ","$356,474 ","$152,569 ","$4,266,673 ","$1,477,935 ","$1,640,225 ","$1,581,591 ","$395,979 ","$756,469 ","$28,740 ",$0 ,"($1,702,460)",$0 
105,Wisconsin,$0 ,$0 ,"$20,879,322 ","$3,283,944 ","$149,798,158 ","$17,207,930 ","$33,204,048 ","$378,340 ","$1,224,327 ","$8,842,741 ","$2,869,993 ","$5,137,010 ","$3,414,355 ","$1,289,455 ","$182,898 ","$11,212,808 ","$22,062,123 ","$2,967,000 ","$2,369,548 ","$71,927 ","$1,515,880 ","$8,665,106 ","$1,813,837 ","$2,168,637 ","$1,205,566 "
106,Wyoming,"$223,510 ","$45,882 ","$8,486,434 ","$1,392,250 ","$43,005,108 ","$6,797,619 ","$7,489,426 ",$0 ,"$887,366 ","$2,734,682 ","$957,702 ","$1,343,665 ","$4,868,551 ",$0 ,"$76,970 ","$450,000 ","$1,352,134 ","$530,548 ","$889,708 ","$548,514 ","$1,058,060 ","$2,008,566 ","$653,656 ","$1,905,533 ","$209,865 "
