my_id,school_name,1819_coach_comp_third,1819_support_comp_third,1819_coach_comp,1819_guarantees,1819_total_ops,1819_aid,1819_support_comp,1718_severance,1718_recruiting,1718_teamtravel,1718_equip,1718_game_expenses,1718_marketing,1718_camps,1718_spirit,1718_facilities_rentals,1718_overhead,1718_indirect_institutional,1718_medical,1718_memberships,1718_meals,1718_otherops,1718_bowl_expense,1718_prof_def,1718_bowl_coachcomp
15,Central Michigan,$0 ,$0 ,"$6,459,349 ","$593,330 ","$32,540,008 ","$6,387,466 ","$4,973,894 ","$81,408 ","$549,165 ","$2,572,777 ","$811,302 ","$837,890 ","$310,271 ","$73,202 ","$161,825 ","$2,238,804 ","$3,016,868 ","$352,812 ","$499,988 ","$290,593 ","$60,277 ","$1,530,995 ","$690,841 ","$7,449,487 ","$46,951 "
16,Charlotte,$0 ,$0 ,"$5,607,791 ","$445,701 ","$36,160,236 ","$7,857,019 ","$4,579,258 ","$116,302 ","$650,398 ","$2,814,267 ","$1,205,040 ","$1,524,017 ","$901,626 ",$0 ,"$162,605 ","$2,403,050 ","$2,754,548 ","$2,737,885 ","$355,402 ","$394,667 ","$344,386 ","$1,306,274 ",$0 ,"$1,759,383 ",$0 
17,Cincinnati,$0 ,$0 ,"$12,434,108 ","$1,432,846 ","$64,755,303 ","$9,910,225 ","$8,279,694 ","$307,578 ","$856,882 ","$4,355,409 ","$772,549 ","$2,219,025 ","$4,099,976 ",$0 ,"$228,097 ","$10,510,035 ","$2,327,166 ","$869,802 ","$484,195 ","$110,304 ","$510,344 ","$5,047,068 ",$0 ,"($2,976,343)",$0 
18,Clemson,$0 ,$0 ,"$23,327,310 ","$1,790,244 ","$118,847,123 ","$16,648,982 ","$20,932,696 ","$195,000 ","$2,804,471 ","$6,074,607 ","$3,598,058 ","$4,869,642 ","$5,438,972 ","$1,103,645 ","$353,777 ","$8,680,872 ","$7,069,384 ",$0 ,"$590,917 ","$68,414 ","$2,230,918 ","$9,570,742 ","$2,152,957 ","$1,685,852 ","$1,345,515 "
19,Coastal Carolina,$0 ,$0 ,"$6,484,248 ","$567,542 ","$36,455,190 ","$8,469,269 ","$4,258,934 ",$0 ,"$649,786 ","$2,875,279 ","$842,833 ","$1,398,068 ","$130,302 ",$0 ,"$232,917 ","$2,568,164 ","$2,176,345 ","$4,863,439 ","$79,920 ","$108,534 ","$266,808 ","$482,802 ",$0 ,"($62,293)",$0 
20,Colorado,$0 ,$0 ,"$16,919,621 ","$247,500 ","$89,826,611 ","$11,486,167 ","$14,384,170 ","$309,609 ","$1,144,052 ","$3,598,079 ","$1,524,988 ","$4,159,831 ","$1,854,403 ","$457,008 ","$404,523 ","$15,045,267 ","$8,221,572 ","$2,155,839 ","$1,151,183 ","$52,568 ","$1,652,000 ","$5,058,231 ",$0 ,"($245,067)",$0 
21,Colorado State,"$22,000 ",$0 ,"$10,076,685 ","$821,180 ","$52,159,851 ","$9,258,376 ","$6,916,873 ","$750,000 ","$889,715 ","$2,661,852 ","$2,618,046 ","$2,783,615 ","$1,210,068 ","$361,985 ","$43,816 ","$4,540,045 ","$1,581,718 ","$1,943,453 ","$827,253 ","$575,989 ","$887,746 ","$2,668,461 ","$527,558 ","$2,568,963 ","$193,417 "
22,Connecticut,$0 ,$0 ,"$17,051,587 ","$1,264,166 ","$80,905,645 ","$16,926,761 ","$14,358,474 ","$1,410,991 ","$1,406,823 ","$7,320,041 ","$2,203,763 ","$5,020,428 ","$1,426,860 ",$0 ,"$37,707 ","$926,427 ","$2,933,882 ",$0 ,"$889,826 ","$143,272 ","$806,686 ","$6,777,951 ",$0 ,"($1,597,224)",$0 
23,East Carolina,$0 ,$0 ,"$8,330,706 ","$1,492,768 ","$47,410,809 ","$8,768,672 ","$8,486,298 ","$40,080 ","$805,605 ","$3,407,204 ","$1,877,585 ","$1,535,069 ","$121,766 ",$0 ,"$70,222 ","$4,676,052 ","$2,465,109 ","$1,850,509 ","$561,631 ","$106,646 ","$432,283 ","$2,382,604 ",$0 ,"($549,619)",$0 
24,Eastern Michigan,$0 ,$0 ,"$6,320,256 ","$184,000 ","$30,681,035 ","$9,822,003 ","$3,786,407 ",$0 ,"$920,072 ","$2,046,164 ","$1,259,251 ","$856,674 ","$754,273 ","$228,774 ","$68,261 ","$1,101,773 ","$881,379 ","$635,000 ","$595,494 ","$350,735 ","$415,455 ","$455,064 ",$0 ,$4 ,$0 
25,FAU,$0 ,$0 ,"$7,226,096 ","$633,482 ","$35,149,886 ","$6,799,445 ","$2,745,226 ",$0 ,"$683,178 ","$3,447,567 ","$904,129 ","$1,136,772 ","$816,153 ",$0 ,"$57,213 ","$2,703,542 ","$2,039,056 ","$3,501,005 ","$743,987 ","$451,852 ","$196,334 ","$679,849 ","$345,000 ","$125,493 ","$40,000 "
26,FIU,$0 ,$0 ,"$6,488,409 ","$936,643 ","$36,189,130 ","$7,390,269 ","$5,472,039 ","$108,900 ","$562,206 ","$2,720,828 ","$961,188 ","$1,386,763 ","$627,064 ",$0 ,"$188,043 ","$2,456,903 ","$2,817,054 ","$454,002 ","$460,680 ","$455,785 ","$108,781 ","$2,205,240 ","$318,333 ","($557,171)","$70,000 "
27,Florida,"$870,000 ",$0 ,"$25,263,301 ","$3,323,758 ","$149,144,376 ","$13,746,767 ","$33,588,338 ","$12,862,810 ","$2,329,421 ","$9,487,562 ","$3,657,246 ","$7,644,084 ","$3,252,364 ","$842,687 ","$1,032,941 ","$8,172,470 ","$16,365,205 ",$0 ,"$2,241,940 ","$162,703 ","$1,566,191 ","$2,734,588 ",$0 ,"$12,039,389 ",$0 
