"UNITID","d1_id","school_name","address","state","total_assets","gifts","capital_grants_gifts","research_spent","discounts_to_tuiton"
200800,2,"University of Akron Main Campus","302 Buchtel Common, Akron, Ohio","Ohio",235755727,16903790,1076962,18034454,41486602
100751,3,"The University of Alabama","739 University Blvd, Tuscaloosa, Alabama","Alabama",867733598,44942506,33892304,169667611,280492218
197869,4,"Appalachian State University","287 Rivers St, Boone, North Carolina","North Carolina",223465276,21451466,3293430,7720177,33143373
104179,5,"University of Arizona","1401 E University Blvd, Tucson, Arizona","Arizona",432206000,109238000,18720000,576795000,329727000
104151,6,"Arizona State University Campus Immersion","University Drive and Mill Avenue, Tempe, Arizona","Arizona",813375000,76602000,63532000,457328000,586481000
106397,7,"University of Arkansas","1125 W Maple St, Administration Bldg 425, Fayetteville, Arkansas","Arkansas",682511240,77906165,49426023,186954141,88934151
106458,8,"Arkansas State University","2105 East, Aggie Road, Jonesboro, Arkansas","Arkansas",68872801,2493124,1410617,10861280,35757960
100858,9,"Auburn University",", Auburn, Alabama","Alabama",307029186,52178255,12029012,263777680,150555527
150136,10,"Ball State University","2000 W. University Ave, Muncie, Indiana","Indiana",163560131,7985790,5558626,13248016,77430773
142115,11,"Boise State University","1910 University Dr, Boise, Idaho","Idaho",234363905,32882833,2215118,42088072,29712200
201441,12,"Bowling Green State University-Main Campus","220 McFall Ctr, Bowling Green, Ohio","Ohio",296677086,0,2479232,15802088,64705549
196088,13,"University at Buffalo","12 Capen Hall, Buffalo, New York","New York",787653630,30375874,9577949,169970857,101228083
110635,14,"University of California-Berkeley","200 California Hall, Berkeley, California","California",NA,391721000,130262000,773319412,294646848
169248,15,"Central Michigan University","106 Warriner Hall, Mount Pleasant, Michigan","Michigan",124659721,7736463,2941506,24854519,62231779
199139,16,"University of North Carolina at Charlotte","9201 University City Blvd, Charlotte, North Carolina","North Carolina",497661963,12873225,21331870,28343731,57527972
201885,17,"University of Cincinnati-Main Campus","2624 Clifton Avenue, Cincinnati, Ohio","Ohio",585277632,86986142,12504349,250316443,115586544
217882,18,"Clemson University","201 Sikes Hall, Clemson, South Carolina","South Carolina",1100383017,95117860,4571968,245845525,124952449
218724,19,"Coastal Carolina University","103 Tom Trout Drive, Conway, South Carolina","South Carolina",186109583,3251688,4970544,1510831,54299634
126614,20,"University of Colorado Boulder","Regent Drive at Broadway, Boulder, Colorado","Colorado",1230746972,78723332,8117097,521977056,163153968
126818,21,"Colorado State University-Fort Collins","102 Administration Building, Fort Collins, Colorado","Colorado",480137051,54497610,16071363,300177103,116474344
129020,22,"University of Connecticut","352 Mansfield Road, Storrs, Connecticut","Connecticut",1299646535,37901054,1975804,214573714,278956167
198464,23,"East Carolina University","East 5th Street, Greenville, North Carolina","North Carolina",437310173,18280895,36255989,44350750,48797792
169798,24,"Eastern Michigan University","900 Oakwood St., Ypsilanti, Michigan","Michigan",75379950,12430588,1019873,6967333,61925196
133669,25,"Florida Atlantic University","777 Glades Rd, Administration Bldg., Room 339, Boca Raton, Florida","Florida",483935052,0,1090463,76047244,91884993
133951,26,"Florida International University","11200 S. W. 8 Street, Miami, Florida","Florida",654963321,27224659,30695848,189980956,196224665
134130,27,"University of Florida","Tigert Hall, Gainesville, Florida","Florida",2266586000,206428000,12290000,862745000,245623000
134097,28,"Florida State University","222 S. Copeland Street, Tallahassee, Florida","Florida",1072401502,72606344,49561330,229585739,136565929
110556,29,"California State University-Fresno","5241 N Maple Ave, Fresno, California","California",143332265,6735620,2482285,3385818,111224789
139959,30,"University of Georgia","Administration Building, Athens, Georgia","Georgia",646827751,87110021,107535332,514369516,175679587
139931,31,"Georgia Southern University","1332 Southern Drive, Statesboro, Georgia","Georgia",133205605,10511716,61205333,38526959,51803421
139940,32,"Georgia State University","33 Gilmer St, Atlanta, Georgia","Georgia",468352507,19085,9239187,222835613,86352959
