"UNITID","d1_id","school_name","2018_gifts","2019_gifts","2020_gifts","2021_gifts","2022_gifts"
100663,90,"University of Alabama at Birmingham",34009483,46264202,18705016,61112310,37066668
132903,91,"University of Central Florida",21658769,23403728,31393185,24345567,18936680
110662,92,"University of California-Los Angeles",378856000,366761000,364683000,27878000,403663000
182281,93,"University of Nevada-Las Vegas",23828000,26119000,24419000,23511000,23113000
230764,94,"University of Utah",158773000,155353000,165736000,56315000,176426000
230728,95,"Utah State University",19165660,24964629,21530594,29020225,42842791
228796,96,"The University of Texas at El Paso",6007017,5085692,5647890,9703996,10639387
229027,97,"The University of Texas at San Antonio",6676378,7032169,5814101,78967784,30903245
234076,98,"University of Virginia-Main Campus",169248521,195909788,204838762,195548662,210028185
233921,99,"Virginia Polytechnic Institute and State University",71531459,66860330,71641480,69050025,78702425
236948,100,"University of Washington-Seattle Campus",166721022,165831060,219541933,214620172,218011954
236939,101,"Washington State University",35493876,44489022,39535338,43875066,56032677
238032,102,"West Virginia University",62831699,58611304,121979714,77898517,80581368
157951,103,"Western Kentucky University",0,0,0,0,0
172699,104,"Western Michigan University",32088448,35538988,30446337,26492749,43851480
240444,105,"University of Wisconsin-Madison",322109967,329567496,328630309,385516079,359662397
240727,106,"University of Wyoming",33853216,32130000,25471000,26424000,30086000
