"UNITID","d1_id","school_name","2018_total_assets","2019_total_assets","2020_total_assets","2021_total_assets","2022_total_assets"
228723,86,"Texas A & M University-College Station",1085492416,1133517440,1225533698,1378026547,1549222787
228459,87,"Texas State University",578738089,431044616,522380621,579013098,665188020
229115,88,"Texas Tech University",350804059,272445498,267084545,374472432,363389308
206084,89,"University of Toledo",166278305,170594107,223671930,301365231,281763025
100663,90,"University of Alabama at Birmingham",1580145078,1817826648,2275161243,2589430410,2358340043
132903,91,"University of Central Florida",628594151,601080401,623245054,707507603,700434492
110662,92,"University of California-Los Angeles",NA,NA,NA,NA,NA
182281,93,"University of Nevada-Las Vegas",431300000,434040000,408086000,499508000,523710000
230764,94,"University of Utah",2057009000,2293302000,2648916000,3132119000,2830671000
230728,95,"Utah State University",169569093,171661911,256423232,375769332,334890631
228796,96,"The University of Texas at El Paso",186584124,183375949,172166188,218189796,210083249
229027,97,"The University of Texas at San Antonio",205243096,234184306,231269647,329111566,285264527
234076,98,"University of Virginia-Main Campus",621307370,883279252,1019937273,1156355401,1141679587
233921,99,"Virginia Polytechnic Institute and State University",298077018,289389904,307742805,391012703,427403441
236948,100,"University of Washington-Seattle Campus",1486001796,1574437794,2029039455,2705721361,2759637727
236939,101,"Washington State University",235803464,282210707,250219388,361712047,577225763
238032,102,"West Virginia University",278945424,299210851,306798604,344331323,361110573
157951,103,"Western Kentucky University",100172001,114008450,125493085,154303864,132975992
172699,104,"Western Michigan University",289210560,133940245,129208678,201132484,229652683
240444,105,"University of Wisconsin-Madison",1256704518,1412547593,1479917178,1685416941,1873708152
240727,106,"University of Wyoming",373656575,434280000,372540000,215221000,191676000
