"UNITID","d1_id","school_name","address","state","total_assets","gifts","capital_grants_gifts","research_spent","discounts_to_tuiton"
200800,2,"University of Akron Main Campus","302 Buchtel Common, Akron, Ohio","Ohio",259138518,18103298,5805702,18845348,40493585
100751,3,"The University of Alabama","739 University Blvd, Tuscaloosa, Alabama","Alabama",872046615,64036452,19291609,118097592,271660919
197869,4,"Appalachian State University","287 Rivers St, Boone, North Carolina","North Carolina",192527042,27939192,3512046,5694013,33656047
104179,5,"University of Arizona","1401 E University Blvd, Tucson, Arizona","Arizona",569821000,80582000,17078000,536090000,287545000
104151,6,"Arizona State University Campus Immersion","University Drive and Mill Avenue, Tempe, Arizona","Arizona",773109000,76335000,25838000,415074000,536128000
106397,7,"University of Arkansas","1125 W Maple St, Administration Bldg 425, Fayetteville, Arkansas","Arkansas",645298702,74289067,8043572,168671034,79858872
106458,8,"Arkansas State University","2105 East, Aggie Road, Jonesboro, Arkansas","Arkansas",73950888,2380027,6847363,9921527,37573809
100858,9,"Auburn University",", Auburn, Alabama","Alabama",409001160,42231953,42172503,238033142,131753054
150136,10,"Ball State University","2000 W. University Ave, Muncie, Indiana","Indiana",218475943,6837946,7439839,11199281,81747278
142115,11,"Boise State University","1910 University Dr, Boise, Idaho","Idaho",209531629,27123074,873449,46154461,29075000
201441,12,"Bowling Green State University-Main Campus","220 McFall Ctr, Bowling Green, Ohio","Ohio",321609430,0,2912414,11939544,61353189
196088,13,"University at Buffalo","12 Capen Hall, Buffalo, New York","New York",694664299,32281115,6592882,156334634,107384747
110635,14,"University of California-Berkeley","200 California Hall, Berkeley, California","California",NA,54881000,54881000,700939992,239564460
169248,15,"Central Michigan University","106 Warriner Hall, Mount Pleasant, Michigan","Michigan",152059403,8567771,3009552,23740079,56983875
199139,16,"University of North Carolina at Charlotte","9201 University City Blvd, Charlotte, North Carolina","North Carolina",399255169,11587785,35861497,39637891,59835923
201885,17,"University of Cincinnati-Main Campus","2624 Clifton Avenue, Cincinnati, Ohio","Ohio",548181093,53590773,9762497,211277417,114131746
217882,18,"Clemson University","201 Sikes Hall, Clemson, South Carolina","South Carolina",772316024,152411325,3155493,224080901,117285327
218724,19,"Coastal Carolina University","103 Tom Trout Drive, Conway, South Carolina","South Carolina",155938671,2675080,23528,1294153,48401050
126614,20,"University of Colorado Boulder","Regent Drive at Broadway, Boulder, Colorado","Colorado",1017043064,105883646,4051523,470288720,154539560
126818,21,"Colorado State University-Fort Collins","102 Administration Building, Fort Collins, Colorado","Colorado",423164617,48151372,28429440,268054190,122041175
129020,22,"University of Connecticut","352 Mansfield Road, Storrs, Connecticut","Connecticut",1037117825,28207885,11639723,178785818,276835255
198464,23,"East Carolina University","East 5th Street, Greenville, North Carolina","North Carolina",380744880,27172010,45602221,48538174,47012777
169798,24,"Eastern Michigan University","900 Oakwood St., Ypsilanti, Michigan","Michigan",69088224,10297434,1071541,6402699,54703338
133669,25,"Florida Atlantic University","777 Glades Rd, Administration Bldg., Room 339, Boca Raton, Florida","Florida",442513335,0,0,80293592,88888211
133951,26,"Florida International University","11200 S. W. 8 Street, Miami, Florida","Florida",681291941,24085876,6054764,185168271,189153663
134130,27,"University of Florida","Tigert Hall, Gainesville, Florida","Florida",2121805000,176151000,84679000,780561000,240976000
134097,28,"Florida State University","222 S. Copeland Street, Tallahassee, Florida","Florida",952857859,59117026,13137438,207166772,137766010
110556,29,"California State University-Fresno","5241 N Maple Ave, Fresno, California","California",111289468,6117897,666107,4602457,114803558
139959,30,"University of Georgia","Administration Building, Athens, Georgia","Georgia",521981313,71913633,10367560,469771944,166516475
139931,31,"Georgia Southern University","1332 Southern Drive, Statesboro, Georgia","Georgia",103444221,7150566,3757228,39101324,47657721
139940,32,"Georgia State University","33 Gilmer St, Atlanta, Georgia","Georgia",442194731,21000,16370920,184207139,76792765
139755,33,"Georgia Institute of Technology-Main Campus","225 North Ave, Atlanta, Georgia","Georgia",627805275,2009754,38401964,1118946214,51436516
225511,34,"University of Houston","4302 University Drive, Room 212, Houston, Texas","Texas",1139514647,51598292,0,208371496,163095484
145637,35,"University of Illinois Urbana-Champaign","601 E John Street, Champaign, Illinois","Illinois",766762410,196381433,16277424,706992330,264389120
151351,36,"Indiana University-Bloomington","107 South Indiana Ave., Bloomington, Indiana","Indiana",330329672,76321413,8980756,148858344,197892096
153658,37,"University of Iowa","101 Jessup Hall, Iowa City, Iowa","Iowa",1024954000,89280000,6281000,471490000,105674000
153603,38,"Iowa State University","1750 Beardshear Hall, Ames, Iowa","Iowa",308432828,48551267,25360695,182082947,146505715
155317,39,"University of Kansas","Strong Hall, 1450 Jayhawk Blvd, Room 230, Lawrence, Kansas","Kansas",570270762,61870560,6408637,339627065,28155328
155399,40,"Kansas State University","919 Mid-Campus Drive, Anderson Hall, Manhattan, Kansas","Kansas",337220733,0,19427409,196069043,41899029
203517,41,"Kent State University at Kent","Executive Office, 2nd Floor Library, Kent, Ohio","Ohio",440112000,4628434,0,22262902,77070209
157085,42,"University of Kentucky","South Limestone, Lexington, Kentucky","Kentucky",1780676180,55420409,25997895,351886081,166562936
159647,43,"Louisiana Tech University","1310 West Railroad Avenue, Ruston, Louisiana","Louisiana",54052935,17070560,1289139,22992033,36106588
160658,44,"University of Louisiana at Lafayette","104 University Circle, Lafayette, Louisiana","Louisiana",65345514,5492050,1883096,69776485,32275977
