"UNITID","d1_id","school_name","2018_research_spent","2019_research_spent","2020_research_spent","2021_research_spent","2022_research_spent"
229115,88,"Texas Tech University",189587001,197405657,198766869,205204886,224153180
206084,89,"University of Toledo",41407419,43883277,42859719,49391217,53467360
100663,90,"University of Alabama at Birmingham",309591511,309254195,302659583,340868357,360236807
132903,91,"University of Central Florida",162507875,177160186,186785744,205274245,201670115
110662,92,"University of California-Los Angeles",956812020,926464931,961400331,1090324507,1204766644
182281,93,"University of Nevada-Las Vegas",47387000,47468000,48631000,43231000,47498000
230764,94,"University of Utah",358807000,384922000,396984000,392505000,471955000
230728,95,"Utah State University",179473736,231394223,244837854,255388123,267940100
228796,96,"The University of Texas at El Paso",80015356,99606628,107243446,104823012,120646174
229027,97,"The University of Texas at San Antonio",66910414,79399933,120678676,131990673,150630912
234076,98,"University of Virginia-Main Campus",438691141,512761397,523690834,499557078,553002979
233921,99,"Virginia Polytechnic Institute and State University",382100238,386907271,395604668,381019551,416639701
236948,100,"University of Washington-Seattle Campus",886609224,850021928,905725549,938908939,1009271362
236939,101,"Washington State University",220425859,233370129,239526813,233998986,317926001
238032,102,"West Virginia University",131179960,134324969,140682145,148848114,156938645
157951,103,"Western Kentucky University",8951849,8267482,7728127,6566760,7467535
172699,104,"Western Michigan University",20337778,19499964,17691507,18701960,21821981
240444,105,"University of Wisconsin-Madison",1053098516,1047622014,1097886371,1140675770,1231477252
240727,106,"University of Wyoming",86294466,93793915,104370000,106955000,112069000
