"unitid","school_name","address","state","A01"
206491,"Wilberforce University","1055 N Bickett Rd, Wilberforce, Ohio","Ohio",5834435
206507,"Wilmington College","1870 Quaker Way, Wilmington, Ohio","Ohio",38269926
206516,"Winebrenner Theological Seminary","950 North Main Street - 2nd Floor, Findlay, Ohio","Ohio",1760517
206525,"Wittenberg University","Ward St at N Wittenberg Ave, Springfield, Ohio","Ohio",113414492
206589,"The College of Wooster","1189 Beall Avenue, Wooster, Ohio","Ohio",347651594
206622,"Xavier University","3800 Victory Parkway, Cincinnati, Ohio","Ohio",343311000
206817,"Bacone College","2299 Old Bacone Rd, Muskogee, Oklahoma","Oklahoma",225019
206835,"Oklahoma Wesleyan University","2201 Silver Lake Rd, Bartlesville, Oklahoma","Oklahoma",7523410
206862,"Southern Nazarene University","6729 NW 39th Expy, Bethany, Oklahoma","Oklahoma",50426855
207157,"Randall University","3701 S. I-35 Frontage Road, Moore, Oklahoma","Oklahoma",561870
207324,"Oklahoma Christian University","2501 E Memorial Rd, Edmond, Oklahoma","Oklahoma",25539984
207403,"Oklahoma Baptist University","500 W University, Shawnee, Oklahoma","Oklahoma",139500932
207458,"Oklahoma City University","2501 N Blackwelder, Oklahoma City, Oklahoma","Oklahoma",124683582
207582,"Oral Roberts University","7777 S Lewis Ave., Tulsa, Oklahoma","Oklahoma",50256551
207856,"Southwestern Christian University","7210 NW 39th Expressway, Bethany, Oklahoma","Oklahoma",490336
207971,"University of Tulsa","800 South Tucker Drive, Tulsa, Oklahoma","Oklahoma",531476061
208488,NA,NA,NA,302118
208725,"New Hope Christian College-Eugene","2155 Bailey Hill Rd, Eugene, Oregon","Oregon",1290452
208822,"George Fox University","414 N Meridian St, Newberg, Oregon","Oregon",45436750
209056,"Lewis & Clark College","615 S Palatine Hill Rd, Portland, Oregon","Oregon",247228159
209065,"Linfield University","900 SE Baker, McMinnville, Oregon","Oregon",125034529
209241,"Mount Angel Seminary","1 Abbey Drive, Saint Benedict, Oregon","Oregon",NA
209287,"Multnomah University","8435 NE Glisan St, Portland, Oregon","Oregon",6883000
209296,"National University of Natural Medicine","49 S Porter St., Portland, Oregon","Oregon",88095
209409,"Bushnell University","828 E. 11th Ave., Eugene, Oregon","Oregon",16320755
209603,"Pacific Northwest College of Art","511 NW Broadway, Portland, Oregon","Oregon",10122858
209612,"Pacific University","2043 College Way, Forest Grove, Oregon","Oregon",77378464
209825,"University of Portland","5000 N Willamette Blvd, Portland, Oregon","Oregon",263284000
209922,"Reed College","3203 SE Woodstock Blvd, Portland, Oregon","Oregon",625096574
210304,"Warner Pacific University","2219 SE 68th Ave, Portland, Oregon","Oregon",17021001
210331,"Corban University","5000 Deer Park Dr SE, Salem, Oregon","Oregon",1314741
210368,"Western Seminary","5511 SE Hawthorne Blvd, Portland, Oregon","Oregon",3220406
210401,"Willamette University","900 State St, Salem, Oregon","Oregon",281092000
210438,"University of Western States","8000 NE Tillamook Street, Portland, Oregon","Oregon",5587472
210492,"Bryn Athyn College of the New Church","2945 College Drive, Bryn Athyn, Pennsylvania","Pennsylvania",NA
210508,"Academy of Vocal Arts","1920 Spruce St, Philadelphia, Pennsylvania","Pennsylvania",NA
210571,"Albright College","1621 N. 13th St., Reading, Pennsylvania","Pennsylvania",70624504
210669,"Allegheny College","520 N Main St, Meadville, Pennsylvania","Pennsylvania",258686223
