"unitid","school_name","address","state","A01","H03A"
153278,"University of Dubuque","2000 University Ave, Dubuque, Iowa","Iowa",226700677,1708147
153302,"Emmaus Bible College","2570 Asbury Rd, Dubuque, Iowa","Iowa",2421586,5950
153320,"Faith Baptist Bible College and Theological Seminary","1900 NW 4th St, Ankeny, Iowa","Iowa",9307106,37947
153366,"Graceland University-Lamoni","1 University Place, Lamoni, Iowa","Iowa",57230731,790775
153375,"Grand View University","1200 Grandview Ave, Des Moines, Iowa","Iowa",33554923,3231916
153384,"Grinnell College","1121 Park Street, Grinnell, Iowa","Iowa",2627162000,4925000
153542,"UnityPoint Health-Des Moines School of Radiologic Technology","1200 Pleasant St, Des Moines, Iowa","Iowa",NA,NA
153621,"Iowa Wesleyan University","601 N Main Street, Mount Pleasant, Iowa","Iowa",3110267,1131270
153825,"Loras College","1450 Alta Vista, Dubuque, Iowa","Iowa",37921991,2891623
153834,"Luther College","700 College Drive, Decorah, Iowa","Iowa",206624907,4853851
153861,"Maharishi International University","1000 North 4th Street, Fairfield, Iowa","Iowa",12686000,60000
153977,"Mercy College of Health Sciences","928 6th Ave, Des Moines, Iowa","Iowa",24346000,427286
154004,"Morningside University","1501 Morningside Ave, Sioux City, Iowa","Iowa",74976426,1602041
154013,"Mount Mercy University","1330 Elmhurst Dr NE, Cedar Rapids, Iowa","Iowa",38740010,1029403
154101,"Northwestern College","101 Seventh St SW, Orange City, Iowa","Iowa",66179089,575132
154156,"Des Moines University-Osteopathic Medical Center","8025 Grand Ave, West Des Moines, Iowa","Iowa",165480622,468678
154174,"Palmer College of Chiropractic","1000 Brady St, Davenport, Iowa","Iowa",100919363,1864027
154235,"Saint Ambrose University","518 W Locust St, Davenport, Iowa","Iowa",198675409,1725685
154262,"St Luke's College","2720 Stone Park Blvd, Sioux City, Iowa","Iowa",NA,36000
154350,"Simpson College","701 North C St, Indianola, Iowa","Iowa",93073300,1051350
154493,"Upper Iowa University","605 Washington St, Fayette, Iowa","Iowa",19782902,346765
154527,"Wartburg College","100 Wartburg Blvd., Waverly, Iowa","Iowa",113244319,4062257
154536,"Wartburg Theological Seminary","333 Wartburg Pl, Dubuque, Iowa","Iowa",32879801,1415914
154590,"William Penn University","201 Trueblood Ave, Oskaloosa, Iowa","Iowa",4749088,386224
154688,"Baker University","615 Dearborn Street, Baldwin City, Kansas","Kansas",61208413,2033811
154712,"Benedictine College","1020 N 2nd St, Atchison, Kansas","Kansas",49767123,3848812
154721,"Bethany College","335 E Swensson St, Lindsborg, Kansas","Kansas",10840102,571679
154749,"Bethel College-North Newton","300 E 27th St, North Newton, Kansas","Kansas",26937870,1671531
154855,"Central Christian College of Kansas","1200 S Main, McPherson, Kansas","Kansas",4941972,297148
155007,"Donnelly College","608 N 18th St, Kansas City, Kansas","Kansas",19737232,351681
155070,"Barclay College","607 N Kingman, Haviland, Kansas","Kansas",5181591,0
155089,"Friends University","2100 W. University Ave., Wichita, Kansas","Kansas",67492324,6665569
155177,"Hesston College","301 South Main, Hesston, Kansas","Kansas",14930436,796008
