"unitid","school_name","address","state","A01","H03A"
100690,"Amridge University","1200 Taylor Rd, Montgomery, Alabama","Alabama",9244107,0
100937,"Birmingham-Southern College","900 Arkadelphia Road, Birmingham, Alabama","Alabama",45420770,1732084
101189,"Faulkner University","5345 Atlanta Hwy, Montgomery, Alabama","Alabama",24489701,159803
101365,"Herzing University-Birmingham","280 West Valley Ave, Birmingham, Alabama","Alabama",0,NA
101435,"Huntingdon College","1500 East Fairview Avenue, Montgomery, Alabama","Alabama",60237137,175735
101453,"Heritage Christian University","3625 Helton Dr, Florence, Alabama","Alabama",19231716,565666
101675,"Miles College","5500 Myron Massey Blvd, Fairfield, Alabama","Alabama",29292997,0
101693,"University of Mobile","5735 College Parkway, Mobile, Alabama","Alabama",19747490,161536
101912,"Oakwood University","7000 Adventist Blvd NW, Huntsville, Alabama","Alabama",31949393,0
102049,"Samford University","800 Lakeshore Drive, Birmingham, Alabama","Alabama",373113178,5931695
102058,"Selma University","1501 Boynton St, Dinkins Hall, Selma, Alabama","Alabama",9360,0
102234,"Spring Hill College","4000 Dauphin St, Mobile, Alabama","Alabama",67308032,478382
102270,"Stillman College","3601 Stillman Boulevard, Tuscaloosa, Alabama","Alabama",18932197,0
102298,"Talladega College","627 West Battle Street, Talladega, Alabama","Alabama",3350232,424536
102377,"Tuskegee University","Kresge Center, 3rd Floor, Tuskegee, Alabama","Alabama",200577334,1181688
102395,"United States Sports Academy","One Academy Drive, Daphne, Alabama","Alabama",19925592,0
102580,"Alaska Bible College","248 E Elmwood Ave, Palmer, Alaska","Alaska",0,0
102669,"Alaska Pacific University","4101 University Dr, Anchorage, Alaska","Alaska",95533737,0
104586,"Embry-Riddle Aeronautical University-Prescott","3700 Willow Creek Road, Prescott, Arizona","Arizona",NA,6106000
104665,"The School of Architecture","7610 E. McDonald Dr, Suite G, Scottsdale, Arizona","Arizona",NA,95417
105589,"Prescott College","220 Grove Ave, Prescott, Arizona","Arizona",2950827,5671
105899,"Arizona Christian University","1 W. Firestorm Way, Glendale, Arizona","Arizona",1364063,0
106306,"Arkansas Baptist College","1600 Dr. Martin Luther King Jr. Drive, Little Rock, Arkansas","Arkansas",292687,NA
106342,"Lyon College","2300 Highland Road, Batesville, Arkansas","Arkansas",93685142,364542
106546,"Baptist Health College Little Rock","11900 COLONEL GLENN RD STE 1000, Little Rock, Arkansas","Arkansas",NA,93325
106713,"Central Baptist College","1501 College Avenue, Conway, Arkansas","Arkansas",4425483,192952
106810,"Crowley's Ridge College","100 College Dr, Paragould, Arkansas","Arkansas",101803,2632
107044,"Harding University","915 E. Market Ave., Searcy, Arkansas","Arkansas",226344779,2037995
107080,"Hendrix College","1600 Washington Ave, Conway, Arkansas","Arkansas",235056837,10947578
107123,"Jefferson Regional School of Nursing","1600 West 40th Avenue, Pine Bluff, Arkansas","Arkansas",NA,NA
107141,"John Brown University","2000 W University St, Siloam Springs, Arkansas","Arkansas",169662623,11660086
107512,"Ouachita Baptist University","410 Ouachita St, Arkadelphia, Arkansas","Arkansas",132863957,1741073
107558,"University of the Ozarks","415 N College Ave, Clarksville, Arkansas","Arkansas",130203721,770030
107600,"Philander Smith University","900 W. Daisy Bates Drive, Little Rock, Arkansas","Arkansas",14618867,2766313
107840,"Shorter College","604 Locust St, N Little Rock, Arkansas","Arkansas",0,NA
107877,"Williams Baptist University","60 W Fulbright Avenue, Walnut Ridge, Arkansas","Arkansas",14246058,57785
108269,"Academy of Chinese Culture and Health Sciences","1600 Broadway, Ste. 200, Oakland, California","California",0,NA
108852,"American Academy of Dramatic Arts-Los Angeles","1336 North La Brea Avenue, Los Angeles, California","California",0,0
108861,"Berkeley School of Theology","2606 Dwight Way, Berkeley, California","California",7484711,65500
108870,"American Film Institute Conservatory","2021 N Western Ave, Los Angeles, California","California",29558356,7839236
109086,NA,NA,NA,15042836,0
109651,"Art Center College of Design","1700 Lida St, Pasadena, California","California",177850000,16221000
109785,"Azusa Pacific University","901 E Alosta, Azusa, California","California",97435217,3338746
110060,"Bethesda University","730 N. Euclid St, Anaheim, California","California",4639960,NA
110097,"Biola University","13800 Biola Ave, La Mirada, California","California",217639000,2942606
110316,"California Institute of Integral Studies","1453 Mission Street, San Francisco, California","California",846471,0
110361,"California Baptist University","8432 Magnolia Ave, Riverside, California","California",57117844,10056999
110370,"California College of the Arts","1111 Eighth Street, San Francisco, California","California",54989000,2428000
110404,"California Institute of Technology","1200 E California Blvd, Pasadena, California","California",4944969000,125252000
110413,"California Lutheran University","60 W Olsen Rd, Thousand Oaks, California","California",154587263,4749349
110918,"California Christian College","5364 E. Belmont Avenue, Fresno, California","California",481548,0
111045,"Haven University","12761 Euclid St., Garden Grove, California","California",393608,NA
111081,"California Institute of the Arts","24700 W McBean Pky, Valencia, California","California",258130541,350491
111391,"California Western School of Law","225 Cedar St, San Diego, California","California",29601498,223340
111638,"Casa Loma College-Los Angeles","15301 Ventura Blvd. Suite D-100, Sherman Oaks, California","California",0,NA
111708,"CET-San Diego","4153 Market Street, San Diego, California","California",NA,NA
111717,"CET-San Jose","701 Vine St, San Jose, California","California",NA,NA
111726,"CET-El Centro","294 S 3rd St, El Centro, California","California",NA,NA
111744,"CET-Colton","1099 N. Pepper Ave, Colton, California","California",NA,NA
111762,"CET-Watsonville","10 Blanca Lane, Watsonville, California","California",NA,NA
111799,"CET-Salinas","24 East Alvin Drive, Salinas, California","California",NA,NA
111948,"Chapman University","One University Dr., Orange, California","California",572063814,19581000
111966,"Charles R Drew University of Medicine and Science","1731 E 120th St, Los Angeles, California","California",133287800,0
112075,"Concordia University-Irvine","1530 Concordia West, Irvine, California","California",55839316,2326596
112084,"San Diego Christian College","280 Riverview Parkway, Santee, California","California",356063,9149
112127,"Church Divinity School of the Pacific","2451 Ridge Road, Berkeley, California","California",28818668,64199
112251,"Claremont Graduate University","150 E Tenth St, Claremont, California","California",217581178,8839893
112260,"Claremont McKenna College","500 E 9th St, Claremont, California","California",2114214000,26611000
112525,"Western University of Health Sciences","309 E 2nd St, Pomona, California","California",78035880,1114967
112570,"California College of ASU","1111 S. Broadway Suite, Los Angeles, California","California",0,NA
113537,"Dell'Arte International School of Physical Theatre","131 H Street, Blue Lake, California","California",NA,NA
113698,"Dominican University of California","50 Acacia Ave, San Rafael, California","California",33892465,146101
113704,"Dominican School of Philosophy & Theology","2301 Vine Street, Berkeley, California","California",10005349,10000
114549,"Fielding Graduate University","2020 De La Vina St, Santa Barbara, California","California",11592492,53179
114734,"Franciscan School of Theology","5998 Alcala Park, San Diego, California","California",10106074,14969
114813,"Fresno Pacific University","1717 S. Chestnut Ave, Fresno, California","California",38544330,128423
114840,"Fuller Theological Seminary","135 N Oakland Ave, Pasadena, California","California",124124000,4757000
114947,"Gemological Institute of America-Carlsbad","5345 Armada Dr, Carlsbad, California","California",NA,NA
115083,"Golden Gate University","536 Mission Street, San Francisco, California","California",48662907,1309370
115214,"Graduate Theological Union","2400 Ridge Rd, Berkeley, California","California",58648379,771200
115409,"Harvey Mudd College","301 Platt Blvd., Claremont, California","California",496969094,2932978
115728,"Holy Names University","3500 Mountain Blvd, Oakland, California","California",65515452,616191
115773,"Humphreys University-Stockton and Modesto Campuses","6650 Inglewood Ave, Stockton, California","California",4180753,0
116846,"American Jewish University","15600 Mulholland Dr, Los Angeles, California","California",100399244,7650
117104,"Life Pacific University","1100 W. Covina Blvd., San Dimas, California","California",18175577,198019
117140,"University of La Verne","1950 Third St, La Verne, California","California",220675700,2072230
117168,"Laguna College of Art and Design","2222 Laguna Canyon Rd, Laguna Beach, California","California",1790675,77895
117283,"Latin American Bible Institute","14209 East Lomitas Avenue, La Puente, California","California",48363,0
117520,"Life Chiropractic College West","25001 Industrial Blvd, Hayward, California","California",0,NA
117557,"Lincoln University","401 15th Street, Oakland, California","California",3421390,0
117575,"Southern California Seminary","2075 E. Madison Avenue, El Cajon, California","California",0,0
117627,"La Sierra University","4500 Riverwalk Parkway, Riverside, California","California",130622754,200601
117636,"Loma Linda University","11139 Anderson Street, Loma Linda, California","California",1374703000,12615000
117672,"Southern California University of Health Sciences","16200 East Amber Valley Drive, Whittier, California","California",20736062,720
117751,"The Master's University and Seminary","21726 Placerita Canyon Road, Santa Clarita, California","California",44372248,8728486
117946,"Loyola Marymount University","One Lmu Drive, Los Angeles, California","California",703052000,14471000
118541,NA,NA,NA,10860257,157253
118693,"Menlo College","1000 El Camino Real, Atherton, California","California",29216495,214400
118888,"Northeastern University Oakland","5000 MacArthur Blvd, Oakland, California","California",227905812,1474369
119173,"Mount Saint Mary's University","12001 Chalon Rd, Los Angeles, California","California",219791102,3096287
119605,"National University","9388 Lightwave Ave, San Diego, California","California",1415757576,185008655
120166,"San Francisco Bay University","161 Mission Falls Lane, Fremont, California","California",210361202,NA
120184,"Notre Dame de Namur University","1500 Ralston Ave, Belmont, California","California",27265423,0
120254,"Occidental College","1600 Campus Rd, Los Angeles, California","California",608023817,10701304
120403,"Otis College of Art and Design","9045 Lincoln Blvd, Los Angeles, California","California",35117135,0
120537,"Hope International University","2500 E Nutwood Ave, Fullerton, California","California",6401200,592207
120698,"Palo Alto University","1791 Arastradero Rd, Palo Alto, California","California",4213963,0
120768,"Pacific Oaks College","45 W Eureka Street, Pasadena, California","California",0,0
120795,"Pacific School of Religion","1798 Scenic Ave, Berkeley, California","California",56626804,8229
120838,"Pacific States University","3424 Wilshire Blvd. 12th floor, Los Angeles, California","California",0,NA
120865,"Pacific Union College","One Angwin Ave, Angwin, California","California",28381137,88680
120883,"University of the Pacific","3601 Pacific Ave, Stockton, California","California",670855815,7218673
121150,"Pepperdine University","24255 Pacific Coast Hwy, Malibu, California","California",1725109000,10469000
121257,"Pitzer College","1050 North Mills Avenue, Claremont, California","California",188360771,609283
121309,"Point Loma Nazarene University","3900 Lomaland Dr, San Diego, California","California",105677588,2118683
121345,"Pomona College","550 N College Ave, Claremont, California","California",3356140000,14158000
121628,"Pardee RAND Graduate School","1776 Main St, Santa Monica, California","California",NA,359914
121691,"University of Redlands","1200 E. Colton Ave, Redlands, California","California",327231491,5911901
122117,"Dongguk University Los Angeles","440 Shatto Pl, Los Angeles, California","California",0,NA
122296,"Samuel Merritt University","3100 Telegraph Avenue, Oakland, California","California",221169803,0
122436,"University of San Diego","5998 Alcala Park, San Diego, California","California",833552000,8201000
122454,NA,NA,NA,3963772,0
122506,"San Francisco Conservatory of Music","50 Oak Street, San Francisco, California","California",53724000,3855000
122612,"University of San Francisco","2130 Fulton St, San Francisco, California","California",641102000,9232000
122649,"San Joaquin College of Law","901 Fifth St, Clovis, California","California",3823096,150
122728,"William Jessup University","2121 University Avenue, Rocklin, California","California",5330427,361368
122931,"Santa Clara University","500 El Camino Real, Santa Clara, California","California",1733014000,12403000
123095,"Saybrook University","55 W Eureka Street, Pasadena, California","California",0,NA
123165,"Scripps College","1030 North Columbia Avenue, Claremont, California","California",593435216,4119074
123280,"Shasta Bible College and Graduate School","2951 Goodwater Ave., Redding, California","California",618874,4550
123448,"Trinity Law School","2200 N Grand Ave, Santa Ana, California","California",202635,0
123457,"Simpson University","2211 College View Drive, Redding, California","California",7676421,167498
123554,"Saint Mary's College of California","1928 Saint Marys Road, Moraga, California","California",229695000,3245000
123633,"South Baylo University","1126 N Brookhurst St, Anaheim, California","California",0,NA
123651,"Vanguard University of Southern California","55 Fair Dr, Costa Mesa, California","California",14819034,455863
123916,"Starr King School for the Ministry","414 13th St., Suite 700, Oakland, California","California",9612722,212000
123943,"Marshall B Ketchum University","2575 Yorba Linda Blvd, Fullerton, California","California",22201041,0
123952,"Southern California Institute of Architecture","960 E. 3rd Street, Los Angeles, California","California",837000,713000
