"UNITID","d1_id","school_name","2018_capital_grants_gifts","2019_capital_grants_gifts","2020_capital_grants_gifts","2021_capital_grants_gifts","2022_capital_grants_gifts"
100663,90,"University of Alabama at Birmingham",2285326,789319,1854223,1645260,12806674
132903,91,"University of Central Florida",6516188,12275550,1772786,306252,1511936
110662,92,"University of California-Los Angeles",28385000,20600000,34593000,27878000,22093000
182281,93,"University of Nevada-Las Vegas",37076000,5431000,0,7982000,5096000
230764,94,"University of Utah",56754000,82415000,12190000,82024000,19304000
230728,95,"Utah State University",7168369,4654726,7175623,3098141,34393958
228796,96,"The University of Texas at El Paso",3965557,6079836,191976,359686,171833
229027,97,"The University of Texas at San Antonio",523586,10554772,11333416,15394637,1809932
234076,98,"University of Virginia-Main Campus",37383461,129546856,43509804,75622066,110228702
233921,99,"Virginia Polytechnic Institute and State University",85088015,79212242,101029776,127957724,180755828
236948,100,"University of Washington-Seattle Campus",142573499,44259928,179089437,119803070,46877461
236939,101,"Washington State University",1565894,370054,2150880,1642504,1559794
238032,102,"West Virginia University",26746403,17106763,16088078,91667267,55471713
157951,103,"Western Kentucky University",0,0,0,0,0
172699,104,"Western Michigan University",1337977,5589282,1002896,1440415,1785163
240444,105,"University of Wisconsin-Madison",41259370,50405564,14700392,56624842,16966954
240727,106,"University of Wyoming",0,7233000,8307000,3184000,685000
