"UNITID","d1_id","school_name","address","state","total_assets","gifts","capital_grants_gifts","research_spent","discounts_to_tuiton"
200800,2,"University of Akron Main Campus","302 Buchtel Common, Akron, Ohio","Ohio",221783033,27235739,734259,28143217,38482149
100751,3,"The University of Alabama","739 University Blvd, Tuscaloosa, Alabama","Alabama",616255540,29440777,33713554,85757568,273733791
197869,4,"Appalachian State University","287 Rivers St, Boone, North Carolina","North Carolina",129658257,13353750,13420118,6096166,30769846
104179,5,"University of Arizona","1401 E University Blvd, Tucson, Arizona","Arizona",376777000,84578000,11068000,528754000,232468000
104151,6,"Arizona State University Campus Immersion","University Drive and Mill Avenue, Tempe, Arizona","Arizona",553944000,82731000,24555000,361046000,402554000
106397,7,"University of Arkansas","1125 W Maple St, Administration Bldg 425, Fayetteville, Arkansas","Arkansas",592522447,77673079,54209072,169365622,77294871
106458,8,"Arkansas State University","2105 East, Aggie Road, Jonesboro, Arkansas","Arkansas",48632622,2656362,849277,10741436,40474227
100858,9,"Auburn University",", Auburn, Alabama","Alabama",516461513,48032814,15125719,208187924,122580580
150136,10,"Ball State University","2000 W. University Ave, Muncie, Indiana","Indiana",249497935,7153385,4200638,13734574,82667515
142115,11,"Boise State University","1910 University Dr, Boise, Idaho","Idaho",173456463,32141995,15825339,34974133,27628700
201441,12,"Bowling Green State University-Main Campus","220 McFall Ctr, Bowling Green, Ohio","Ohio",254000414,0,7507176,9474345,63371332
196088,13,"University at Buffalo","12 Capen Hall, Buffalo, New York","New York",498039815,17135933,3755075,152284555,84783733
110635,14,"University of California-Berkeley","200 California Hall, Berkeley, California","California",NA,318866000,29354000,662825751,204746369
169248,15,"Central Michigan University","106 Warriner Hall, Mount Pleasant, Michigan","Michigan",117807239,5826140,4051659,18114018,60775712
199139,16,"University of North Carolina at Charlotte","9201 University City Blvd, Charlotte, North Carolina","North Carolina",347777231,19924955,8142548,31610148,57865553
201885,17,"University of Cincinnati-Main Campus","2624 Clifton Avenue, Cincinnati, Ohio","Ohio",334321987,61155627,7707142,202792763,105976499
217882,18,"Clemson University","201 Sikes Hall, Clemson, South Carolina","South Carolina",643988928,79351861,24094118,208078626,110275074
218724,19,"Coastal Carolina University","103 Tom Trout Drive, Conway, South Carolina","South Carolina",116751216,3706199,3112709,1995038,46438246
126614,20,"University of Colorado Boulder","Regent Drive at Broadway, Boulder, Colorado","Colorado",936403093,85769593,10689539,434258834,130375562
126818,21,"Colorado State University-Fort Collins","102 Administration Building, Fort Collins, Colorado","Colorado",393727932,47547828,25861442,259368441,117831415
129020,22,"University of Connecticut","352 Mansfield Road, Storrs, Connecticut","Connecticut",1176739003,34299721,3906863,181631401,248756072
198464,23,"East Carolina University","East 5th Street, Greenville, North Carolina","North Carolina",334422359,16960597,3967730,37430063,50079868
169798,24,"Eastern Michigan University","900 Oakwood St., Ypsilanti, Michigan","Michigan",51770433,7495972,1000000,6398911,56680271
133669,25,"Florida Atlantic University","777 Glades Rd, Administration Bldg., Room 339, Boca Raton, Florida","Florida",335746854,0,52899,70590655,85003931
133951,26,"Florida International University","11200 S. W. 8 Street, Miami, Florida","Florida",515026575,24588509,4733283,160690983,176130120
134130,27,"University of Florida","Tigert Hall, Gainesville, Florida","Florida",1904336000,184502000,25449000,760304000,214885000
134097,28,"Florida State University","222 S. Copeland Street, Tallahassee, Florida","Florida",800831952,80703179,4366218,200161932,181230095
110556,29,"California State University-Fresno","5241 N Maple Ave, Fresno, California","California",98515182,6224320,1934800,5168970,110504482
139959,30,"University of Georgia","Administration Building, Athens, Georgia","Georgia",449120250,55458690,40631467,460871801,148692303
139931,31,"Georgia Southern University","1332 Southern Drive, Statesboro, Georgia","Georgia",93842519,9613153,59246890,13913828,45303451
139940,32,"Georgia State University","33 Gilmer St, Atlanta, Georgia","Georgia",316908195,11409950,13241198,195225515,70598442
139755,33,"Georgia Institute of Technology-Main Campus","225 North Ave, Atlanta, Georgia","Georgia",542651319,2561674,56461678,939843552,53813649
225511,34,"University of Houston","4302 University Drive, Room 212, Houston, Texas","Texas",902447567,130405900,0,206303658,128975441
145637,35,"University of Illinois Urbana-Champaign","601 E John Street, Champaign, Illinois","Illinois",686054869,155585678,3652607,605523078,244217549
151351,36,"Indiana University-Bloomington","107 South Indiana Ave., Bloomington, Indiana","Indiana",364189223,81787339,11823412,124886300,203353559
153658,37,"University of Iowa","101 Jessup Hall, Iowa City, Iowa","Iowa",877479000,101565000,28430000,409098000,114490000
153603,38,"Iowa State University","1750 Beardshear Hall, Ames, Iowa","Iowa",377592231,59650711,41384517,200827634,147102705
155317,39,"University of Kansas","Strong Hall, 1450 Jayhawk Blvd, Room 230, Lawrence, Kansas","Kansas",488472198,57941219,13845739,320433418,32518282
155399,40,"Kansas State University","919 Mid-Campus Drive, Anderson Hall, Manhattan, Kansas","Kansas",311220393,0,31883091,212973215,50420423
203517,41,"Kent State University at Kent","Executive Office, 2nd Floor Library, Kent, Ohio","Ohio",427300000,9978901,0,21089216,77027621
157085,42,"University of Kentucky","South Limestone, Lexington, Kentucky","Kentucky",1037832739,62598007,71570061,336158166,176524210
159647,43,"Louisiana Tech University","1310 West Railroad Avenue, Ruston, Louisiana","Louisiana",53339659,22897230,252871,22920594,36957317
160658,44,"University of Louisiana at Lafayette","104 University Circle, Lafayette, Louisiana","Louisiana",70604892,4359254,1924619,62299731,33822138
159993,45,"University of Louisiana at Monroe","700 University Avenue, Monroe, Louisiana","Louisiana",34486846,242401,36771,7221153,15178098
157289,46,"University of Louisville","2301 S 3rd St, Louisville, Kentucky","Kentucky",242335000,30838000,36016000,151078000,96059000
159391,47,"Louisiana State University and Agricultural & Mechanical College","156 Thomas Boyd Hall, Baton Rouge, Louisiana","Louisiana",466559650,130356123,12489684,234065320,94389614
237525,48,"Marshall University","1 John Marshall Dr, Huntington, West Virginia","West Virginia",100117780,1401760,4709027,16803790,42089869
163286,49,"University of Maryland-College Park",", College Park, Maryland","Maryland",835493600,27486152,25228965,483330489,109394701
166629,50,"University of Massachusetts-Amherst","374 Whitmore Building 181 Presidents Drive, Amherst, Massachusetts","Massachusetts",289548000,17699805,1710248,151920765,151628122
220862,51,"University of Memphis","Alumni Avenue, Memphis, Tennessee","Tennessee",44053312,27862677,2128039,62667692,69583363
204024,52,"Miami University-Oxford","501 East High St, Oxford, Ohio","Ohio",742062982,25041174,7939598,16138908,96830526
170976,53,"University of Michigan-Ann Arbor","1109 Geddes Avenue, Ann Arbor, Michigan","Michigan",2813496000,175732000,28299000,955414000,394475000
171100,54,"Michigan State University",", East Lansing, Michigan","Michigan",739090700,60745830,75216248,469370923,148441437
220978,55,"Middle Tennessee State University","1301 East Main Street, Murfreesboro, Tennessee","Tennessee",90798083,4730535,2007977,9105504,64693534
174066,56,"University of Minnesota-Twin Cities","100 Church Street SE, Minneapolis, Minnesota","Minnesota",1037214070,205945622,21573930,886948175,249760825
