"UNITID","d1_id","school_name","2018_discounts_to_tuiton","2019_discounts_to_tuiton","2020_discounts_to_tuiton","2021_discounts_to_tuiton","2022_discounts_to_tuiton"
229115,88,"Texas Tech University",74138579,90224874,111490717,121055562,124867556
206084,89,"University of Toledo",81680464,82063706,82685575,75072280,78216838
100663,90,"University of Alabama at Birmingham",49334451,80228711,85456029,91726065,95706620
132903,91,"University of Central Florida",169884142,199575020,221585494,237499738,250976316
110662,92,"University of California-Los Angeles",246760403,215105914,231788389,252086067,232769685
182281,93,"University of Nevada-Las Vegas",71552000,75268000,82176000,101435000,101822000
230764,94,"University of Utah",86024000,98592000,108272000,102130000,121685000
230728,95,"Utah State University",85743959,91968747,88224115,91341266,94281507
228796,96,"The University of Texas at El Paso",50704220,55271705,58427113,55242741,57253448
229027,97,"The University of Texas at San Antonio",91975489,97607117,101242363,112875355,123963612
234076,98,"University of Virginia-Main Campus",120641356,135589047,149503692,160821659,167632688
233921,99,"Virginia Polytechnic Institute and State University",113598300,117955937,125936172,133329786,147361074
236948,100,"University of Washington-Seattle Campus",154854273,159390155,198768748,230926603,189116395
236939,101,"Washington State University",139941085,149104519,151929389,159123014,163123359
238032,102,"West Virginia University",80628813,84138945,85146542,90991435,95333326
157951,103,"Western Kentucky University",66661486,69995972,66165773,75389048,79789425
172699,104,"Western Michigan University",60835085,65751013,61492115,55852999,54311599
240444,105,"University of Wisconsin-Madison",95764140,129085410,164401227,171117021,165712714
240727,106,"University of Wyoming",35819903,40625000,41212000,45801000,44007000
