"unitid","school_name","address","state","A01","H03A"
100690,"Amridge University","1200 Taylor Rd, Montgomery, Alabama","Alabama",9216811,0
100937,"Birmingham-Southern College","900 Arkadelphia Road, Birmingham, Alabama","Alabama",41963466,723856
101189,"Faulkner University","5345 Atlanta Hwy, Montgomery, Alabama","Alabama",20438080,139049
101365,"Herzing University-Birmingham","280 West Valley Ave, Birmingham, Alabama","Alabama",0,NA
101435,"Huntingdon College","1500 East Fairview Avenue, Montgomery, Alabama","Alabama",51696929,412088
101453,"Heritage Christian University","3625 Helton Dr, Florence, Alabama","Alabama",14836700,578140
101541,NA,NA,NA,16781261,0
101675,"Miles College","5500 Myron Massey Blvd, Fairfield, Alabama","Alabama",24402543,0
101693,"University of Mobile","5735 College Parkway, Mobile, Alabama","Alabama",16920422,114624
101912,"Oakwood University","7000 Adventist Blvd NW, Huntsville, Alabama","Alabama",25717607,0
102049,"Samford University","800 Lakeshore Drive, Birmingham, Alabama","Alabama",303289319,2959414
102234,"Spring Hill College","4000 Dauphin St, Mobile, Alabama","Alabama",63735965,376140
102270,"Stillman College","3601 Stillman Boulevard, Tuscaloosa, Alabama","Alabama",18932197,0
102298,"Talladega College","627 West Battle Street, Talladega, Alabama","Alabama",3268514,0
102377,"Tuskegee University","Kresge Center, 3rd Floor, Tuskegee, Alabama","Alabama",155354857,937630
102395,"United States Sports Academy","One Academy Drive, Daphne, Alabama","Alabama",17630915,0
102580,"Alaska Bible College","248 E Elmwood Ave, Palmer, Alaska","Alaska",0,49000
102669,"Alaska Pacific University","4101 University Dr, Anchorage, Alaska","Alaska",108389954,0
103945,NA,NA,NA,0,NA
104586,"Embry-Riddle Aeronautical University-Prescott","3700 Willow Creek Road, Prescott, Arizona","Arizona",NA,2816000
104665,"The School of Architecture","7610 E. McDonald Dr, Suite G, Scottsdale, Arizona","Arizona",NA,30000
105589,"Prescott College","220 Grove Ave, Prescott, Arizona","Arizona",2243628,12354
105899,"Arizona Christian University","1 W. Firestorm Way, Glendale, Arizona","Arizona",1044975,0
106306,"Arkansas Baptist College","1600 Dr. Martin Luther King Jr. Drive, Little Rock, Arkansas","Arkansas",0,NA
106342,"Lyon College","2300 Highland Road, Batesville, Arkansas","Arkansas",81440710,37720824
106546,"Baptist Health College Little Rock","11900 COLONEL GLENN RD STE 1000, Little Rock, Arkansas","Arkansas",NA,150791
106713,"Central Baptist College","1501 College Avenue, Conway, Arkansas","Arkansas",3565031,69968
106810,"Crowley's Ridge College","100 College Dr, Paragould, Arkansas","Arkansas",80077,38773
107044,"Harding University","915 E. Market Ave., Searcy, Arkansas","Arkansas",175579077,4219243
107080,"Hendrix College","1600 Washington Ave, Conway, Arkansas","Arkansas",180196436,1828457
107123,"Jefferson Regional School of Nursing","1600 West 40th Avenue, Pine Bluff, Arkansas","Arkansas",NA,NA
107141,"John Brown University","2000 W University St, Siloam Springs, Arkansas","Arkansas",126525920,2275548
107512,"Ouachita Baptist University","410 Ouachita St, Arkadelphia, Arkansas","Arkansas",100856328,1861679
107558,"University of the Ozarks","415 N College Ave, Clarksville, Arkansas","Arkansas",107243950,1896939
107600,"Philander Smith University","900 W. Daisy Bates Drive, Little Rock, Arkansas","Arkansas",9672116,153481
107840,"Shorter College","604 Locust St, N Little Rock, Arkansas","Arkansas",0,NA
107877,"Williams Baptist University","60 W Fulbright Avenue, Walnut Ridge, Arkansas","Arkansas",14763265,112355
108269,"Academy of Chinese Culture and Health Sciences","1600 Broadway, Ste. 200, Oakland, California","California",0,NA
108852,"American Academy of Dramatic Arts-Los Angeles","1336 North La Brea Avenue, Los Angeles, California","California",0,0
108861,"Berkeley School of Theology","2606 Dwight Way, Berkeley, California","California",6239836,30275
108870,"American Film Institute Conservatory","2021 N Western Ave, Los Angeles, California","California",17703428,705785
109086,NA,NA,NA,12908939,0
109651,"Art Center College of Design","1700 Lida St, Pasadena, California","California",141057000,4823000
109785,"Azusa Pacific University","901 E Alosta, Azusa, California","California",80690863,884357
110060,"Bethesda University","730 N. Euclid St, Anaheim, California","California",5135653,NA
110097,"Biola University","13800 Biola Ave, La Mirada, California","California",194094000,3192204
