"UNITID","school_name","coach_comp_third_2022","support_comp_third_2022","coach_comp_2022","guarantees_2022","total_ops_2022","aid_2022","support_comp_2022","severance_2022","recruiting_2022","teamtravel_2022","equip_2022","game_expenses_2022","marketing_2022","camps_2022","spirit_2022","facilities_rentals_2022","overhead_2022","indirect_institutional_2022","medical_2022","memberships_2022","meals_2022","otherops_2022","bowl_expense_2022","prof_def_2022","bowl_coachcomp_2022","total_expendature","discounts_to_tuition","gifts","reseach_expendatures","graduation_rate"
100663,"University of Alabama at Birmingham",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,95706620,37066668,360236807,59737
100751,"The University of Alabama",0,0,35145423,4963000,195881911,18952318,34278979,612003,3824089,7079927,3228551,9054652,4768059,788310,606206,22395628,14577963,2654551,4028239,327931,918301,18502145,7292345,18483446,1916606,410280583,280492218,44942506,169667611,48647
100858,"Auburn University",0,0,27449777,4215945,151590763,17038195,25396250,8237638,2730647,8632590,6204610,3067546,4516712,0,655092,12690741,14971506,0,1412131,422514,2225015,10585260,870914,22977679,267680,326159205,150555527,52178255,263777680,9686
102094,"University of South Alabama",0,0,7579172,675362,33001239,6997986,4528628,4530,535150,2706601,1457136,1037544,184568,16684,333230,2712653,731440,0,817639,481869,580211,1620836,0,6118744,0,72121222,36331000,30074000,37274000,56261
104151,"Arizona State University Campus Immersion",5000,0,24577801,1679756,124008192,17101566,23296020,362648,1269014,6037951,5374815,6510882,4019928,0,437442,12181318,9645903,2305308,2367604,61876,2191462,2516596,1845366,NA,219936,248016384,586481000,76602000,457328000,72219
104179,"University of Arizona",1014800,14400,21380323,1842910,124944926,13829484,19982551,0,2594234,9412194,4620624,4689803,1608565,0,232091,13890644,14061147,2601602,1144200,171775,2944477,8909102,0,NA,0,249889852,329727000,109238000,576795000,11629
106397,"University of Arkansas",0,0,26915488,4808748,144319041,15443333,24446009,2479012,2262001,10852298,3174497,7261453,2026799,83667,1177524,10500595,17136024,0,1391696,109160,4037225,7133640,2196445,8194714,883427,296832796,88934151,77906165,186954141,38069
106458,"Arkansas State University",1694784,358695,3534533,439750,32376515,7149603,3289857,0,444885,3037320,1985068,1118759,520261,0,56501,1328758,1335701,0,286490,113471,566550,5115529,0,0,0,64753030,35757960,2493124,10861280,31522
110556,"California State University-Fresno",12832,1993,10353796,974515,46515828,7019627,8449696,665388,680707,3198344,2270114,3093979,526093,127538,252821,313489,1238832,413522,1447887,617498,930469,3020955,652405,7608751,253328,100640407,111224789,6735620,3385818,50713
110635,"University of California-Berkeley",0,0,24104486,1790755,114485848,13128738,25700531,553564,2058379,8117376,5713272,4976888,4244985,0,112271,9448049,5303838,0,3156284,123618,2289441,3663373,0,3726331,0,232698027,294646848,391721000,773319412,19519
110662,"University of California-Los Angeles",0,0,27014228,2880000,131106913,16163943,22756520,0,1752172,7013636,4615691,10937778,998335,426576,47017,10051702,12025644,0,1343523,52267,4206603,7768011,900972,NA,152295,262213826,232769685,403663000,1204766644,17862
122409,"San Diego State University",0,0,12583145,1321189,67245917,9456607,12045522,0,718536,4571816,1313736,3486801,10411566,28167,234065,1474113,2498442,2276118,802907,533800,279424,1606642,1196086,NA,407235,134491834,125381409,18148963,7383383,22543
122755,"San Jose State University",0,0,9683950,838212,39030022,7978859,7956996,0,765575,3470088,1224288,2253094,711062,10172,76023,527273,53155,1289877,398789,42956,487360,1262293,0,200,0,78060244,107232867,5402691,886277,25484
126614,"University of Colorado Boulder",0,0,16592504,2675007,95968696,12119821,18221731,953134,1247057,4279701,1643354,3954962,821185,200420,266685,7256406,10334777,2358054,1762088,130550,1871498,9279762,0,NA,0,191937392,163153968,78723332,521977056,26425
126818,"Colorado State University-Fort Collins",30942,0,10683998,820568,61220502,9469746,7589601,1589459,1030814,3689146,2127930,2006996,782085,250105,106719,12574192,1521399,1944899,554027,646953,975029,2825894,0,42728,0,122483732,116474344,54497610,300177103,41495
129020,"University of Connecticut",0,0,19716624,2184500,96742518,12889346,15660755,12625742,2422902,7894202,2486937,3323180,817040,0,63824,7349869,391114,0,1194392,146154,1213005,6362932,0,2299442,0,195784478,278956167,37901054,214573714,46232
132903,"University of Central Florida",0,0,14287303,1942471,69099289,10771396,12708471,0,1026083,4313340,1631061,2091879,2446580,0,179722,5641911,5864984,0,677548,240683,1026533,3500973,581059,20128916,167292,158327494,250976316,18936680,201670115,57898
133669,"Florida Atlantic University",0,0,7563874,742673,38132721,NA,5385412,54033,537828,2928181,1553005,2493235,678240,0,97901,2357483,2209283,4243014,1085968,420451,903478,612008,0,1068803,0,73067591,91884993,0,76047244,26985
133951,"Florida International University",0,0,7139217,610172,39433624,8048411,5269541,0,360629,2621524,970895,1192016,1131700,0,201836,3343486,3427122,2583709,352215,492240,377306,1311605,0,1610261,0,80477509,196224665,27224659,189980956,23389
134097,"Florida State University",0,0,25612597,2443718,150777734,10789646,22828185,59502,1619148,9021018,5325233,3525810,3610347,0,237689,10725593,22202122,0,1812040,2775051,2145877,26044158,0,10364150,0,311919618,136565929,72606344,229585739,15611
134130,"University of Florida",750000,0,30580213,3276612,174365070,14256396,40419397,17207528,2966896,10845140,4068828,6502339,2656556,717972,175244,10773719,17800561,0,2406551,119610,3709081,3402223,875798,16052069,854406,364782209,245623000,206428000,862745000,36480
137351,"University of South Florida",20000,5000,12294777,1126590,62288597,8857013,11304767,199458,1082899,5658716,3729547,2645203,866659,0,211294,5410833,3864941,0,882787,25203,1332710,2770200,0,NA,0,124577194,145928163,28465481,377753739,33506
139755,"Georgia Institute of Technology-Main Campus",0,0,18842872,3050064,104719581,13344394,15462415,250000,1940118,5393320,3800507,5485510,5148943,0,798616,12938725,11485129,3785096,1773295,377185,843392,0,0,1915513,0,211354675,54744989,1228480,1233341690,39809
139931,"Georgia Southern University",0,0,5902319,778833,30700262,6660199,6267100,598541,431841,2152253,816989,714173,669813,0,52914,1826716,842134,1101498,425129,139043,308693,1012074,0,0,0,61400524,51803421,10511716,38526959,24452
139940,"Georgia State University",0,0,7172890,258444,39913963,8435368,5131166,0,319888,1881044,1405744,1012898,647559,0,13476,4091556,822299,265476,315713,136249,380090,7297306,191797,5752947,135000,85580873,86352959,19085,222835613,50671
139959,"University of Georgia",0,0,37201618,3165100,169026503,11877100,28976660,4669812,6294697,7430971,1749845,8101934,3152230,361839,716883,9518325,17335711,0,2446508,130254,4033283,13052283,5736219,34022063,3075231,372075069,175679587,87110021,514369516,10814
142115,"Boise State University",0,0,9226133,990140,50328947,9859723,9449942,0,772351,3957831,654830,1273233,598805,96893,227795,3699467,3185190,2180691,1021299,787294,879148,1116716,351466,240200,0,100898094,29712200,32882833,42088072,42653
