"UNITID","school_name","coach_comp_third_2020","support_comp_third_2020","coach_comp_2020","guarantees_2020","total_ops_2020","aid_2020","support_comp_2020","severance_2020","recruiting_2020","teamtravel_2020","equip_2020","game_expenses_2020","marketing_2020","camps_2020","spirit_2020","facilities_rentals_2020","overhead_2020","indirect_institutional_2020","medical_2020","memberships_2020","meals_2020","otherops_2020","bowl_expense_2020","prof_def_2020","bowl_coachcomp_2020","total_expendature","discounts_to_tuition","gifts","reseach_expendatures","graduation_rate"
100663,"University of Alabama at Birmingham",0,0,7664029,732426,35441324,7736658,5441451,290794,508630,2373823,1347430,1010052,657784,0,912611,1178823,1323125,218652,561347,393394,403672,2114601,413323,284107,158699,71166755,85456029,18705016,302659583,63107
100751,"The University of Alabama",0,0,30821496,4583000,173141125,17365698,32183991,850044,3396572,5464311,3448983,8048587,3718321,725324,512024,23822661,9237264,2654551,3022769,160549,854409,17356340,2921416,16141424,1087332,361518191,275547610,54380178,87882725,43762
100858,"Auburn University",0,0,28588886,5096579,135816431,17520682,25803270,734877,1702093,5604836,5417199,3059496,3763302,0,597064,11071316,14810108,0,823611,308083,1518651,7362657,1443721,17887318,590000,289520180,122754700,42495971,220256565,10133
102094,"University of South Alabama",0,0,5539642,62107,28321414,6267712,5084876,0,351163,1366126,1249374,573356,272904,0,284151,3697320,1477614,0,568550,113762,235408,1177349,0,NA,0,56642828,38995000,14688000,39373000,NA
104151,"Arizona State University Campus Immersion",5000,0,21191081,2777041,117912821,16831956,21605192,1315594,1342096,5506808,5690933,4364221,4400888,0,604499,11872314,11154418,1766785,1855129,55603,1678808,2210177,1301872,NA,382406,235825642,462730000,76803000,390674000,67207
104179,"University of Arizona",1245850,35350,18251162,1678100,101084625,13050203,17709791,0,1475592,5784185,2964256,5156210,1482270,0,232965,13567250,6266864,2115843,1270391,159481,1945860,6693002,0,NA,0,202169250,267055000,88956000,548629000,11986
106397,"University of Arkansas",175000,0,22573923,4908585,123857351,12968081,23313334,2021817,1944282,5246132,3872320,5550687,2547847,61334,1210261,16016911,8822460,0,1614146,97260,3462352,7450619,0,NA,0,247714702,81823058,84468279,164914624,43868
106458,"Arkansas State University",1300581,397408,3290795,379850,36282680,7858369,3020674,0,399959,2282835,2294325,991023,525043,0,7092,2936530,1695073,0,266609,132597,110566,7993966,317052,0,82333,72565360,39365713,2593269,12022714,28756
110556,"California State University-Fresno",19171,3875,11761404,913148,48106185,7912018,9172728,213698,471401,2946077,1507765,3336629,1032063,276924,278181,485624,1210244,1504351,1535237,623999,928810,1972838,0,NA,0,96212370,112152620,5758688,3377601,46556
110635,"University of California-Berkeley",0,0,21050441,1110748,101829452,10906347,23748752,1115358,1424911,5558582,5305002,5111296,4446741,0,230197,9315098,4753869,0,2402473,56366,1979761,2865420,301370,3215130,146720,206874034,214988712,326789000,692475106,21434
