"UNITID","school_name","coach_comp_third_2019","support_comp_third_2019","coach_comp_2019","guarantees_2019","total_ops_2019","aid_2019","support_comp_2019","severance_2019","recruiting_2019","teamtravel_2019","equip_2019","game_expenses_2019","marketing_2019","camps_2019","spirit_2019","facilities_rentals_2019","overhead_2019","indirect_institutional_2019","medical_2019","memberships_2019","meals_2019","otherops_2019","bowl_expense_2019","prof_def_2019","bowl_coachcomp_2019","total_expendature","discounts_to_tuition","gifts","reseach_expendatures","graduation_rate"
100663,"University of Alabama at Birmingham",0,0,48.5563,5.4365,229.9094,51.7201,33.7908,0,4.6072,18.3944,9.077,6.4162,4.1064,0,4.9129,5.9193,8.6857,1.6168,3.6755,2.4758,2.5938,13.6419,2.8947,5.1348,1.3881,464.9537,516.7178,297.9674,1991.7702,0.3853
100751,"The University of Alabama",0,0,94.2458,11.8981,553.1904,54.3139,95.8232,20.152,12.0195,22.2151,11.2286,26.3801,12.5582,5.0537,1.7815,57.2177,33.6078,7.9241,9.8415,0.7214,2.621,45.3088,23.4597,NA,4.8186,1106.3808,817.1207,87.8834,255.9943,0.1228
100858,"Auburn University",0,0,159.9109,23.7965,803.2851,94.0093,148.803,1.6432,12.6218,40.0791,30.3128,18.6573,26.7679,0,3.8068,68.3478,76.3569,0,5.1848,1.5719,10.8213,71.6475,6.664,76.1098,2.2823,1682.68,707.0706,277.0634,1200.8717,0.0548
102094,"University of South Alabama",0,0,15.153,2.2588,93.5057,20.2434,13.833,0,1.4269,5.9845,4.0497,2.1761,0.8884,0,0.9721,11.5234,7.9332,0,1.5439,0.3184,0.5326,4.6683,0,NA,0,187.0114,98.4693,33.5215,97.6103,0.2869
104151,"Arizona State University Campus Immersion",0,0,44.2249,3.2532,266.4233,37.2985,46.2299,0.2714,3.6387,13.7295,13.1854,9.2089,11.7766,0,1.8137,25.1888,37.0526,4.1219,3.457,0.1317,3.9604,4.4047,2.8763,7.4129,0.5994,540.2595,905.7922,186.1542,812.3945,0.0999
104179,"University of Arizona",1292850,0.1152,68.1558,9.5207,418.4106,55.8848,71.3947,0,7.5825,25.385,14.1336,23.0922,6.2482,0,1.0826,54.5482,27.0355,7.8362,5.6874,0.6599,9.0229,25.6461,0,18.8289,0,855.6501,967.1981,351.8922,2199.9151,0.0452
106397,"University of Arkansas",175000,0,210.7277,37.4897,1235.68,121.68,208.3124,26.9195,31.2213,76.5395,42.3688,59.8382,31.7169,0.539,12.5238,149.0713,73.3724,0,17.9459,0.8188,34.8389,98.0877,0,75.0961,0,2546.4561,736.8574,740.4629,1614.5744,0.3762
106458,"Arkansas State University",1437300,1.383,12.6666,2.3393,137.7727,27.9831,11.3561,0,2.0233,10.0653,6.7778,3.477,1.8151,0,0.0376,8.0707,5.7085,0,1.1117,0.5162,0.4837,33.0833,2.8767,0,0.4276,275.5454,156.8537,10.2945,41.6273,0.1053
110556,"California State University-Fresno",22408,0.0093,72.3111,4.2385,286.8117,46.4492,49.1563,3.7121,3.8195,20.3494,8.1602,19.3858,6.2784,1.5854,1.6958,1.7542,8.1568,1.8833,10.4888,3.4749,5.8019,11.7758,3.5245,NA,2.6722,573.6233,632.8791,35.6478,29.6036,0.2809
110635,"University of California-Berkeley",0,0,104.6133,6.7396,516.7996,58.1813,106.5069,4.0517,8.5717,33.9408,21.8693,25.3109,23.2661,0,0.7928,53.8087,26.6216,0,12.8684,0.1276,4.9214,20.2082,3.4305,NA,0.9689,1033.5991,991.9017,1544.7587,3211.085,0.1108
