"UNITID","school_name","coach_comp_third_2022","support_comp_third_2022","coach_comp_2022","guarantees_2022","total_ops_2022","aid_2022","support_comp_2022","severance_2022","recruiting_2022","teamtravel_2022","equip_2022","game_expenses_2022","marketing_2022","camps_2022","spirit_2022","facilities_rentals_2022","overhead_2022","indirect_institutional_2022","medical_2022","memberships_2022","meals_2022","otherops_2022","bowl_expense_2022","prof_def_2022","bowl_coachcomp_2022","total_expendature","discounts_to_tuition","gifts","reseach_expendatures","graduation_rate"
100663,"University of Alabama at Birmingham",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,788.2408,305.2815,2966.9144,0.492
100751,"The University of Alabama",0,0,108.3571,15.3015,603.9251,58.432,105.6858,1.8869,11.7901,21.8282,9.954,27.9165,14.7004,2.4304,1.869,69.0481,44.9454,8.1843,12.4195,1.011,2.8312,57.0441,22.4831,56.9865,5.9091,1264.9395,864.7879,138.5626,523.1036,0.15
100858,"Auburn University",0,0,148.0411,22.7373,817.5535,91.8897,136.9661,44.4269,14.7268,46.557,33.4625,16.5438,24.3594,0,3.533,68.4432,80.7437,0,7.6159,2.2787,11.9999,57.088,4.697,123.9223,1.4436,1759.0293,811.9703,281.4058,1422.5956,0.0522
102094,"University of South Alabama",0,0,19.0797,1.7001,83.0767,17.6166,11.4003,0.0114,1.3472,6.8136,3.6682,2.6119,0.4646,0.042,0.8389,6.8288,1.8413,0,2.0583,1.213,1.4606,4.0803,0,15.4032,0,181.5567,91.459,75.7078,93.8329,0.1416
104151,"Arizona State University Campus Immersion",5000,0,36.7206,2.5096,185.2749,25.5507,34.8055,0.5418,1.896,9.021,8.0303,9.7276,6.006,0,0.6536,18.1995,14.4115,3.4443,3.5373,0.0924,3.2742,3.7599,2.7571,NA,0.3286,370.5498,876.2341,114.4475,683.2726,0.1079
104179,"University of Arizona",1014800,0.0579,85.9766,7.4109,502.4406,55.6125,80.3558,0,10.4322,37.8492,18.5809,18.8591,6.4685,0,0.9333,55.8584,56.544,10.4618,4.6012,0.6908,11.8406,35.8261,0,NA,0,1004.8813,1325.9301,439.2784,2319.4639,0.0468
106397,"University of Arkansas",0,0,282.5951,50.4887,1515.256,162.1449,256.6672,26.028,23.7495,113.9421,33.3302,76.2405,21.2801,0.8784,12.3632,110.2494,179.9171,0,14.6119,1.1461,42.3882,74.8986,23.0612,86.0392,9.2754,3116.5511,933.7507,817.964,1962.8968,0.3997
106458,"Arkansas State University",1694784,1.3563,13.3645,1.6627,122.4194,27.0335,12.4393,0,1.6822,11.4845,7.5058,4.2302,1.9672,0,0.2136,5.0242,5.0504,0,1.0833,0.429,2.1422,19.3424,0,0,0,244.8389,135.2051,9.4268,41.0678,0.1192
110556,"California State University-Fresno",12832,0.0124,64.6708,6.0869,290.5423,43.8453,52.7776,4.1561,4.2518,19.9772,14.1794,19.3253,3.286,0.7966,1.5791,1.9581,7.7379,2.5829,9.0436,3.857,5.8118,18.8692,4.075,47.525,1.5823,628.6097,694.7207,42.0713,21.1481,0.3168
110635,"University of California-Berkeley",0,0,114.85,8.5324,545.4876,62.5541,122.4546,2.6376,9.8075,38.6766,27.2219,23.7132,20.226,0,0.5349,45.0169,25.2711,0,15.0387,0.589,10.9084,17.4548,0,17.7547,0,1108.73,1403.8958,1866.4224,3684.614,0.093
110662,"University of California-Los Angeles",0,0,186.1689,19.8476,903.5251,111.394,156.8269,0,12.0751,48.3346,31.8091,75.3778,6.88,2.9398,0.324,69.2714,82.8749,0,9.2589,0.3602,28.9899,53.5334,6.2091,NA,1.0495,1807.0502,1604.1355,2781.8491,8302.6659,0.1231
122409,"San Diego State University",0,0,50.564,5.3091,270.2202,38.0003,48.4036,0,2.8874,18.3713,5.2791,14.0113,41.8377,0.1132,0.9406,5.9236,10.0397,9.1463,3.2264,2.145,1.1228,6.4561,4.8063,NA,1.6364,540.4404,503.8312,72.9296,29.6693,0.0906
122755,"San Jose State University",0,0,27.1142,2.3469,109.2807,22.3401,22.2789,0,2.1435,9.7159,3.4279,6.3085,1.9909,0.0285,0.2129,1.4763,0.1488,3.6115,1.1166,0.1203,1.3646,3.5343,0,6e-04,0,218.5619,300.2427,15.1271,2.4815,0.0714
126614,"University of Colorado Boulder",0,0,131.6844,21.2299,761.6442,96.1875,144.6146,7.5644,9.8971,33.9653,13.0423,31.3881,6.5172,1.5906,2.1165,57.5896,82.0207,18.7144,13.9846,1.0361,14.8529,73.6477,0,NA,0,1523.2885,1294.8522,624.7784,4142.6093,0.2097
126818,"Colorado State University-Fort Collins",30942,0,41.6784,3.201,238.8217,36.9416,29.6071,6.2005,4.0212,14.3914,8.3011,7.8293,3.0509,0.9757,0.4163,49.052,5.935,7.5871,2.1613,2.5238,3.8036,11.0238,0,0.1667,0,477.81,454.3674,212.5956,1170.9933,0.1619
129020,"University of Connecticut",0,0,62.1576,6.8867,304.9852,40.6342,49.3712,39.8032,7.6383,24.8868,7.8402,10.4765,2.5758,0,0.2012,23.1708,1.233,0,3.7654,0.4608,3.8241,20.0594,0,7.2491,0,617.2194,879.422,119.4848,676.4534,0.1457
132903,"University of Central Florida",0,0,62.1749,8.4532,300.7036,46.8745,55.3042,0,4.4653,18.7706,7.098,9.1034,10.6469,0,0.7821,24.5523,25.523,0,2.9485,1.0474,4.4672,15.2354,2.5286,87.5962,0.728,689.0035,1092.1891,82.4079,877.6203,0.252
133669,"Florida Atlantic University",0,0,80.4924,7.9033,405.7968,NA,57.3099,0.575,5.7234,31.1608,16.5266,26.5322,7.2176,0,1.0418,25.0876,23.5105,45.1529,11.5565,4.4743,9.6145,6.5128,0,11.3739,0,777.563,977.812,0,809.2715,0.2872
133951,"Florida International University",0,0,21.9012,1.8718,120.9717,24.6903,16.1655,0,1.1063,8.0421,2.9784,3.6568,3.4717,0,0.6192,10.2569,10.5135,7.9261,1.0805,1.5101,1.1575,4.0236,0,4.9398,0,246.8832,601.9642,83.5179,582.8102,0.0718
134097,"Florida State University",0,0,95.7337,9.134,563.5708,40.3291,85.3263,0.2224,6.052,33.7184,19.9044,13.1786,13.4946,0,0.8884,40.0897,82.9862,0,6.773,10.3725,8.0208,97.3468,0,38.7387,0,1165.8803,510.4505,271.385,858.1361,0.0584
134130,"University of Florida",750000,0,145.095,15.5467,827.3158,67.6428,191.7793,81.6451,14.0771,51.4573,19.3055,30.8519,12.6046,3.4066,0.8315,51.1184,84.4589,0,11.4184,0.5675,17.5986,16.1426,4.1554,76.1628,4.0539,1730.7943,1165.4156,979.4458,4093.495,0.1731
137351,"University of South Florida",20000,0.0214,52.6016,4.82,266.4935,37.8936,48.366,0.8534,4.633,24.2101,15.9564,11.3172,3.7079,0,0.904,23.1495,16.5356,0,3.7769,0.1078,5.7018,11.8519,0,NA,0,532.987,624.3343,121.7858,1616.1694,0.1434
139755,"Georgia Institute of Technology-Main Campus",0,0,143.2134,23.1817,795.9108,101.4227,117.5206,1.9001,14.7457,40.9914,28.8854,41.6921,39.134,0,6.0698,98.3395,87.2916,28.7682,13.4778,2.8668,6.4101,0,0,14.5587,0,1606.3803,416.0839,9.3369,9373.8918,0.3026
139931,"Georgia Southern University",0,0,22.953,3.0287,119.3875,25.9003,24.3716,2.3276,1.6793,8.3697,3.1771,2.7773,2.6048,0,0.2058,7.1038,3.2749,4.2835,1.6532,0.5407,1.2004,3.9358,0,0,0,238.775,201.4537,40.8781,149.8241,0.0951
139940,"Georgia State University",0,0,15.2256,0.5486,84.7236,17.9054,10.8917,0,0.679,3.9928,2.9839,2.15,1.3745,0,0.0286,8.685,1.7455,0.5635,0.6701,0.2892,0.8068,15.4897,0.4071,12.2115,0.2866,181.6587,183.2976,0.0405,473.0032,0.1076
139959,"University of Georgia",0,0,89.5393,7.618,406.8242,28.5866,69.7429,11.2396,15.1505,17.8854,4.2116,19.5003,7.587,0.8709,1.7254,22.9093,41.7247,0,5.8884,0.3135,9.7076,31.4151,13.8063,81.8866,7.4017,895.5349,422.8373,209.6622,1238.0187,0.026
142115,"Boise State University",0,0,25.2119,2.7057,137.5318,26.9433,25.8235,0,2.1106,10.8154,1.7894,3.4793,1.6363,0.2648,0.6225,10.1094,8.704,5.9591,2.7909,2.1514,2.4024,3.0516,0.9604,0.6564,0,275.72,81.1933,89.8576,115.0123,0.1166
