"UNITID","school_name","coach_comp_third_2020","support_comp_third_2020","coach_comp_2020","guarantees_2020","total_ops_2020","aid_2020","support_comp_2020","severance_2020","recruiting_2020","teamtravel_2020","equip_2020","game_expenses_2020","marketing_2020","camps_2020","spirit_2020","facilities_rentals_2020","overhead_2020","indirect_institutional_2020","medical_2020","memberships_2020","meals_2020","otherops_2020","bowl_expense_2020","prof_def_2020","bowl_coachcomp_2020","total_expendature","discounts_to_tuition","gifts","reseach_expendatures","graduation_rate"
100663,"University of Alabama at Birmingham",0,0,52.6788,5.0343,243.6064,53.178,37.4019,1.9988,3.4961,16.3165,9.2616,6.9426,4.5213,0,6.2728,8.1027,9.0945,1.5029,3.8584,2.704,2.7746,14.5347,2.841,1.9528,1.0908,489.1657,587.3832,128.5692,2080.3348,0.4338
100751,"The University of Alabama",0,0,92.8185,13.8016,521.412,52.2966,96.9216,2.5599,10.2287,16.4557,10.3866,24.2382,11.1977,2.1843,1.542,71.7416,27.8179,7.9941,9.103,0.4835,2.573,52.2684,8.7978,48.6097,3.2745,1088.7069,829.8077,163.7651,264.6576,0.1318
100858,"Auburn University",0,0,163.5913,29.1636,777.1686,100.2568,147.6514,4.2051,9.7397,32.072,30.9983,17.507,21.5344,0,3.4165,63.3523,84.7464,0,4.7129,1.7629,8.69,42.1306,8.2613,102.3548,3.3761,1656.692,702.4268,243.1704,1260.3518,0.058
102094,"University of South Alabama",0,0,15.1012,0.1693,77.205,17.086,13.8615,0,0.9573,3.7241,3.4058,1.563,0.7439,0,0.7746,10.079,4.028,0,1.5499,0.3101,0.6417,3.2095,0,NA,0,154.41,106.3015,40.0399,107.3319,NA
104151,"Arizona State University Campus Immersion",5000,0,46.2556,6.0617,257.3785,36.7406,47.1595,2.8717,2.9295,12.0202,12.4221,9.5262,9.6062,0,1.3195,25.9147,24.3477,3.8565,4.0494,0.1214,3.6645,4.8243,2.8417,NA,0.8347,514.757,1010.0408,167.6446,852.758,0.1467
104179,"University of Arizona",1245850,0.1484,76.6405,7.0467,424.4756,54.8006,74.3671,0,6.1963,24.289,12.4475,21.652,6.2244,0,0.9783,56.9717,26.3159,8.8849,5.3346,0.6697,8.1711,28.1053,0,NA,0,848.9512,1121.4202,373.545,2303.8087,0.0503
106397,"University of Arkansas",175000,0,223.2257,48.5393,1224.7825,128.2369,230.5375,19.993,19.2263,51.8772,38.292,54.8888,25.1948,0.6065,11.9679,158.3857,87.2423,0,15.9617,0.9618,34.238,73.6766,0,NA,0,2449.5649,809.1199,835.2776,1630.7836,0.4338
106458,"Arkansas State University",1300581,1.5389,12.7428,1.4709,140.4955,30.4295,11.6968,0,1.5487,8.8397,8.8842,3.8375,2.0331,0,0.0275,11.371,6.5637,0,1.0324,0.5134,0.4281,30.9546,1.2277,0,0.3188,280.991,152.4338,10.0418,46.5549,0.1114
110556,"California State University-Fresno",19171,0.0218,66.2629,5.1446,271.0269,44.5758,51.6785,1.204,2.6558,16.598,8.4946,18.7983,5.8146,1.5602,1.5673,2.736,6.8184,8.4754,8.6494,3.5156,5.2329,11.1148,0,NA,0,542.0537,631.86,32.444,19.0292,0.2623
110635,"University of California-Berkeley",0,0,99.2056,5.2347,479.8975,51.399,111.9221,5.2564,6.7153,26.1962,25.0012,24.0883,20.9564,0,1.0849,43.8998,22.4038,0,11.3223,0.2656,9.3301,13.504,1.4203,15.1521,0.6915,974.9471,1013.1897,1540.0773,3263.4672,0.101
