"UNITID","school_name","coach_comp_third_2021","support_comp_third_2021","coach_comp_2021","guarantees_2021","total_ops_2021","aid_2021","support_comp_2021","severance_2021","recruiting_2021","teamtravel_2021","equip_2021","game_expenses_2021","marketing_2021","camps_2021","spirit_2021","facilities_rentals_2021","overhead_2021","indirect_institutional_2021","medical_2021","memberships_2021","meals_2021","otherops_2021","bowl_expense_2021","prof_def_2021","bowl_coachcomp_2021","total_expendature","discounts_to_tuition","gifts","reseach_expendatures","graduation_rate"
153603,"Iowa State University",0,0,69.3542,2.0994,357.9564,38.7291,55.3411,35.3158,1.8415,15.99,12.7904,5.4705,3.6439,0,1.5375,42.056,32.9032,0,7.7217,3.7254,8.8119,15.0286,4.4118,NA,1.1844,715.9128,589.1856,195.2532,732.2626,0.0672
153658,"University of Iowa",541000,0,64.5457,0.9932,285.6721,32.6426,42.7164,3.093,0.2139,12.7479,5.878,3.618,6.3057,0.1726,1.0746,59.929,21.5958,0,4.2684,0.3938,9.5325,14.342,0.2854,NA,0,571.3443,258.5588,218.4466,1153.6222,0.0803
155317,"University of Kansas",0,0,55.3781,1.1934,238.3141,33.674,60.4391,11.8319,1.0024,10.4984,11.1576,3.7463,3.2143,0,0.1335,9.195,29.0334,0,2.6217,0.6938,3.6807,0.8205,0,NA,0,476.6282,71.2743,156.6232,859.7544,0.0469
155399,"Kansas State University",0,0,40.471,3.658,248.6275,21.8823,47.5523,0.7302,1.4868,10.8885,7.0051,7.4819,3.7593,0,0.124,62.9694,14.1182,0,3.8155,9.6672,5.6608,7.357,0,NA,0,497.255,118.7426,0,555.6631,0.101
157085,"University of Kentucky",0,0,122.118,1.121,494.6441,59.5938,91.4844,3.8403,1.4812,31.6955,11.9775,13.9806,2.1467,1.5346,3.1914,38.9795,78.5871,0,4.4699,0.2445,6.0525,17.9645,3.6582,2.2046,0.5231,991.4929,681.2501,226.672,1439.2304,0.0341
157289,"University of Louisville",0,0,87.2766,3.6287,394.5187,54.6436,65.5097,0,1.1561,14.4031,28.8797,14.244,4.2347,0,1.3373,12.7738,14.1094,9.4528,9.2057,0.3976,7.924,65.342,0,NA,0,789.0373,367.693,162.0438,616.6374,0.0773
157951,"Western Kentucky University",33913,0.1395,25.8976,2.7118,136.5857,29.925,20.028,0,0.232,9.0996,3.3524,5.4032,3.9915,0.4079,0.5714,14.4834,0,7.3805,2.5634,0.039,2.0588,6.6099,1.5303,0,0,273.1713,356.7193,0,31.072,0.1414
159391,"Louisiana State University and Agricultural & Mechanical College",0,0,186.0273,1.8239,754.9248,78.1233,153.6767,3.2997,3.5016,31.6754,20.4854,34.828,4.3895,0,2.4118,77.3693,42.9995,0,29.2164,0.6137,20.5998,63.8836,0,NA,0,1509.8496,669.6804,720.6785,1323.8604,0.0974
159647,"Louisiana Tech University",0,0,23.9129,2.0001,102.558,25.7297,11.1845,0.0459,0.244,5.9811,7.1076,3.3268,0.382,0,0,2.6877,2.2626,NA,2.7318,1.4366,1.8683,2.8947,0.4744,NA,0.4655,197.2943,160.0711,75.6788,101.9304,0.0838
159993,"University of Louisiana at Monroe",0,0,19.0481,0.7318,75.0343,19.7242,9.3838,0.7238,0.08,5.1475,3.5495,3.7841,0.7514,0,0,4.0333,1.0324,0,3.7343,0.8817,1.2123,1.2162,0,NA,0,150.0686,76.6302,7.4493,29.8515,0.1293
160658,"University of Louisiana at Lafayette",0,0,89.2193,0.5032,368.9859,79.7387,63.0947,2.7486,0.6125,21.8362,15.0997,15.1925,2.0239,0,0.9558,25.4786,11.8125,0.7205,11.6439,1.0895,10.107,12.534,3.1825,NA,1.3924,737.9719,348.9446,59.3761,754.373,0.2903
163286,"University of Maryland-College Park",0,0,148.6234,1.1454,580.1524,123.4443,112.1296,0.6152,2.99,32.734,21.9806,6.178,4.4791,0,0.3637,0.8128,71.6556,0,13.6483,0.7388,17.783,20.8305,0,NA,0,1160.3047,917.926,171.1028,3608.7966,0.3754
166629,"University of Massachusetts-Amherst",0,0,102.9787,0.3152,605.6779,174.5505,75.8663,3.6422,2.5651,25.7682,16.0503,8.2527,2.9201,0.0229,0.2157,92.9153,13.729,51.9287,6.4548,1.0768,3.6686,22.7568,0,7.5188,0,1218.8746,2443.3447,375.8187,2154.9291,0.259
169248,"Central Michigan University",36997,0.1285,39.3402,0.0377,162.2465,32.7046,27.6396,2.7875,0.8522,6.1309,5.7553,2.1919,0.4261,0.0174,0,11.1333,15.8766,0.8604,7.6964,0.9545,3.0865,4.4125,NA,NA,0,324.4936,330.913,49.7542,137.8618,0.2322
169798,"Eastern Michigan University",0,0,19.9249,0.0339,87.5236,31.4982,13.4251,0,0.3557,2.8348,4.8409,1.2828,2.4388,0.0399,0.3298,1.4024,2.5384,1.9629,1.8802,1.0349,0.0783,1.6217,0,0,0,175.0472,195.2296,36.7503,22.8505,0.0752
170976,"University of Michigan-Ann Arbor",0,0,369.9795,3.0336,1612.8101,302.4167,354.989,9.0962,8.9063,61.5107,45.9363,12.359,8.616,0,2.8889,188.5632,136.9057,0,33.8624,1.6393,33.5885,38.5189,0,NA,0,3225.6203,4754.7779,1950.1192,9988.8732,0.232
171100,"Michigan State University",535000,0,73.5357,0.9845,313.5653,49.9479,63.1335,0.2026,1.218,10.9884,11.2092,3.3789,3.7141,0.1485,0.269,45.0632,25.3884,4.6524,4.9794,0.4015,4.4736,8.278,0,NA,0,627.1307,547.4151,355.3455,1333.0137,0.0273
172699,"Western Michigan University",0,0,21.7527,0.0392,103.3732,26.2908,15.681,0,0.4615,3.4904,2.5773,2.1464,0.3451,0.1322,0.0773,11.2835,4.1126,6.824,6.6238,0.6261,0.8419,0.0673,0,NA,0,206.7463,214.4398,101.7152,71.8036,0.163
174066,"University of Minnesota-Twin Cities",0,0,127.5126,1.2072,575.8819,82.7216,100.1019,1.3557,2.0922,24.5147,12.4656,5.9225,2.7784,0,2.8902,59.8224,66.0117,33.2108,32.4573,0.8854,13.2449,6.6858,9e-04,NA,0,1151.7637,1489.7178,1048.9561,4897.8641,0.1597
176017,"University of Mississippi",0,0,129.2841,3.5554,658.8902,65.6571,110.0921,34.0054,2.0386,30.0522,26.3149,27.4054,17.7166,2.1393,2.5033,88.1353,65.0161,0,27.8058,0.1195,8.0929,13.3934,4.4006,105.8368,1.1621,1423.6172,713.7728,82.0828,664.2966,0.1515
176080,"Mississippi State University",0,0,55.5229,1.8552,252.0666,27.4443,40.4417,1.8936,0.2804,11.84,11.9004,10.4578,6.8885,0.5455,1.1821,37.1209,18.6866,0,10.8679,0.1281,3.3774,10.1851,1.4485,56.9817,0,561.1149,310.4608,189.4161,461.5568,0.0595
176372,"University of Southern Mississippi",0,0,14.6479,0.9511,65.9745,14.4114,9.7076,0,0.3395,5.3639,1.7138,3.3754,0.482,0.1638,0,4.3728,5.6688,0,3.2048,0.9154,0.5248,0.1315,0,0.2644,0,132.2135,114.95,1.8961,121.726,0.0344
178396,"University of Missouri-Columbia",0,0,104.9204,2.6478,591.6748,63.8059,97.1875,6.967,1.6323,26.9193,12.4113,11.8936,3.601,0.5399,0.9195,147.0223,64.7986,0,7.8108,0.5176,6.6621,29.9476,1.4704,NA,0,1183.3496,806.2442,199.3972,962.666,0.1237
181464,"University of Nebraska-Lincoln",0,0,57.1235,0.3783,265.606,33.1897,63.9378,10.5952,1.0219,15.0578,11.6011,3.5503,1.07,0,0.9712,2.4635,29.7715,0,15.4447,0.4043,9.38,9.6451,0,NA,0,531.2121,316.828,191.0819,561.9565,0.0509
182281,"University of Nevada-Las Vegas",0,0,48.4713,0.5755,263.0692,50.0143,33.9439,2.6368,3.1867,9.4506,24.4544,6.4963,1.3266,0,0.8767,31.6521,19.3994,13.0254,4.5602,2.1061,3.4369,7.4558,0,2.7752,0,528.9135,512.298,118.7424,218.3384,0.1488
182290,"University of Nevada-Reno",0,0,27.746,0.5926,138.6546,35.2568,21.7534,0,0.9202,8.4659,5.8306,1.7413,0.3496,0.0206,0.1151,5.8855,10.2466,11.1301,2.3957,1.6086,3.3555,0.2788,0.8622,1.7612,0.0996,279.0705,243.662,108.5616,424.7212,0.0473
186380,"Rutgers University-New Brunswick",287675,0.269,89.1725,0.7877,414.4623,60.8292,76.9253,8.7024,1.1175,21.4831,17.877,5.78,4.2443,0,1.0364,45.5887,42.535,0,10.6334,0.4035,15.8066,10.2637,0,NA,0,828.9246,653.9393,148.6393,1971.5849,0.0881
187985,"University of New Mexico-Main Campus",0,0,36.5264,0.1727,166.4555,38.335,30.9327,2.2257,0.4693,13.5013,3.117,2.915,0.1455,0,0.157,8.0513,3.709,3.4427,0.9058,1.9723,2.2349,17.642,0,8.075,0,340.9861,383.2973,189.1752,1315.2714,0.1049
188030,"New Mexico State University-Main Campus",0,0,31.6363,1.7994,144.4261,45.2922,19.981,0,0.1745,10.1581,4.3912,3.3388,0.926,0.0081,0.5269,1.3602,8.5857,4.8719,4.4315,0.6424,2.2858,4.0159,0,0.0366,0,288.8887,239.7094,43.0911,589.691,0.1114
196088,"University at Buffalo",1675,0,45.1049,0.226,202.1044,45.3155,49.166,2.9396,1.0838,9.3959,4.974,1.7313,0.2818,0.3849,0,6.011,5.8748,13.688,8.9699,0.9072,0,4.1803,0.8194,0.3037,1.0407,404.5125,599.2921,180.1542,872.4713,0.1804
197869,"Appalachian State University",0,0,49.85,1.8217,278.1995,60.1616,39.6684,0.5168,1.0998,13.2232,16.8768,5.1342,0.1931,0,0.0259,45.0387,11.2455,15.1263,2.3393,0.9062,4.0891,6.9268,2.3171,NA,1.639,556.399,280.1216,232.5398,47.3917,0.2672
198464,"East Carolina University",0,0,39.0554,1.15,190.619,35.8744,36.3713,1.1689,1.0557,9.3805,7.3421,2.2499,0.0568,0,0.2715,25.1077,12.5783,5.2046,2.2783,0.2004,3.7432,7.53,0,1.5982,0,382.8363,206.8205,119.5362,213.5311,0.1359
199120,"University of North Carolina at Chapel Hill",0,0,61.3528,2.1126,291.1155,51.5188,50.5892,7.9432,1.3284,14.8275,11.0861,4.6214,0.1659,0,0.8766,0,28.6574,4.351,11.9866,8.4618,5.0274,15.2272,3.2102,NA,7.7714,582.231,414.9425,662.8233,1950.0593,0.0765
199139,"University of North Carolina at Charlotte",0,0,49.3748,0.744,276.3402,59.5972,36.1769,0.7783,1.0136,13.7193,12.9504,4.8375,2.9154,0,0.6045,17.6107,18.0663,21.0953,21.9792,2.5678,3.0147,9.2944,0,NA,0,552.6804,438.2813,84.8773,290.3364,0.216
199193,"North Carolina State University at Raleigh",0,0,88.8839,3.7913,372.1559,63.9781,76.8519,4.6928,1.0722,23.024,13.6069,5.8564,2.5693,0,1.2574,10.9146,21.6332,0,18.3195,14.3272,3.8068,14.1628,2.757,0.0435,0.6507,744.3553,519.9069,471.5296,1681.1457,0.2088
200800,"University of Akron Main Campus",0,0,11.238,0.0267,50.7738,11.187,5.7802,0.3285,0.1842,1.7867,2.3062,0.7693,0.6577,0.0246,0.0658,9.8088,2.5981,0,1.3315,0.5798,0.581,1.5198,0,1.769,0,103.3167,80.1006,35.8102,37.2781,0.0197
201441,"Bowling Green State University-Main Campus",0,0,23.9739,0.2725,87.723,28.3669,15.6352,0,0.4105,4.9881,3.8221,1.2424,0.2208,0,0,0.7479,0,0,0.9069,1.0866,1.6723,4.3769,0,0.5177,0,175.9636,267.4997,0,52.0564,0.1691
201885,"University of Cincinnati-Main Campus",0,0,61.2905,3.1965,298.4205,47.661,35.2601,1.4795,1.3334,14.2991,1.6294,4.5492,13.5326,0,0.4474,65.6037,3.9346,10.7785,3.0561,0.3358,4.4406,18.553,4.2353,NA,2.8044,596.8409,544.5061,255.6738,1007.9741,0.1195
203517,"Kent State University at Kent",0,0,31.8172,0.2071,105.3177,30.1091,20.4221,0,0.4211,5.8407,5.0451,1.3099,0.6934,0.0603,0.3179,1.7155,0,0,1.6573,1.0945,0,4.6066,0,NA,0,210.6355,371.1401,22.2887,107.2095,0.0572
204024,"Miami University-Oxford",0,0,37.5495,0.1694,171.9329,65.4581,27.8371,0,0.4103,6.8998,5.7914,2.3912,0.3184,0.2902,0.1422,12.649,2.5132,0.201,1.0067,0.8799,2.4338,4.9918,0,7.5507,0,351.4165,777.8212,265.9147,85.7887,0.142
204796,"Ohio State University-Main Campus",0,0,194.3472,1.2115,911.333,110.206,167.9834,0,3.0936,26.1231,26.8061,7.5493,0.3473,0.4483,0.3816,134.5588,126.516,0,12.3618,2.051,29.8903,33.5257,17.1087,NA,16.8234,1822.6659,1191.8329,646.8675,3061.5498,0.1237
204857,"Ohio University-Main Campus",0,0,19.7168,0.0608,94.5508,30.0044,12.0347,0,0.3526,3.6276,1.6919,0.9666,1.4784,0.0202,0,8.1467,3.4774,NA,2.0419,0.611,0.6489,0.3045,0,NA,0,179.7354,267.4727,0,163.0363,0.1038
206084,"University of Toledo",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207388,"Oklahoma State University-Main Campus",0,0,48.5179,1.0707,205.925,20.11,45.8974,0.1258,0.8772,10.5787,11.2658,5.7664,3.7905,0.7921,0.1831,8.4136,29.2771,0,3.493,0.9138,3.791,9.256,1.589,NA,0.2159,411.85,315.5833,75.5725,385.3587,0.0742
207500,"University of Oklahoma-Norman Campus",0,0,81.1858,2.1482,356.2539,40.1828,43.5316,0.8833,1.5766,13.8629,13.4009,18.4855,4.8941,0,0.4089,34.698,70.7738,0,13.6358,0.3968,3.7797,8.0576,3.4761,1.1831,0.8754,713.6909,287.8848,185.9447,293.7862,0.0521
209542,"Oregon State University",0,0,48.1791,0.7918,211.8251,31.0302,36.2863,0,3.4116,7.9104,12.9433,5.6321,3.919,0.1714,0.0233,24.6321,2.7499,0,4.7841,9.6431,4.0126,15.7047,0,NA,0,423.6501,317.3865,153.4044,689.1794,0.0863
209551,"University of Oregon",155500,0.1084,78.8255,0.8239,332.9994,47.7839,60.8979,0,2.1602,13.5086,12.3862,4.0189,1.2517,0.0334,0.659,59.5279,26.6248,0,7.5247,0.1177,4.9353,8.1643,3.1356,53.5423,0,719.5411,317.975,418.6681,326.2033,0.1561
