UNITID,XF2A01,F2A01,XF2A19,F2A19,XF2A20,F2A20,XF2A02,F2A02,XF2A03,F2A03,XF2A03A,F2A03A,XF2A04,F2A04,XF2A05,F2A05,XF2A05A,F2A05A,XF2A05B,F2A05B,XF2A06,F2A06,XF2A11,F2A11,XF2A12,F2A12,XF2A13,F2A13,XF2A15,F2A15,XF2A16,F2A16,XF2A17,F2A17,XF2A18,F2A18,XF2B01,F2B01,XF2B02,F2B02,XF2B03,F2B03,XF2B04,F2B04,XF2B05,F2B05,XF2B06,F2B06,XF2B07,F2B07,XF2C01,F2C01,XF2C02,F2C02,XF2C03,F2C03,XF2C04,F2C04,XF2C05,F2C05,XF2C06,F2C06,XF2C07,F2C07,XF2C08,F2C08,XF2C09,F2C09,XF2C10,F2C10,XF2C12,F2C12,XF2C121,F2C121,XF2C122,F2C122,XF2C13,F2C13,XF2C131,F2C131,XF2C132,F2C132,XF2C14,F2C14,XF2C141,F2C141,XF2C142,F2C142,XF2C15,F2C15,XF2C151,F2C151,XF2C152,F2C152,XF2C16,F2C16,XF2C161,F2C161,XF2C162,F2C162,XF2C17,F2C17,XF2C171,F2C171,XF2C172,F2C172,XF2D01,F2D01,XF2D012,F2D012,XF2D013,F2D013,XF2D014,F2D014,XF2D02,F2D02,XF2D022,F2D022,XF2D023,F2D023,XF2D024,F2D024,XF2D03,F2D03,XF2D032,F2D032,XF2D033,F2D033,XF2D034,F2D034,XF2D04,F2D04,XF2D042,F2D042,XF2D043,F2D043,XF2D044,F2D044,XF2D05,F2D05,XF2D052,F2D052,XF2D053,F2D053,XF2D054,F2D054,XF2D06,F2D06,XF2D062,F2D062,XF2D063,F2D063,XF2D064,F2D064,XF2D07,F2D07,XF2D072,F2D072,XF2D073,F2D073,XF2D074,F2D074,XF2D08,F2D08,XF2D082,F2D082,XF2D083,F2D083,XF2D084,F2D084,XF2D08A,F2D08A,XF2D082A,F2D082A,XF2D083A,F2D083A,XF2D084A,F2D084A,XF2D08B,F2D08B,XF2D082B,F2D082B,XF2D083B,F2D083B,XF2D084B,F2D084B,XF2D09,F2D09,XF2D092,F2D092,XF2D093,F2D093,XF2D094,F2D094,XF2D10,F2D10,XF2D102,F2D102,XF2D103,F2D103,XF2D104,F2D104,XF2D11,F2D11,XF2D112,F2D112,XF2D12,F2D12,XF2D122,F2D122,XF2D13,F2D13,XF2D132,F2D132,XF2D14,F2D14,XF2D142,F2D142,XF2D143,F2D143,XF2D144,F2D144,XF2D15,F2D15,XF2D152,F2D152,XF2D153,F2D153,XF2D154,F2D154,XF2D16,F2D16,XF2D162,F2D162,XF2D163,F2D163,XF2D164,F2D164,XF2D17,F2D17,XF2D172,F2D172,XF2D173,F2D173,XF2D174,F2D174,XF2D18,F2D18,XF2D182,F2D182,XF2D183,F2D183,XF2D184,F2D184,XF2E011,F2E011,XF2E012,F2E012,XF2E021,F2E021,XF2E022,F2E022,XF2E031,F2E031,XF2E032,F2E032,XF2E041,F2E041,XF2E042,F2E042,XF2E051,F2E051,XF2E052,F2E052,XF2E061,F2E061,XF2E062,F2E062,XF2E071,F2E071,XF2E072,F2E072,XF2E081,F2E081,XF2E091,F2E091,XF2E092,F2E092,XF2E101,F2E101,XF2E102,F2E102,XF2E121,F2E121,XF2E122,F2E122,XF2E131,F2E131,XF2E132,F2E132,XF2E133,F2E133,XF2E134,F2E134,XF2E135,F2E135,XF2E136,F2E136,XF2E137,F2E137,F2FHA,XF2H01,F2H01,XF2H02,F2H02,XF2H03,F2H03,XF2H03A,F2H03A,XF2H03B,F2H03B,XF2H03C,F2H03C,XF2H03D,F2H03D,XF2I01,F2I01,XF2I02,F2I02,XF2I03,F2I03,XF2I04,F2I04,XF2I05,F2I05,XF2I06,F2I06,XF2I07,F2I07   
117520,"R",0,"R",24423721,"R",0,"R",28953749,"R",14619517,"R",0,"R",13861378,"R",472854,"R",0,"R",472854,"R",14334232,"R",3300000,"R",30904855,"R",10318714,"R",444176,"R",1259871,"R",46227616,"R",21803895,"R",21931913,"R",22677592,"R",0,"R",-745679,"R",15079911,"R",0,"R",14334232,"R",0,"R",408722,"R",0,"R",0,"R",0,"R",0,"R",408722,"R",223396,"R",0,"R",223396,"R",0,"R",0,"R",0,"R",223396,"R",223396,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",19568447,"R",19568447,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",223396,"R",223396,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",852614,"R",852614,"R",0,"R",0,"R",852614,"R",852614,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1900,"R",1900,"R",0,"R",0,"R",944231,"R",944231,"R",341325,"R",341325,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",21931913,"R",21931913,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",21931913,"R",21931913,"R",0,"R",0,"R",7984378,"R",6034795,"R",336325,"R",211908,"R",0,"R",0,"R",2249245,"R",1312055,"R",4421756,"R",1127519,"R",3429727,"R",611378,"R",452856,"R",279003,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3803305,"R",1703295,"R",22677592,"R",11279953,"R",2417816,"R",402972,"R",1479475,"R",591691,"R",6505685, 2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",-691210,"R",21929821,"R",-745679,"R",15079911,"R",15079911,"R",0,"R",22677592
117557,"R",3670727,"R",1112273,"R",0,"R",4783000,"R",1098583,"R",0,"R",3416417,"R",268000,"Z",0,"R",268000,"R",3684417,"R",647271,"R",1651218,"R",427752,"R",0,"R",525503,"R",3251744,"R",2139471,"R",6266742,"R",6323642,"R",0,"R",-56900,"R",3736966,"R",4351,"R",3684417,"R",224491,"R",0,"R",0,"R",0,"R",0,"R",0,"R",224491,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3445166,"R",3445166,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",454953,"R",454953,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",2243830,"R",2243830,"R",0,"R",0,"R",2243830,"R",2243830,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",8177,"R",8177,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",114616,"R",114616,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",6266742,"R",6266742,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",6266742,"R",6266742,"R",0,"R",0,"R",2529457,"R",1672706,"R",0,"R",0,"R",0,"R",0,"R",632364,"R",418176,"R",1264728,"R",836353,"R",1580911,"R",1045441,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",316182,"R",209088,"R",6323642,"R",4181764,"R",336690,"R",1619138,"R",186050,"R",0,"R",0, 1,"R",16726,"R",1,"R",-16725,"R",0,"R",0,"R",0,"R",-16725,"R",6266742,"R",6323642,"R",-56900,"R",3736966,"R",3072144,"R",0,"R",6323642
117575,"R",0,"R",17231,"R",0,"R",806881,"R",248415,"Z",0,"R",322917,"R",235549,"R",0,"R",235549,"R",558466,"R",0,"R",0,"R",758121,"R",0,"R",149825,"R",907946,"R",890715,"R",2503123,"R",2805647,"R",0,"R",-302524,"R",860990,"R",0,"R",558466,"R",49730,"R",5875,"Z",0,"Z",0,"R",49986,"R",126418,"R",232009,"R",182279,"R",0,"R",182279,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",49986,"R",49986,"Z",0,"R",132293,"R",132293,"R",0,"R",1483458,"R",1483458,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5875,"R",5875,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",577251,"R",577251,"R",0,"R",0,"R",577251,"R",577251,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",392200,"R",392200,"Z",0,"Z",0,"R",880,"R",880,"Z",0,"Z",0,"R",11652,"R",11652,"R",1561,"R",1561,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",30246,"R",30246,"R",0,"R",0,"R",2503123,"R",2503123,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",2503123,"R",2503123,"R",0,"R",0,"R",905157,"R",632517,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",944836,"R",246815,"R",759601,"R",162560,"R",160827,"R",82662,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",35226,"R",11776,"R",2805647,"R",1136330,"R",458547,"R",650956,"R",8634,"R",0,"R",551180, 1,"R",115851,"R",115850,"R",-1,"R",0,"R",0,"R",0,"R",-1,"R",-295524,"R",2510123,"R",-302524,"R",860990,"R",322917,"R",0,"R",2805647
117627,"R",113038081,"R",58016607,"Z",0,"R",210919735,"R",35072210,"R",18798104,"R",132582475,"R",43265050,"R",22453216,"R",20811834,"R",175847525,"R",19488343,"R",98103905,"R",30406166,"R",7917121,"R",0,"R",155915535,"R",97898928,"R",54017924,"R",69699476,"R",0,"R",-15681552,"R",191529077,"R",0,"R",175847525,"R",3195295,"R",255892,"R",4173966,"R",0,"R",585223,"R",12929850,"R",21140226,"R",1711747,"R",0,"R",1711747,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1711747,"R",1711747,"R",0,"R",45389580,"R",45389580,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4979303,"R",4979303,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3817870,"R",228499,"R",3456160,"R",133211,"R",3817870,"R",228499,"R",3456160,"R",133211,"R",0,"R",0,"R",0,"R",0,"R",3837039,"R",3837039,"Z",0,"Z",0,"R",-17069560,"R",-12447215,"R",-3502979,"R",-1119366,"R",1359972,"R",1359972,"R",5111896,"R",5111896,"R",0,"R",0,"R",1360653,"R",1360653,"Z",0,"Z",0,"R",5231171,"R",5309895,"R",-78724,"R",0,"R",54017924,"R",55129622,"R",-125543,"R",-986155,"R",0,"R",0,"Z",0,"Z",0,"R",54017924,"R",55129622,"R",-125543,"R",-986155,"R",16976020,"R",10906605,"R",34817,"R",15283,"R",13989,"R",0,"R",4314402,"R",2335285,"R",7256300,"R",3242139,"R",20946614,"R",5046856,"R",5133517,"R",1351385,"R",13609109,"R",0,"R",0,"R",1414708,"R",256177,"R",0,"R",0,"R",69699476,"R",23153730,"R",9465082,"R",4161567,"R",4020918,"R",435975,"R",28462204, 1,"R",23441032,"R",22453216,"R",-987816,"R",133211,"R",-1119366,"R",0,"R",-1661,"R",-14744621,"R",55129622,"R",-15681552,"R",191529077,"R",132582475,"R",18798104,"R",69699476
117636,"R",1414850000,"R",334056000,"Z",0,"R",2016314000,"R",1156429000,"R",183505000,"R",181622000,"R",678263000,"R",288770000,"R",389493000,"R",859885000,"R",75162000,"R",517331000,"R",145817000,"R",3852000,"R",1767000,"R",743929000,"R",409873000,"R",337611000,"R",323999000,"R",2381000,"R",15993000,"R",843892000,"R",0,"R",859885000,"R",1827751,"R",4043499,"R",2261522,"Z",0,"R",5769793,"R",10723585,"R",24626150,"R",18499758,"R",0,"R",18499758,"R",0,"R",0,"R",0,"R",1594461,"R",1594461,"R",0,"R",411919,"R",411919,"R",0,"R",0,"R",0,"R",0,"R",5735418,"R",5735418,"R",0,"R",10757960,"R",10757960,"R",0,"R",164178000,"R",164178000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",13672000,"R",12080000,"R",1592000,"R",0,"R",6261000,"R",6261000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",37638000,"R",15964000,"R",12814000,"R",8860000,"R",23676000,"R",2002000,"R",12814000,"R",8860000,"R",13962000,"R",13962000,"R",0,"R",0,"R",7417000,"R",7417000,"R",0,"R",0,"R",27406000,"R",4331000,"R",31379000,"R",-8304000,"R",2008000,"R",2008000,"R",28082000,"R",28082000,"R",0,"R",0,"R",50949000,"R",46336000,"R",4613000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",337611000,"R",286657000,"R",50398000,"R",556000,"R",0,"R",13797000,"R",-13797000,"Z",0,"R",337611000,"R",300454000,"R",36601000,"R",556000,"R",108653000,"R",61132000,"R",28604000,"R",7817000,"R",443000,"R",259000,"R",27521000,"R",12226000,"R",7449000,"R",2262000,"R",69002000,"R",6954000,"R",54033000,"R",6549000,"Z",0,"Z",0,"Z",0,"R",28294000,"R",11736000,"R",0,"R",0,"R",323999000,"R",108935000,"R",49505000,"R",5759000,"R",24367000,"R",9789000,"R",125644000, 1,"R",500804000,"R",533762000,"R",32958000,"R",6389000,"R",26569000,"R",0,"R",0,"R",-21164000,"R",313488000,"R",15993000,"R",843892000,"R",181622000,"R",183505000,"R",323999000
117672,"R",18359763,"R",11205699,"R",0,"R",42408419,"R",5384740,"R",0,"R",33594966,"R",3428713,"R",1548334,"R",1880379,"R",37023679,"R",3548364,"R",21905199,"R",10668507,"R",0,"R",0,"R",36122070,"R",24916371,"R",43139641,"R",41116029,"R",0,"R",2023612,"R",35000067,"R",0,"R",37023679,"R",343017,"Z",0,"Z",0,"Z",0,"R",123746,"R",348322,"R",815085,"R",472068,"R",0,"R",472068,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",123746,"R",123746,"Z",0,"R",348322,"R",348322,"R",0,"R",42389065,"R",42389065,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1929726,"R",1929726,"R",0,"R",0,"R",12000,"R",12000,"Z",0,"Z",0,"R",58877,"R",58877,"Z",0,"Z",0,"R",133354,"R",11300,"R",122054,"R",0,"R",133354,"R",11300,"R",122054,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",-2521884,"R",-2241404,"R",-280480,"R",0,"R",945245,"R",945245,"R",71755,"R",71755,"Z",0,"Z",0,"R",121503,"R",121503,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",43139641,"R",43298067,"R",-158426,"Z",0,"R",0,"R",-50689,"R",50689,"R",0,"R",43139641,"R",43247378,"R",-107737,"R",0,"R",20381733,"R",12229753,"R",464752,"R",287427,"Z",0,"Z",0,"R",2476976,"R",1385757,"R",3361894,"R",1792965,"R",13843908,"R",3924775,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",586766,"R",0,"R",41116029,"R",19620677,"R",4228072,"R",1404748,"R",1193714,"R",6950,"R",14661868, 1,"R",1557026,"R",1548334,"R",-8692,"R",0,"R",-12091,"R",0,"R",3399,"R",2232727,"R",45590160,"R",2023612,"R",35000067,"R",35475345,"R",0,"R",41116029
117751,"R",40972780,"R",70850299,"Z",0,"R",147412644,"R",45245068,"R",26203903,"R",46472365,"R",55695211,"R",32842648,"R",22852563,"R",102167576,"R",18113888,"R",60617824,"R",23329211,"R",2939397,"R",0,"R",105000320,"R",34150021,"R",61673594,"R",50201250,"R",0,"R",11472344,"R",90695232,"R",0,"R",102167576,"R",1687100,"R",1659560,"R",1764123,"Z",0,"R",4373220,"R",9387369,"R",18871372,"R",13760590,"R",0,"R",13760590,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4373220,"R",4373220,"R",0,"R",9387370,"R",9387370,"R",0,"R",24944003,"R",24944003,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3114563,"R",139668,"R",2974895,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",25136324,"R",3500105,"R",20299055,"R",1337164,"R",25136324,"R",3500105,"R",20299055,"R",1337164,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",-3199794,"R",-500263,"R",-1685907,"R",-1013624,"R",0,"R",0,"R",10832058,"R",10832058,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",846440,"R",846440,"R",0,"R",0,"R",61673594,"R",39762011,"R",21588043,"R",323540,"R",0,"R",19723706,"R",-19723706,"Z",0,"R",61673594,"R",59485717,"R",1864337,"R",323540,"R",16384561,"R",9591134,"Z",0,"Z",0,"Z",0,"Z",0,"R",3501694,"R",1467468,"R",11193775,"R",4792052,"R",6998163,"R",6143771,"R",10440057,"R",1340835,"R",1683000,"R",0,"Z",0,"R",0,"Z",0,"R",0,"R",0,"R",50201250,"R",23335260,"R",5275851,"R",3632164,"R",3844867,"R",864505,"R",13248603, 1,"R",48079806,"R",44398271,"R",-3681535,"R",1377225,"R",-2538808,"R",-2008668,"R",-511284,"R",9284466,"R",49784716,"R",11472344,"R",90695232,"R",18580690,"R",26203903,"R",50201250
117946,"R",710643000,"R",721167000,"R",0,"R",1676231000,"R",381901000,"R",195875000,"R",786515000,"R",507815000,"R",250666000,"R",257149000,"R",1294330000,"R",115225000,"R",805792000,"R",241624000,"R",8469000,"R",28241000,"R",1199351000,"R",478184000,"R",491057000,"R",419251000,"R",2104000,"R",73910000,"R",1220420000,"R",0,"R",1294330000,"R",4815000,"R",18504000,"R",6577000,"R",0,"R",11879000,"R",133965000,"R",175740000,"R",146508000,"R",5075000,"R",151583000,"R",0,"R",0,"R",0,"R",713000,"R",713000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",11829000,"R",11829000,"R",0,"R",139041000,"R",133966000,"R",5075000,"R",349296000,"R",349296000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",24242000,"R",24242000,"R",0,"R",0,"R",2378000,"R",2378000,"R",0,"R",0,"R",1219000,"R",1219000,"R",0,"R",0,"R",32458000,"R",15175000,"R",3499000,"R",13784000,"R",30607000,"R",13324000,"R",3499000,"R",13784000,"R",1851000,"R",1851000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",23954000,"R",9357000,"R",14207000,"R",390000,"R",0,"R",0,"R",50858000,"R",50858000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6652000,"R",6652000,"R",0,"R",0,"R",491057000,"R",459177000,"R",17706000,"R",14174000,"R",0,"R",37709000,"R",-37709000,"R",0,"R",491057000,"R",496886000,"R",-20003000,"R",14174000,"R",154008000,"R",95187000,"R",12094000,"R",5897000,"R",854000,"R",483000,"R",56988000,"R",20850000,"R",83252000,"R",23180000,"R",74092000,"R",35641000,"R",37963000,"R",5155000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",419251000,"R",186393000,"R",63185000,"R",28406000,"R",30745000,"R",12988000,"R",97534000, 1,"R",623508000,"R",637303000,"R",13795000,"R",14955000,"R",24606000,"R",-25766000,"R",0,"R",79739000,"R",473177000,"R",73910000,"R",1220420000,"R",517759000,"R",195875000,"R",419251000
118693,"R",23818188,"R",34107728,"R",0,"R",65698945,"R",7717294,"R",0,"R",16127233,"R",41854418,"R",8453559,"R",33400859,"R",57981651,"R",202500,"R",20443617,"R",9425307,"R",25141661,"R",0,"R",55213085,"R",21105357,"R",45111218,"R",30267398,"R",0,"R",14843820,"R",43137831,"R",0,"R",57981651,"R",1273848,"R",1060382,"R",1918937,"R",0,"R",0,"R",21939415,"R",26192582,"R",20599260,"R",1340155,"R",21939415,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",21939415,"R",20599260,"R",1340155,"R",13312299,"R",13312299,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3583608,"R",3583608,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",21339931,"R",206290,"R",20816460,"R",317181,"R",21233641,"R",100000,"R",20816460,"R",317181,"R",106290,"R",106290,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",-1621169,"R",-471466,"R",-1149703,"R",0,"R",870785,"R",870785,"R",7625764,"R",7625764,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",45111218,"R",25127280,"R",19666757,"R",317181,"R",0,"R",47000,"R",-47000,"R",0,"R",45111218,"R",25174280,"R",19619757,"R",317181,"R",6609555,"R",4606409,"Z",0,"Z",0,"Z",0,"Z",0,"R",2675704,"R",1316041,"R",8967733,"R",3570093,"R",4124038,"R",1913355,"R",6778849,"R",36548,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1111519,"R",1011519,"R",30267398,"R",12453965,"R",2058881,"R",4633840,"R",1666265,"R",2562,"R",9451885, 1,"R",29216495,"R",23818188,"R",-5398307,"R",317181,"R",-1621169,"R",-297000,"R",-3797319,"R",-4648837,"R",26090027,"R",14843820,"R",43137831,"R",16127233,"R",0,"R",30267398
119173,"R",196219885,"R",101475292,"R",0,"R",362396132,"R",68798892,"R",54298482,"R",152062242,"R",141534998,"R",60151225,"R",81383773,"R",293597240,"R",13927720,"R",127769940,"R",17890227,"R",17910299,"R",0,"R",177498186,"R",76022894,"R",69490494,"R",91623877,"R",0,"R",-22133383,"R",315730623,"R",0,"R",293597240,"R",5357891,"R",388251,"R",7252582,"R",0,"R",4838514,"R",30506253,"R",48343491,"R",35544607,"R",188411,"R",35733018,"R",5357891,"R",5357891,"R",0,"R",388251,"R",388251,"R",0,"R",7252582,"R",7252582,"R",0,"R",0,"R",0,"R",0,"R",4838514,"R",4838514,"R",0,"R",17895780,"R",17707369,"R",188411,"R",56504989,"R",56504989,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",12509638,"R",12509638,"R",0,"R",0,"R",663367,"R",663367,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",8043370,"R",1236213,"R",5962235,"R",844922,"R",5391481,"R",1034757,"R",3572002,"R",784722,"R",2651889,"R",201456,"R",2390233,"R",60200,"R",0,"R",0,"R",0,"R",0,"R",-15433795,"R",-5669113,"R",-9080888,"R",-683794,"R",422391,"R",422391,"R",5759724,"R",5759724,"R",0,"R",0,"R",1020810,"R",769863,"R",250947,"R",0,"R",0,"R",0,"R",0,"R",0,"R",69490494,"R",72197072,"R",-2867706,"R",161128,"R",0,"R",7014456,"R",-7014456,"R",0,"R",69490494,"R",79211528,"R",-9882162,"R",161128,"R",31779255,"R",20899111,"R",0,"R",0,"R",224500,"R",0,"R",8516622,"R",2864647,"R",19711380,"R",6030876,"R",18693209,"R",6243572,"R",12698911,"R",2116141,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",91623877,"R",38154347,"R",11024896,"R",5051162,"R",4867128,"R",725993,"R",31800351, 1,"R",180781895,"R",157775106,"R",-23006789,"R",936890,"R",-14256823,"R",-9686856,"R",0,"R",-12412349,"R",90505285,"R",-22133383,"R",315730623,"R",214072352,"R",51245348,"R",91623877
119605,"R",1209313516,"R",23824072,"R",0,"R",1323083804,"R",139497783,"R",0,"R",1150799512,"R",32786509,"R",13766003,"R",19020506,"R",1183586021,"R",14138925,"R",36235666,"R",38188622,"R",0,"R",0,"R",88563213,"R",64739141,"R",81340985,"R",272293760,"R",-49541353,"R",-240494128,"R",1424080149,"R",0,"R",1183586021,"R",11027805,"R",27718006,"R",1730324,"R",0,"R",53534745,"R",0,"R",94010880,"R",82983075,"R",0,"R",82983075,"R",11027805,"R",11027805,"R",0,"R",27718006,"R",27718006,"R",0,"R",1730324,"R",1730324,"R",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",42506940,"R",42506940,"R",0,"R",190347794,"R",190347794,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",462260,"R",462260,"R",0,"R",0,"R",795108,"R",795108,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2601822,"R",2501861,"R",99961,"R",0,"R",1979576,"R",1879615,"R",99961,"R",0,"R",622246,"R",622246,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",-159331559,"R",-157261262,"R",-2070297,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",46465560,"R",44495224,"R",1970336,"R",0,"R",81340985,"R",81340985,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",81340985,"R",81340985,"R",0,"R",0,"R",68565916,"R",52807397,"R",2009125,"R",688947,"Z",0,"Z",0,"R",27983285,"R",11875293,"R",37860750,"R",17573767,"R",114435025,"R",1373701,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",21439659,"R",0,"R",272293760,"R",84319105,"R",20904870,"R",15481241,"R",3332588,"R",29611,"R",148226345, 1,"R",1415757578,"R",1209313516,"R",-206444062,"R",63526161,"R",-159331559,"R",-75373707,"R",-35264957,"R",-234682634,"R",244413741,"R",-240494128,"R",1424080149,"R",1150799512,"R",0,"R",272293760
