"UNITID","school_name.x","coach_comp_third_2018","support_comp_third_2018","coach_comp_2018","guarantees_2018","total_ops_2018","aid_2018","support_comp_2018","severance_2018","recruiting_2018","teamtravel_2018","equip_2018","game_expenses_2018","marketing_2018","camps_2018","spirit_2018","facilities_rentals_2018","overhead_2018","indirect_institutional_2018","medical_2018","memberships_2018","meals_2018","otherops_2018","bowl_expense_2018","prof_def_2018","bowl_coachcomp_2018","total_expendature.x","discounts_to_tuition.x","gifts.x","reseach_expendatures.x","graduation_rate.x","school_name.y","coach_comp_third_2019","support_comp_third_2019","coach_comp_2019","guarantees_2019","total_ops_2019","aid_2019","support_comp_2019","severance_2019","recruiting_2019","teamtravel_2019","equip_2019","game_expenses_2019","marketing_2019","camps_2019","spirit_2019","facilities_rentals_2019","overhead_2019","indirect_institutional_2019","medical_2019","memberships_2019","meals_2019","otherops_2019","bowl_expense_2019","prof_def_2019","bowl_coachcomp_2019","total_expendature.y","discounts_to_tuition.y","gifts.y","reseach_expendatures.y","graduation_rate.y","school_name.x.x","coach_comp_third_2020","support_comp_third_2020","coach_comp_2020","guarantees_2020","total_ops_2020","aid_2020","support_comp_2020","severance_2020","recruiting_2020","teamtravel_2020","equip_2020","game_expenses_2020","marketing_2020","camps_2020","spirit_2020","facilities_rentals_2020","overhead_2020","indirect_institutional_2020","medical_2020","memberships_2020","meals_2020","otherops_2020","bowl_expense_2020","prof_def_2020","bowl_coachcomp_2020","total_expendature.x.x","discounts_to_tuition.x.x","gifts.x.x","reseach_expendatures.x.x","graduation_rate.x.x","school_name.y.y","coach_comp_third_2021","support_comp_third_2021","coach_comp_2021","guarantees_2021","total_ops_2021","aid_2021","support_comp_2021","severance_2021","recruiting_2021","teamtravel_2021","equip_2021","game_expenses_2021","marketing_2021","camps_2021","spirit_2021","facilities_rentals_2021","overhead_2021","indirect_institutional_2021","medical_2021","memberships_2021","meals_2021","otherops_2021","bowl_expense_2021","prof_def_2021","bowl_coachcomp_2021","total_expendature.y.y","discounts_to_tuition.y.y","gifts.y.y","reseach_expendatures.y.y","graduation_rate.y.y","school_name","coach_comp_third_2022","support_comp_third_2022","coach_comp_2022","guarantees_2022","total_ops_2022","aid_2022","support_comp_2022","severance_2022","recruiting_2022","teamtravel_2022","equip_2022","game_expenses_2022","marketing_2022","camps_2022","spirit_2022","facilities_rentals_2022","overhead_2022","indirect_institutional_2022","medical_2022","memberships_2022","meals_2022","otherops_2022","bowl_expense_2022","prof_def_2022","bowl_coachcomp_2022","total_expendature","discounts_to_tuition","gifts","reseach_expendatures","graduation_rate"
110662,"University of California-Los Angeles",0,0,23231458,1596000,130960560,14536160,21759738,12535781,1620167,7077656,4658610,8308083,1461774,2734843,59912,3952902,9707991,0,990900,102640,3094623,11867742,1533580,0,130000,261921120,246760403,378856000,956812020,15696,"University of California-Los Angeles",0,0,25745926,1849196,127339042,15824154,23059189,3909542,1737627,6820369,4338329,10273866,1300858,2800403,38621,3914555,9254294,0,1088519,115929,6058928,9208737,0,NA,0,254678084,215105914,366761000,926464931,17005,"University of California-Los Angeles",0,0,25294374,1658000,119391431,15781359,24147842,0,1329374,6433016,4037513,8367951,986268,2922584,44096,4547137,9380322,0,1003608,67517,4204356,9186114,0,NA,0,238782862,231788389,364683000,961400331,17124,"University of California-Los Angeles",0,0,26662653,235000,110128961,15701310,22400036,0,263312,4351790,3215174,3671930,222180,281735,0,9387307,12629876,0,1311829,9363,2654456,7131010,0,NA,0,220257922,252086067,27878000,1090324507,17428,"University of California-Los Angeles",0,0,27014228,2880000,131106913,16163943,22756520,0,1752172,7013636,4615691,10937778,998335,426576,47017,10051702,12025644,0,1343523,52267,4206603,7768011,900972,NA,152295,262213826,232769685,403663000,1204766644,17862
122409,"San Diego State University",0,0,10168259,955316,54933032,8808212,10674786,0,684266,3677619,1397149,2413285,4471306,160913,367287,2710105,1800661,1943458,867023,491563,624714,1275144,1131940,754152,310026,110620216,125597440,17221592,6019318,21066,"San Diego State University",0,0,10725114,1606836,55379174,9178163,11201033,0,675789,3686397,1466511,1664110,4536388,118275,401923,2420321,1255840,1978449,575548,507255,409176,1608485,1021745,NA,341816,110758348,130843770,17899100,6445403,22533,"San Diego State University",0,0,11813704,1148450,58258230,9189633,12248695,162880,572843,3244112,1430974,1341172,6629537,122670,411604,3180720,811906,1962235,544211,515106,382820,1485032,781163,NA,278763,116516460,133970995,16002447,7326203,22039,"San Diego State University",0,0,12074259,102365,49417308,8655462,11562945,115446,101906,2551522,1264286,265821,3380425,2035,156710,3482453,1100625,2147761,306525,398800,366445,1381517,0,NA,0,98834616,136858863,17492496,6213676,21245,"San Diego State University",0,0,12583145,1321189,67245917,9456607,12045522,0,718536,4571816,1313736,3486801,10411566,28167,234065,1474113,2498442,2276118,802907,533800,279424,1606642,1196086,NA,407235,134491834,125381409,18148963,7383383,22543
122755,"San Jose State University",0,0,7910851,815000,32563136,8108637,5341355,467615,409818,2879773,1416581,1191078,442115,0,21462,448101,0,1028960,529984,516467,66828,968511,0,1596061,0,66722333,110099463,5636534,263918,25562,"San Jose State University",0,0,8377244,728625,33184068,8250506,5799981,0,478402,2736166,1136848,1403856,431653,70847,74659,178021,0,1035640,621302,282380,367501,1210437,0,NA,0,66368136,110914425,5792470,947241,25383,"San Jose State University",0,0,9437978,940759,33650949,7719169,7018978,0,435603,2674186,837872,1145039,477139,0,0,299307,274,1066709,156739,50055,275848,1115294,0,1061600,0,68363498,108926269,4037227,1509336,25220,"San Jose State University",0,0,10868125,55000,35291822,7885272,7099242,0,28826,2380330,868388,718388,202065,0,46066,883014,1423,978117,1377126,24217,224263,1394797,257163,NA,0,70583644,109326692,11230534,1927900,26243,"San Jose State University",0,0,9683950,838212,39030022,7978859,7956996,0,765575,3470088,1224288,2253094,711062,10172,76023,527273,53155,1289877,398789,42956,487360,1262293,0,200,0,78060244,107232867,5402691,886277,25484
126614,"University of Colorado Boulder",0,0,16919621,247500,89826611,11486167,14384170,309609,1144052,3598079,1524988,4159831,1854403,457008,404523,15045267,8221572,2155839,1151183,52568,1652000,5058231,0,-245067,0,179408155,122863910,77464844,449009390,25298,"University of Colorado Boulder",0,0,16578878,933903,98413284,11804847,15142537,8494428,1341699,3493288,1574464,3750709,1782701,532799,350441,12156756,8684879,2436499,1282127,74222,1781119,6194145,22843,NA,0,196826568,130375562,85769593,434258834,26518,"University of Colorado Boulder",0,0,15894550,1154521,91182106,11912229,15828806,805434,870670,3040889,1766159,3536252,1007477,403729,287830,12825503,10649386,2239725,1308353,62345,1843026,5745222,0,4410598,0,186774810,143620446,81462562,442824071,23876,"University of Colorado Boulder",0,0,13550276,72037,64551755,12207564,13901096,617078,328983,2558311,1439088,745797,187544,5316,109208,253454,7832138,2116804,1952154,49204,1590380,4251162,669661,NA,114500,129103510,154539560,105883646,470288720,23992,"University of Colorado Boulder",0,0,16592504,2675007,95968696,12119821,18221731,953134,1247057,4279701,1643354,3954962,821185,200420,266685,7256406,10334777,2358054,1762088,130550,1871498,9279762,0,NA,0,191937392,163153968,78723332,521977056,26425
126818,"Colorado State University-Fort Collins",22000,0,10076685,821180,52159851,9258376,6916873,750000,889715,2661852,2618046,2783615,1210068,361985,43816,4540045,1581718,1943453,827253,575989,887746,2668461,527558,2568963,193417,106888665,110741245,79063467,254178311,38267,"Colorado State University-Fort Collins",30000,0,9464571,1150199,54289162,9443740,7037899,0,1118848,2684962,2606909,2559250,1117881,428707,63586,8574032,1548680,2012137,619798,591635,834598,2401730,0,1792217,0,110370541,117831415,47547828,259368441,40594,"Colorado State University-Fort Collins",30000,0,9550571,901019,54994368,9474898,7435943,2269579,740368,2454089,2634923,2444239,809145,299312,65131,8319873,1236066,2008574,536934,626185,727387,2430132,0,1861346,0,111850082,134211089,53810526,263687610,40559,"Colorado State University-Fort Collins",10000,0,8991841,80054,48821899,9305352,7189656,38039,119416,1818671,2788973,389095,148235,27417,18990,12546083,1205355,1378534,613963,485931,505675,1160619,0,953271,0,98597069,122041175,48151372,268054190,40118,"Colorado State University-Fort Collins",30942,0,10683998,820568,61220502,9469746,7589601,1589459,1030814,3689146,2127930,2006996,782085,250105,106719,12574192,1521399,1944899,554027,646953,975029,2825894,0,42728,0,122483732,116474344,54497610,300177103,41495
129020,"University of Connecticut",0,0,17051587,1264166,80905645,16926761,14358474,1410991,1406823,7320041,2203763,5020428,1426860,0,37707,926427,2933882,0,889826,143272,806686,6777951,0,-1597224,0,160214066,227667476,25438145,171627945,42133,"University of Connecticut",0,0,17986003,1182346,80814173,17715830,13582384,560288,1820461,7790506,3140488,2889689,1489283,0,37630,4153006,1200929,0,874481,197413,1135069,5058367,0,86231,0,161714577,248756072,34299721,181631401,42911,"University of Connecticut",0,0,20513939,1235022,78760755,17380004,12244954,238948,1419230,6251676,2429076,2973092,1445550,0,36820,3838998,2193844,0,848297,141677,1021723,4547905,0,NA,0,157521510,262298464,28721782,174969960,43819,"University of Connecticut",0,0,19338055,83000,60827848,12952288,12781995,72333,289189,3658072,2482687,406599,104996,0,7303,1721948,2033762,0,1028912,124981,768868,2972860,0,NA,0,121655696,276835255,28207885,178785818,46678,"University of Connecticut",0,0,19716624,2184500,96742518,12889346,15660755,12625742,2422902,7894202,2486937,3323180,817040,0,63824,7349869,391114,0,1194392,146154,1213005,6362932,0,2299442,0,195784478,278956167,37901054,214573714,46232
132903,"University of Central Florida",0,0,10845275,1345345,61118971,8838863,9380340,450103,717790,3618969,2116743,2179776,1113266,0,210682,5400149,4835949,0,608867,188041,1053447,4021248,3355718,849086,838400,123087028,169884142,21658769,162507875,53468,"University of Central Florida",0,0,11703263,1349920,67916343,9549704,10665093,235000,891211,3914421,2369301,3229587,1526810,0,228088,5563218,4425905,0,627970,184767,782781,5741684,4620218,1205544,307402,137038230,199575020,23403728,177160186,47778,"University of Central Florida",0,0,13895790,1197476,64226899,9600990,11326868,0,632483,3397165,2383421,1632354,2369281,0,285810,5569355,4951951,0,812497,229180,1155495,3824321,576312,4638156,386150,133091954,221585494,31393185,186785744,47502,"University of Central Florida",0,0,14680509,1780,60848697,9753427,11886794,595353,249527,2772668,1833928,1385751,992638,0,143680,5563595,4750310,0,847029,136139,1239387,3414343,192108,7404995,409731,129102389,237499738,24345567,205274245,51108,"University of Central Florida",0,0,14287303,1942471,69099289,10771396,12708471,0,1026083,4313340,1631061,2091879,2446580,0,179722,5641911,5864984,0,677548,240683,1026533,3500973,581059,20128916,167292,158327494,250976316,18936680,201670115,57898
133669,"Florida Atlantic University",0,0,7226096,633482,35149886,6799445,2745226,0,683178,3447567,904129,1136772,816153,0,57213,2703542,2039056,3501005,743987,451852,196334,679849,345000,125493,40000,70425265,66999415,0,47942510,27270,"Florida Atlantic University",0,0,7423717,654391,35846033,3171333,4483398,0,862303,3024046,1542157,2259259,826727,0,80203,2593052,1673616,4537011,912614,407555,539739,854912,0,450971,0,72143037,85003931,0,70590655,26429,"Florida Atlantic University",46875,11375,7219306,599645,37393763,3502589,4982180,139349,470765,3215880,1608452,2559430,622108,0,84322,2473289,2193489,4305113,1106356,388945,617168,950550,296577,2720106,0,77507632,85605807,0,76119979,25765,"Florida Atlantic University",0,0,7187217,90500,32472125,3833961,4801926,10422,58695,1828137,1511553,1234782,287975,0,26741,2361375,2097624,4402709,1061447,375202,558989,617561,125309,1138643,0,66082893,88888211,0,80293592,26226,"Florida Atlantic University",0,0,7563874,742673,38132721,NA,5385412,54033,537828,2928181,1553005,2493235,678240,0,97901,2357483,2209283,4243014,1085968,420451,903478,612008,0,1068803,0,73067591,91884993,0,76047244,26985
133951,"Florida International University",0,0,6488409,936643,36189130,7390269,5472039,108900,562206,2720828,961188,1386763,627064,0,188043,2456903,2817054,454002,460680,455785,108781,2205240,318333,-557171,70000,71821089,165856293,26379957,144798893,19205,"Florida International University",0,0,6618755,751114,35374928,5747895,5108016,8000,475752,2729019,739424,1347876,410270,0,220138,2845179,2399516,820259,591499,458397,81703,3694436,284410,1643205,43270,72393061,176130120,24588509,160690983,20646,"Florida International University",0,0,6841141,972338,35508185,6381522,5072869,0,338268,2127534,984135,1850126,514658,0,218987,2782918,1694600,859999,412546,485352,107027,3613295,225322,1908936,25548,72925306,193887705,24228254,173010165,22068,"Florida International University",0,0,6989586,332500,28752899,6648256,3973938,0,11869,1612655,904582,646651,278797,0,133946,2402392,2638308,1034953,330658,443735,0,345373,24700,9723897,0,67229695,189153663,24085876,185168271,22015,"Florida International University",0,0,7139217,610172,39433624,8048411,5269541,0,360629,2621524,970895,1192016,1131700,0,201836,3343486,3427122,2583709,352215,492240,377306,1311605,0,1610261,0,80477509,196224665,27224659,189980956,23389
134097,"Florida State University",0,0,28887189,2622781,158375459,11427894,20320833,607169,2557066,10487196,4091009,8590993,2977324,0,565514,7056541,13623183,0,2198534,132220,1491223,39659824,812174,9802391,266792,326553309,160811485,49989350,196675848,13192,"Florida State University",0,0,24261138,3259159,150147316,11302805,19991378,1631013,2591887,9002035,3723352,4454671,3639385,0,505876,11487462,23833949,0,1988331,2670491,1374474,24429910,0,2610567,0,302905199,181230095,80703179,200161932,12499,"Florida State University",0,0,25481505,3163301,155656855,11503697,20264906,19145713,1832367,6606128,4510312,2921397,1602345,0,222034,12278671,19907137,0,1753872,142106,1382248,21601929,1092045,NA,245142,311313710,194735951,85687819,205539807,13330,"Florida State University",0,0,20122052,504343,121923106,10461777,21925201,216911,286103,5343949,4687674,1932240,1902761,0,120543,11464201,14227132,0,1788055,2492633,1619946,22827585,0,7819895,0,251666107,137766010,59117026,207166772,13082,"Florida State University",0,0,25612597,2443718,150777734,10789646,22828185,59502,1619148,9021018,5325233,3525810,3610347,0,237689,10725593,22202122,0,1812040,2775051,2145877,26044158,0,10364150,0,311919618,136565929,72606344,229585739,15611
