"UNITID","school_name","coach_comp_third_2021","support_comp_third_2021","coach_comp_2021","guarantees_2021","total_ops_2021","aid_2021","support_comp_2021","severance_2021","recruiting_2021","teamtravel_2021","equip_2021","game_expenses_2021","marketing_2021","camps_2021","spirit_2021","facilities_rentals_2021","overhead_2021","indirect_institutional_2021","medical_2021","memberships_2021","meals_2021","otherops_2021","bowl_expense_2021","prof_def_2021","bowl_coachcomp_2021","total_expendature","discounts_to_tuition","gifts","reseach_expendatures","graduation_rate"
139959,"University of Georgia",0,0,29154167,444200,122722893,11930881,26317868,168678,940535,5052057,952438,4609260,1608489,228216,280916,9482094,13721264,0,2218370,76543,3292377,11385958,241072,46341763,617510,291787549,166516475,71913633,469771944,13445
142115,"Boise State University",0,0,9333469,284250,40126524,9054874,7953911,0,134040,1835789,496001,560721,191855,36682,156165,3764508,1774165,2093356,957190,508357,509369,481822,0,NA,0,80253048,29075000,27123074,46154461,37778
145637,"University of Illinois Urbana-Champaign",0,0,22159720,242511,102006085,11689978,22584732,2034337,679690,4327036,2952027,1317180,837882,49286,273426,16646361,10501212,0,866379,219354,2830158,1794816,0,NA,0,204012170,264389120,196381433,706992330,25468
147703,"Northern Illinois University",0,0,4474680,0,17717741,6475148,2691670,0,50544,1089337,697078,19134,162605,10881,53478,309928,202157,283235,181730,115865,149414,750857,0,NA,0,35435482,52605589,0,22981557,21694
150136,"Ball State University",0,0,5655368,0,23243252,7536443,3953288,0,18716,1167001,507948,440458,28526,8678,8063,0,51809,1493543,362819,150420,85795,1496311,183066,133184,95000,46619688,81747278,6837946,11199281,21687
151351,"Indiana University-Bloomington",0,0,22912068,793275,102582541,17518837,20154894,2047835,169761,4985663,3408443,2329261,297351,0,87333,11406857,5340052,2282065,1992305,147302,1689919,3444373,1124947,NA,450000,205165082,197892096,76321413,148858344,22660
153603,"Iowa State University",0,0,17245476,522041,89008720,9630306,13761010,8781558,457899,3976043,3180438,1360277,906081,0,382314,10457557,8181652,0,1920069,926344,2191148,3736981,1097026,NA,294500,178017440,146505715,48551267,182082947,16722
153658,"University of Iowa",541000,0,26380102,405944,116755350,13341165,17458370,1264119,87425,5210109,2402349,1478702,2577166,70548,439182,24493208,8826273,0,1744497,160949,3895963,5861641,116638,NA,0,233510700,105674000,89280000,471490000,32812
155317,"University of Kansas",0,0,21875888,471415,94140743,13302180,23875145,4673921,395972,4147176,4407572,1479896,1269737,0,52721,3632295,11469001,0,1035659,274075,1453986,324104,0,NA,0,188281486,28155328,61870560,339627065,18540
155399,"Kansas State University",0,0,14280438,1290730,87729711,7721313,16779127,257653,524634,3842086,2471787,2640018,1326479,0,43756,22219127,4981679,0,1346334,3411121,1997462,2595967,0,NA,0,175459422,41899029,0,196069043,35633
157085,"University of Kentucky",0,0,29857355,274069,120938509,14570437,22367562,938927,362141,7749422,2928448,3418198,524866,375214,780277,9530336,19214223,0,1092879,59780,1479822,4392239,894409,539018,127905,242416036,166562936,55420409,351886081,8341
157289,"University of Louisville",0,0,24184172,1005500,109320333,15141642,18152603,0,320340,3991060,8002504,3946973,1173415,0,370573,3539604,3909684,2619343,2550878,110184,2195734,18106124,0,NA,0,218640666,101887000,44902000,170869000,21418
157951,"Western Kentucky University",33913,29486,5473194,573118,28866013,6324357,4232711,0,49031,1923113,708502,1141902,843567,86202,120751,3060913,0,1559802,541743,8246,435115,1396935,323412,0,0,57732026,75389048,0,6566760,29880
159391,"Louisiana State University and Agricultural & Mechanical College",0,0,32407822,317734,131515453,13609855,26772011,574849,610013,5518174,3568767,6067392,764692,0,420152,13478512,7490942,0,5089783,106910,3588685,11129160,0,NA,0,263030906,116665021,125549393,230629728,16974
159647,"Louisiana Tech University",0,0,5393946,451164,23133588,5803748,2522833,10356,55033,1349128,1603229,750407,86165,0,0,606265,510373,NA,616191,324054,421436,652949,107010,NA,105000,44502875,36106588,17070560,22992033,18899
159993,"University of Louisiana at Monroe",0,0,4605209,176920,18140898,4768672,2268710,175000,19353,1244489,858156,914873,181674,0,0,975112,249592,0,902836,213165,293094,294043,0,NA,0,36281796,18526742,1800991,7217145,31254
160658,"University of Louisiana at Lafayette",0,0,8252429,46542,34129724,7375509,5836011,254238,56655,2019759,1396665,1405243,187203,0,88406,2356665,1092607,66639,1077014,100776,934859,1159346,294370,NA,128788,68259448,32275977,5492050,69776485,26855
163286,"University of Maryland-College Park",0,0,20963623,161563,81831650,17412064,15816105,86775,421739,4617202,3100413,871426,631780,0,51306,114642,10107161,0,1925120,104214,2508330,2938187,0,NA,0,163663300,129475304,24134391,509027980,52954
166629,"University of Massachusetts-Amherst",0,0,7188328,22000,42278738,12184320,5295768,254242,179055,1798720,1120372,576071,203838,1602,15056,6485860,958341,3624832,450568,75163,256085,1588517,0,524844,0,85082320,170555233,26233649,150422669,18079
169248,"Central Michigan University",36997,22133,6774466,6500,27939171,5631805,4759601,480019,146742,1055750,991067,377448,73367,3000,0,1917168,2733976,148171,1325344,164371,531507,759849,NA,NA,0,55878452,56983875,8567771,23740079,39989
169798,"Eastern Michigan University",0,0,5582955,9500,24524114,8825808,3761709,0,99654,794300,1356426,359440,683350,11192,92396,392963,711270,550000,526841,289975,21948,454387,0,0,0,49048228,54703338,10297434,6402699,21083
170976,"University of Michigan-Ann Arbor",0,0,34149105,280000,148862376,27913057,32765485,839583,822051,5677442,4239917,1140734,795255,0,266649,17404380,12636400,0,3125502,151306,3100216,3555294,0,NA,0,297724752,438866000,179996000,921973000,21411
171100,"Michigan State University",535000,0,24612697,329520,104951574,16717761,21131026,67821,407685,3677857,3751767,1130916,1243114,49714,90049,15082831,8497600,1557193,1666609,134384,1497348,2770682,0,NA,0,209903148,183222008,118935569,446165008,9135
172699,"Western Michigan University",0,0,5665711,10205,26924574,6847710,4084272,0,120198,909114,671295,559061,89884,34427,20145,2938900,1071171,1777375,1725235,163076,219271,17524,0,NA,0,53849148,55852999,26492749,18701960,42454
174066,"University of Minnesota-Twin Cities",0,0,22988232,217638,103821135,14913221,18046562,244410,377191,4419552,2247315,1067715,500893,0,521044,10784909,11900717,5987303,5851475,159630,2387824,1205336,168,NA,0,207642270,268569304,189107896,882996737,28795
176017,"University of Mississippi",0,0,21537187,592289,109763195,10937684,18340020,5664888,339608,5006343,4383741,4565414,2951379,356376,417028,14682276,10830897,0,4632115,19906,1348180,2231180,733087,17631145,193597,237157535,118905990,13674016,110663836,25231
176080,"Mississippi State University",0,0,20281612,677666,92075898,10024972,14772707,691686,102430,4324945,4347016,3820084,2516247,199247,431798,13559666,6825924,0,3969859,46798,1233692,3720442,529107,20814517,0,204966313,113406376,69190687,168599322,21728
176372,"University of Southern Mississippi",0,0,6044267,392450,27223468,5946673,4005708,0,140106,2213318,707155,1392806,198900,67598,0,1804378,2339134,0,1322430,377730,216533,54282,0,109117,0,54556053,47432521,782393,50228535,14193
178396,"University of Missouri-Columbia",0,0,20200329,509772,113915145,12284541,18711509,1341347,314262,5182764,2389557,2289877,693297,103949,177040,28306200,12475671,0,1503809,99644,1282660,5765815,283102,NA,0,227830290,155226202,38389950,185342093,23808
181464,"University of Nebraska-Lincoln",0,0,22385907,148250,104087284,13006562,25056329,4152127,400482,5900951,4546323,1391326,419323,0,380583,965416,11667026,0,6052552,158452,3675881,3779794,0,NA,0,208174568,124160472,74882325,220222881,19937
182281,"University of Nevada-Las Vegas",0,0,9597324,113955,52087692,9902832,6720891,522080,630961,1871224,4841970,1286264,262673,0,173596,6267112,3841075,2579039,902915,417015,680516,1476250,0,549488,0,104724872,101435000,23511000,43231000,29472
182290,"University of Nevada-Reno",0,0,6963691,148726,34799540,8848741,5459658,0,230954,2124770,1463375,437039,87739,5178,28881,1477154,2571699,2793435,601262,403719,842157,69963,216399,442033,25000,70041113,61154287,27246779,106596528,11860
186380,"Rutgers University-New Brunswick",287675,76835,25472843,225000,118394474,17376340,21974317,2485921,319228,6136833,5106714,1651107,1212412,0,296059,13022780,12150473,0,3037505,115258,4515271,2931903,0,NA,0,236788948,186803000,42460000,563199000,25179
187985,"University of New Mexico-Main Campus",0,0,7742643,36600,35284244,8126027,6556920,471799,99474,2861916,660732,617897,30851,0,33271,1706668,786205,729772,192000,418073,473748,3739648,0,1711693,0,72280181,81249056,40100226,278803344,22226
188030,"New Mexico State University-Main Campus",0,0,5581971,317490,25482825,7991454,3525495,0,30795,1792318,774788,589110,163391,1428,92972,240000,1514875,859616,781898,113344,403306,708574,0,6453,0,50972103,42294806,7603087,104046263,19661
196088,"University at Buffalo",1675,0,8082171,40500,36214285,8119908,8809854,526728,194198,1683618,891280,310220,50487,68973,0,1077096,1052680,2452699,1607275,162566,0,749044,146830,54410,186483,72482980,107384747,32281115,156334634,32321
197869,"Appalachian State University",0,0,5989380,218874,33425114,7228290,4766076,62096,132144,1588745,2027714,616868,23199,0,3114,5411311,1351125,1817389,281057,108873,491296,832247,278399,NA,196917,66850228,33656047,27939192,5694013,32103
198464,"East Carolina University",0,0,8877761,261400,43329991,8154692,8267626,265699,239964,2132302,1668955,511433,12918,0,61709,5707279,2859198,1183073,517896,45545,850884,1711657,0,363300,0,87023282,47012777,27172010,48538174,30888
199120,"University of North Carolina at Chapel Hill",0,0,21478863,739605,101916048,18036119,17710689,2780811,465072,5190915,3881102,1617891,58070,0,306903,0,10032606,1523226,4196376,2962382,1760017,5330872,1123870,NA,2720659,203832096,145266384,232046483,682692361,26770
199139,"University of North Carolina at Charlotte",0,0,6740839,101574,37727070,8136443,4939014,106250,138385,1873009,1768043,660429,398025,0,82527,2404289,2466489,2880014,3000688,350568,411576,1268908,0,NA,0,75454140,59835923,11587785,39637891,29486
199193,"North Carolina State University at Raleigh",0,0,18680547,796812,78215264,13446149,16151808,986281,225333,4838914,2859727,1230832,539988,0,264272,2293891,4546607,0,3850163,3011113,800074,2976568,579427,9146,136758,156439674,109267789,99100434,353323032,43885
200800,"University of Akron Main Campus",0,0,5681179,13500,25667906,5655403,2922080,166063,93128,903231,1165849,388918,332494,12419,33275,4958678,1313432,0,673110,293086,293737,768324,0,894279,0,52230091,40493585,18103298,18845348,9943
201441,"Bowling Green State University-Main Campus",0,0,5498611,62500,20119961,6506164,3586069,0,94146,1144071,876620,284943,50646,0,0,171526,0,0,208007,249219,383551,1003888,0,118744,0,40358666,61353189,0,11939544,38789
201885,"University of Cincinnati-Main Campus",0,0,12846851,670016,62550722,9990024,7390726,310111,279484,2997176,341523,953535,2836512,0,93779,13750935,824709,2259243,640585,70376,930766,3888822,887738,NA,587811,125101444,114131746,53590773,211277417,25057
203517,"Kent State University at Kent",0,0,6607103,43000,21870072,6252387,4240803,0,87450,1212860,1047659,272010,143992,12526,66014,356231,0,0,344154,227281,0,956602,0,NA,0,43740144,77070209,4628434,22262902,11880
204024,"Miami University-Oxford",0,0,6559814,29595,30036336,11435406,4863087,0,71676,1205379,1011738,417745,55619,50694,24846,2209747,439055,35108,175860,153717,425186,872064,0,1319093,0,61391765,135883806,46454763,14987119,24806
204796,"Ohio State University-Main Campus",0,0,36371292,226726,170552320,20624606,31437418,0,578953,4888837,5016658,1412812,64995,83895,71414,25182146,23676967,0,2313462,383839,5593859,6274197,3201818,NA,3148426,341104640,223046767,121058665,572956800,23144
204857,"Ohio University-Main Campus",0,0,5512431,17000,26434522,8388641,3364672,0,98582,1014193,473012,270253,413334,5659,0,2277661,972212,NA,570878,170811,181406,85144,0,NA,0,50250411,74780025,0,45581701,29034
206084,"University of Toledo",0,0,6887072,0,29361565,8661466,4168640,0,113730,779787,1342106,567504,69452,63657,52204,2366220,570168,1790173,380012,104082,417258,1028034,0,0,0,58723130,75072280,6010524,49391217,33953
207388,"Oklahoma State University-Main Campus",0,0,18540449,409163,78691353,7684774,17539032,48072,335213,4042508,4305061,2203546,1448485,302693,69968,3215142,11187826,0,1334807,349187,1448675,3537034,607218,NA,82500,157382706,120595752,28878980,147259416,28344
207500,"University of Oklahoma-Norman Campus",0,0,32631978,863470,143193408,16151142,17497188,355055,633688,5572086,5386385,7430083,1967160,0,164369,13946565,28446959,0,5480803,159500,1519235,3238682,1397188,475540,351872,286862356,115713000,74739000,118085000,20958
209542,"Oregon State University",0,0,15599718,256372,68585989,10047156,11749006,0,1104642,2561282,4190848,1823595,1268919,55498,7556,7975535,890385,0,1549017,3122287,1299216,5084957,0,NA,0,137171978,102765307,49670189,223146633,27952
