"UNITID","school_name","coach_comp_third_2018","support_comp_third_2018","coach_comp_2018","guarantees_2018","total_ops_2018","aid_2018","support_comp_2018","severance_2018","recruiting_2018","teamtravel_2018","equip_2018","game_expenses_2018","marketing_2018","camps_2018","spirit_2018","facilities_rentals_2018","overhead_2018","indirect_institutional_2018","medical_2018","memberships_2018","meals_2018","otherops_2018","bowl_expense_2018","prof_def_2018","bowl_coachcomp_2018","total_expendature","discounts_to_tuition","gifts","reseach_expendatures","graduation_rate"
100663,"University of Alabama at Birmingham",0,0,6579779,788930,35809571,8522659,5850694,0,655128,2749655,1477238,1152635,720852,0,696201,1074179,1052294,232275,557932,371482,436253,2286707,456441,-1073284,148237,70545858,49334451,34009483,309591511,51017
100751,"The University of Alabama",0,0,27979991,4166549,166533013,16741760,29501703,844883,3310990,6881601,3763116,8268221,4550561,1640264,791183,17328857,14319317,1997219,3090576,150657,1046462,11744998,8414105,10948924,0,344014950,269470952,48858002,77055748,40678
100858,"Auburn University",0,0,26238272,3887937,139798191,16998307,26746067,2932576,2083737,7328164,5471951,2969449,4286178,0,589192,11982783,13070935,0,935294,249860,1459164,9870802,1922123,7822378,775400,287418760,116589276,47093103,192211547,9708
102094,"University of South Alabama",0,0,5906508,210500,29894011,7018864,4985031,0,400965,2054137,2353707,727558,342509,0,291734,1690857,1007877,NA,605963,115298,193896,1988607,0,-853053,0,58934969,35207000,10948000,33118000,50953
104151,"Arizona State University Campus Immersion",12500,0,20307346,1763586,126782387,15708959,19287625,12861526,1543683,5791714,6334660,4187023,4938676,21727,547620,15062742,9037481,1942501,1630447,43478,1846874,2151022,1242588,-13145632,518609,240419142,374096000,75791000,333019000,40724
104179,"University of Arizona",1188198,22700,18928250,1273050,103329464,12977775,15770347,8274496,1495385,5619198,3828130,5030543,1620431,0,247049,7693625,6672934,1650854,1265564,111321,2024684,6214307,1024698,-7461747,395925,199197181,214043000,81746000,497692000,11094
106397,"University of Arkansas",175000,0,22857684,4673531,127369722,12583859,21411079,4609403,2394790,8238339,3965232,4749873,3722614,0,1240483,12938402,7957887,0,1643439,64600,3550375,10593132,0,2756388,0,257495832,77030077,76814127,163206957,43731
106458,"Arkansas State University",1461494,214514,3231585,322500,40098989,7265690,2770473,0,475581,2394868,1665012,727809,344273,0,24304,2019228,960887,0,259991,137309,48782,15431036,257820,0,85833,80197978,39886068,2697962,11388071,28700
110556,"California State University-Fresno",40075,5500,11817716,973675,51050676,7811164,8378282,1255981,647539,3744047,1705246,2496054,1154354,290492,323428,302088,1423572,1340927,1782138,594048,743405,2690287,1137436,-413926,393222,101687426,109093992,4711529,6523636,46202
110635,"University of California-Berkeley",0,0,18704642,1869289,110558630,13028152,20549921,1408503,1397437,6349334,6152867,4572538,3922991,0,157012,20696282,5085469,0,2367772,91315,1548833,2656273,0,-19311141,0,201806119,198518202,315857000,675981762,20784
110662,"University of California-Los Angeles",0,0,23231458,1596000,130960560,14536160,21759738,12535781,1620167,7077656,4658610,8308083,1461774,2734843,59912,3952902,9707991,0,990900,102640,3094623,11867742,1533580,0,130000,261921120,246760403,378856000,956812020,15696
122409,"San Diego State University",0,0,10168259,955316,54933032,8808212,10674786,0,684266,3677619,1397149,2413285,4471306,160913,367287,2710105,1800661,1943458,867023,491563,624714,1275144,1131940,754152,310026,110620216,125597440,17221592,6019318,21066
122755,"San Jose State University",0,0,7910851,815000,32563136,8108637,5341355,467615,409818,2879773,1416581,1191078,442115,0,21462,448101,0,1028960,529984,516467,66828,968511,0,1596061,0,66722333,110099463,5636534,263918,25562
126614,"University of Colorado Boulder",0,0,16919621,247500,89826611,11486167,14384170,309609,1144052,3598079,1524988,4159831,1854403,457008,404523,15045267,8221572,2155839,1151183,52568,1652000,5058231,0,-245067,0,179408155,122863910,77464844,449009390,25298
126818,"Colorado State University-Fort Collins",22000,0,10076685,821180,52159851,9258376,6916873,750000,889715,2661852,2618046,2783615,1210068,361985,43816,4540045,1581718,1943453,827253,575989,887746,2668461,527558,2568963,193417,106888665,110741245,79063467,254178311,38267
129020,"University of Connecticut",0,0,17051587,1264166,80905645,16926761,14358474,1410991,1406823,7320041,2203763,5020428,1426860,0,37707,926427,2933882,0,889826,143272,806686,6777951,0,-1597224,0,160214066,227667476,25438145,171627945,42133
