"UNITID","school_name","coach_comp_third_2021","support_comp_third_2021","coach_comp_2021","guarantees_2021","total_ops_2021","aid_2021","support_comp_2021","severance_2021","recruiting_2021","teamtravel_2021","equip_2021","game_expenses_2021","marketing_2021","camps_2021","spirit_2021","facilities_rentals_2021","overhead_2021","indirect_institutional_2021","medical_2021","memberships_2021","meals_2021","otherops_2021","bowl_expense_2021","prof_def_2021","bowl_coachcomp_2021"
126818,"Colorado State University-Fort Collins","$10,000","$0","$8,991,841","$80,054","$48,821,899","$9,305,352","$7,189,656","$38,039","$119,416","$1,818,671","$2,788,973","$389,095","$148,235","$27,417","$18,990","$12,546,083","$1,205,355","$1,378,534","$613,963","$485,931","$505,675","$1,160,619","$0","$953,271","$0"
129020,"University of Connecticut","$0","$0","$19,338,055","$83,000","$60,827,848","$12,952,288","$12,781,995","$72,333","$289,189","$3,658,072","$2,482,687","$406,599","$104,996","$0","$7,303","$1,721,948","$2,033,762","$0","$1,028,912","$124,981","$768,868","$2,972,860","$0","($2,472,947)","$0"
198464,"East Carolina University","$0","$0","$8,877,761","$261,400","$43,329,991","$8,154,692","$8,267,626","$265,699","$239,964","$2,132,302","$1,668,955","$511,433","$12,918","$0","$61,709","$5,707,279","$2,859,198","$1,183,073","$517,896","$45,545","$850,884","$1,711,657","$0","$363,300","$0"
169798,"Eastern Michigan University","$0","$0","$5,582,955","$9,500","$24,524,114","$8,825,808","$3,761,709","$0","$99,654","$794,300","$1,356,426","$359,440","$683,350","$11,192","$92,396","$392,963","$711,270","$550,000","$526,841","$289,975","$21,948","$454,387","$0","$0","$0"
133669,"Florida Atlantic University","$0","$0","$7,187,217","$90,500","$32,472,125","$3,833,961","$4,801,926","$10,422","$58,695","$1,828,137","$1,511,553","$1,234,782","$287,975","$0","$26,741","$2,361,375","$2,097,624","$4,402,709","$1,061,447","$375,202","$558,989","$617,561","$125,309","$1,138,643","$0"
133951,"Florida International University","$0","$0","$6,989,586","$332,500","$28,752,899","$6,648,256","$3,973,938","$0","$11,869","$1,612,655","$904,582","$646,651","$278,797","$0","$133,946","$2,402,392","$2,638,308","$1,034,953","$330,658","$443,735","$0","$345,373","$24,700","$9,723,897","$0"
134130,"University of Florida","$775,000","$0","$25,963,214","$246,325","$123,298,839","$12,856,397","$32,502,833","$515,276","$649,215","$7,307,351","$3,657,776","$3,078,997","$1,375,647","$118,345","$91,380","$8,753,609","$14,452,547","$0","$1,948,928","$34,451","$2,011,300","$5,924,064","$1,036,184","$15,555,395","$0"
134097,"Florida State University","$0","$0","$20,122,052","$504,343","$121,923,106","$10,461,777","$21,925,201","$216,911","$286,103","$5,343,949","$4,687,674","$1,932,240","$1,902,761","$0","$120,543","$11,464,201","$14,227,132","$0","$1,788,055","$2,492,633","$1,619,946","$22,827,585","$0","$7,819,895","$0"
110556,"California State University-Fresno","$0","$0","$11,067,928","$4,500","$36,237,555","$7,267,597","$7,888,267","$75,432","$128,716","$2,028,437","$2,081,422","$905,371","$134,359","$7,594","$226,371","$287,156","$566,239","$342,331","$154,721","$475,000","$380,245","$2,215,869","$0","($6,654,920)","$0"
139959,"University of Georgia","$0","$0","$29,154,167","$444,200","$122,722,893","$11,930,881","$26,317,868","$168,678","$940,535","$5,052,057","$952,438","$4,609,260","$1,608,489","$228,216","$280,916","$9,482,094","$13,721,264","$0","$2,218,370","$76,543","$3,292,377","$11,385,958","$241,072","$46,341,763","$617,510"
139931,"Georgia Southern University","$0","$0","$5,618,015","$84,848","$28,954,190","$6,309,087","$5,749,658","$0","$41,700","$1,290,915","$703,124","$685,232","$601,429","$0","$7,685","$1,823,005","$917,095","$1,540,730","$2,119,107","$102,219","$181,332","$776,674","$339,835","$0","$62,500"
139940,"Georgia State University","$0","$0","$6,736,077","$23,606","$32,064,332","$7,762,081","$5,223,803","$0","$41,175","$1,052,674","$924,234","$741,070","$103,898","$0","$11,019","$3,957,346","$1,483,465","$223,426","$300,273","$104,639","$383,403","$2,682,718","$174,425","($1,582,478)","$135,000"
139755,"Georgia Institute of Technology-Main Campus","$0","$0","$15,663,757","$384,000","$85,999,316","$11,525,110","$13,685,577","$265,744","$410,880","$4,147,148","$3,565,787","$3,833,421","$2,650,299","$0","$435,939","$13,978,959","$8,317,109","$4,043,709","$2,022,587","$281,615","$787,675","$0","$0","$199,542","$0"
225511,"University of Houston","$0","$0","$15,165,728","$632,554","$67,196,088","$9,015,573","$11,822,150","$0","$201,252","$2,810,577","$1,597,781","$1,207,102","$396,246","$81,514","$0","$6,255,105","$10,958,378","$0","$4,065,926","$27,884","$2,208,029","$414,825","$279,638","($372,511)","$55,826"
