"UNITID","school_name","coach_comp_third_2019","support_comp_third_2019","coach_comp_2019","guarantees_2019","total_ops_2019","aid_2019","support_comp_2019","severance_2019","recruiting_2019","teamtravel_2019","equip_2019","game_expenses_2019","marketing_2019","camps_2019","spirit_2019","facilities_rentals_2019","overhead_2019","indirect_institutional_2019","medical_2019","memberships_2019","meals_2019","otherops_2019","bowl_expense_2019","prof_def_2019","bowl_coachcomp_2019"
200800,"University of Akron Main Campus","$0","$0","$6,525,843","$623,500","$37,275,978","$6,734,906","$5,004,282","$527,590","$697,176","$2,508,741","$1,680,613","$795,440","$819,692","$186,254","$76,676","$4,964,367","$1,953,068","0","$717,468","$319,188","$517,191","$2,623,983","$0","($81,493)","$0"
100751,"The University of Alabama","$0","$0","$31,572,156","$3,985,825","$185,317,681","$18,195,058","$32,100,571","$6,750,884","$4,026,525","$7,442,007","$3,761,546","$8,837,276","$4,206,977","$1,692,966","$596,812","$19,167,825","$11,258,536","$2,654,551","$3,296,893","$241,675","$878,044","$15,178,362","$7,858,954","($21,226,792)","$1,614,238"
197869,"Appalachian State University","$0","$0","$5,890,376","$568,025","$37,773,447","$6,947,166","$4,714,244","$119,093","$484,126","$2,443,077","$1,399,374","$1,075,743","$141,066","$0","$53,179","$3,464,989","$1,684,950","$5,970,140","$410,858","$124,380","$446,610","$1,148,743","$565,904","$223,065","$121,404"
104179,"University of Arizona","$1,292,850","$27,700","$16,381,385","$2,288,318","$100,565,835","$13,432,029","$17,159,851","$0","$1,822,466","$6,101,330","$3,397,042","$5,550,267","$1,501,762","$0","$260,199","$13,110,771","$6,498,046","$1,883,443","$1,366,986","$158,620","$2,168,684","$6,164,086","$0","$4,525,554","$0"
104151,"Arizona State University Campus Immersion","$0","$0","$19,654,513","$1,445,796","$118,404,377","$16,576,282","$20,545,569","$120,599","$1,617,134","$6,101,676","$5,859,893","$4,092,640","$5,233,759","$0","$806,034","$11,194,448","$16,466,971","$1,831,854","$1,536,363","$58,534","$1,760,096","$1,957,549","$1,278,298","$3,294,463","$266,369"
106397,"University of Arkansas","$175,000","$0","$22,104,911","$3,932,599","$129,620,361","$12,763,988","$21,851,556","$2,823,801","$3,275,057","$8,028,836","$4,444,399","$6,276,905","$3,327,042","$56,540","$1,313,719","$15,637,278","$7,696,616","$0","$1,882,493","$85,887","$3,654,529","$10,289,205","$0","$7,877,427","$0"
106458,"Arkansas State University","$1,437,300","$356,859","$3,268,471","$603,620","$35,550,592","$7,220,695","$2,930,306","$0","$522,086","$2,597,221","$1,748,932","$897,209","$468,358","$0","$9,704","$2,082,538","$1,473,017","$0","$286,867","$133,207","$124,816","$8,536,759","$742,294","$0","$110,333"
100858,"Auburn University","$0","$0","$27,722,793","$4,125,450","$139,260,711","$16,297,822","$25,797,084","$284,873","$2,188,165","$6,948,265","$5,255,150","$3,234,496","$4,640,598","$0","$659,964","$11,849,047","$13,237,537","$0","$898,864","$272,513","$1,876,027","$12,421,093","$1,155,295","$13,194,705","$395,675"
150136,"Ball State University","$0","$0","$5,955,114","$823,000","$27,911,602","$8,145,663","$4,137,608","$0","$419,728","$1,780,675","$1,136,651","$844,225","$253,959","$118,323","$56,866","$0","$98,947","$1,520,496","$324,939","$276,575","$228,949","$1,789,884","$0","($233,122)","$0"
142115,"Boise State University","$0","$0","$9,793,940","$780,350","$49,758,472","$8,644,095","$8,097,867","$0","$969,224","$3,461,494","$890,625","$1,247,425","$482,644","$301,492","$203,759","$4,827,983","$2,889,300","$3,409,699","$884,132","$595,994","$662,877","$800,468","$673,397","$841,011","$141,707"
201441,"Bowling Green State University-Main Campus","$0","$0","$6,014,630","$670,164","$25,780,900","$6,888,703","$3,804,505","$431,310","$624,947","$2,587,106","$1,421,292","$633,907","$384,660","$47,176","$0","$126,729","$0","$0","$406,748","$243,660","$200,589","$1,294,774","$0","$220,284","$0"
196088,"University at Buffalo","$123,332","$22,035","$7,718,600","$687,946","$45,933,053","$8,306,107","$9,071,490","$187,689","$630,172","$3,140,132","$805,217","$1,065,561","$741,028","$165,598","$15,670","$917,472","$1,173,361","$2,397,056","$356,784","$314,041","$0","$7,616,806","$417,568","$44,899","$59,388"
110635,"University of California-Berkeley","$0","$0","$21,594,076","$1,391,181","$106,676,734","$12,009,663","$21,984,945","$836,341","$1,769,353","$7,006,002","$4,514,213","$5,224,630","$4,802,534","$0","$163,642","$11,107,086","$5,495,169","$0","$2,656,264","$26,341","$1,015,857","$4,171,328","$708,109","($19,175,976)","$200,000"
169248,"Central Michigan University","$0","$0","$6,699,210","$779,745","$33,642,870","$6,635,312","$5,117,665","$1,334,547","$658,515","$2,177,208","$1,388,325","$1,060,971","$317,070","$65,446","$148,652","$1,920,330","$2,911,306","$18,050","$389,152","$292,772","$342,466","$1,386,408","($280)","$1,299,704","$0"
199139,"University of North Carolina at Charlotte","$0","$0","$6,525,215","$410,547","$38,454,232","$7,940,485","$5,455,694","$367,875","$756,830","$2,726,937","$1,227,538","$1,532,642","$851,547","$0","$179,396","$2,395,359","$2,651,000","$3,244,631","$380,171","$396,070","$338,919","$1,073,376","$0","$2,412,198","$0"
