"UNITID","school_name","coach_comp_third_2020","support_comp_third_2020","coach_comp_2020","guarantees_2020","total_ops_2020","aid_2020","support_comp_2020","severance_2020","recruiting_2020","teamtravel_2020","equip_2020","game_expenses_2020","marketing_2020","camps_2020","spirit_2020","facilities_rentals_2020","overhead_2020","indirect_institutional_2020","medical_2020","memberships_2020","meals_2020","otherops_2020","bowl_expense_2020","prof_def_2020","bowl_coachcomp_2020"
200800,"University of Akron Main Campus","$0","$0","$6,500,881","$467,000","$33,564,968","$6,514,227","$5,075,944","$315,180","$518,599","$1,740,787","$1,128,473","$818,699","$707,695","$113,021","$36,171","$4,961,674","$1,592,259","0","$699,225","$410,221","$441,659","$1,523,253","$0","$565,562","$0"
100751,"The University of Alabama","$0","$0","$30,821,496","$4,583,000","$173,141,125","$17,365,698","$32,183,991","$850,044","$3,396,572","$5,464,311","$3,448,983","$8,048,587","$3,718,321","$725,324","$512,024","$23,822,661","$9,237,264","$2,654,551","$3,022,769","$160,549","$854,409","$17,356,340","$2,921,416","$16,141,424","$1,087,332"
197869,"Appalachian State University","$0","$0","$5,667,780","$263,330","$34,999,267","$7,059,593","$5,326,586","$0","$376,196","$1,999,331","$1,795,806","$1,307,483","$165,324","$0","$34,037","$3,582,966","$2,016,484","$2,388,955","$442,984","$119,645","$572,029","$1,086,602","$641,387","($52,839)","$152,749"
104179,"University of Arizona","$1,245,850","$35,350","$18,251,162","$1,678,100","$101,084,625","$13,050,203","$17,709,791","$0","$1,475,592","$5,784,185","$2,964,256","$5,156,210","$1,482,270","$0","$232,965","$13,567,250","$6,266,864","$2,115,843","$1,270,391","$159,481","$1,945,860","$6,693,002","$0","($3,270,281)","$0"
104151,"Arizona State University Campus Immersion","$5,000","$0","$21,191,081","$2,777,041","$117,912,821","$16,831,956","$21,605,192","$1,315,594","$1,342,096","$5,506,808","$5,690,933","$4,364,221","$4,400,888","$0","$604,499","$11,872,314","$11,154,418","$1,766,785","$1,855,129","$55,603","$1,678,808","$2,210,177","$1,301,872","($10,922,942)","$382,406"
106397,"University of Arkansas","$175,000","$0","$22,573,923","$4,908,585","$123,857,351","$12,968,081","$23,313,334","$2,021,817","$1,944,282","$5,246,132","$3,872,320","$5,550,687","$2,547,847","$61,334","$1,210,261","$16,016,911","$8,822,460","$0","$1,614,146","$97,260","$3,462,352","$7,450,619","$0","($499,779)","$0"
106458,"Arkansas State University","$1,300,581","$397,408","$3,290,795","$379,850","$36,282,680","$7,858,369","$3,020,674","$0","$399,959","$2,282,835","$2,294,325","$991,023","$525,043","$0","$7,092","$2,936,530","$1,695,073","$0","$266,609","$132,597","$110,566","$7,993,966","$317,052","$0","$82,333"
100858,"Auburn University","$0","$0","$28,588,886","$5,096,579","$135,816,431","$17,520,682","$25,803,270","$734,877","$1,702,093","$5,604,836","$5,417,199","$3,059,496","$3,763,302","$0","$597,064","$11,071,316","$14,810,108","$0","$823,611","$308,083","$1,518,651","$7,362,657","$1,443,721","$17,887,318","$590,000"
150136,"Ball State University","$0","$0","$6,026,935","$848,200","$27,333,912","$7,844,517","$4,425,040","$0","$331,618","$1,682,031","$1,154,783","$618,657","$183,392","$64,716","$54,801","$0","$36,297","$1,505,663","$508,322","$272,548","$210,366","$1,566,026","$0","$56,341","$0"
142115,"Boise State University","$0","$0","$10,224,862","$944,795","$51,188,405","$8,753,608","$8,937,234","$0","$558,104","$2,998,696","$702,613","$1,449,803","$499,161","$207,774","$194,147","$5,001,935","$2,172,745","$4,196,971","$963,609","$651,857","$610,286","$1,451,133","$547,036","$693,364","$122,036"
201441,"Bowling Green State University-Main Campus","$0","$0","$6,111,013","$689,000","$24,681,709","$6,570,775","$3,839,261","$0","$475,647","$2,296,937","$1,353,535","$684,424","$168,466","$16,410","$0","$172,916","$0","$0","$355,146","$368,148","$182,389","$1,397,642","$0","$408,507","$0"
196088,"University at Buffalo","$116,783","$23,777","$7,441,935","$666,000","$36,849,290","$8,503,272","$8,785,567","$45,296","$375,137","$2,242,877","$798,178","$911,842","$726,080","$170,031","$7,007","$391,421","$910,300","$2,599,469","$382,559","$260,519","$0","$854,877","$487,363","$1,919,725","$149,000"
