"UNITID","school_name","coach_comp_third_2022","support_comp_third_2022","coach_comp_2022","guarantees_2022","total_ops_2022","aid_2022","support_comp_2022","severance_2022","recruiting_2022","teamtravel_2022","equip_2022","game_expenses_2022","marketing_2022","camps_2022","spirit_2022","facilities_rentals_2022","overhead_2022","indirect_institutional_2022","medical_2022","memberships_2022","meals_2022","otherops_2022","bowl_expense_2022","prof_def_2022","bowl_coachcomp_2022"
200800,"University of Akron Main Campus","$0","$0","$6,051,164","$645,500","$30,290,134","$5,567,101","$3,760,260","$196,010","$407,278","$1,617,502","$1,587,277","$840,018","$199,164","$8,968","$64,713","$4,954,954","$1,466,186","0","$737,935","$453,434","$452,529","$1,280,141","$0","$208,362","$0"
100751,"The University of Alabama","$0","$0","$35,145,423","$4,963,000","$195,881,911","$18,952,318","$34,278,979","$612,003","$3,824,089","$7,079,927","$3,228,551","$9,054,652","$4,768,059","$788,310","$606,206","$22,395,628","$14,577,963","$2,654,551","$4,028,239","$327,931","$918,301","$18,502,145","$7,292,345","$18,483,446","$1,916,606"
197869,"Appalachian State University","$0","$0","$6,491,288","$557,620","$38,565,701","$5,845,032","$5,973,573","$0","$560,008","$2,619,552","$2,230,817","$1,087,265","$147,784","$0","$134,401","$4,976,346","$2,172,564","$1,583,568","$438,467","$125,956","$890,952","$1,740,436","$794,072","($23,040)","$196,000"
104179,"University of Arizona","$1,014,800","$14,400","$21,380,323","$1,842,910","$124,944,926","$13,829,484","$19,982,551","$0","$2,594,234","$9,412,194","$4,620,624","$4,689,803","$1,608,565","$0","$232,091","$13,890,644","$14,061,147","$2,601,602","$1,144,200","$171,775","$2,944,477","$8,909,102","$0","($591,387)","$0"
104151,"Arizona State University Campus Immersion","$5,000","$0","$24,577,801","$1,679,756","$124,008,192","$17,101,566","$23,296,020","$362,648","$1,269,014","$6,037,951","$5,374,815","$6,510,882","$4,019,928","$0","$437,442","$12,181,318","$9,645,903","$2,305,308","$2,367,604","$61,876","$2,191,462","$2,516,596","$1,845,366","($2,928,577)","$219,936"
106397,"University of Arkansas","$0","$0","$26,915,488","$4,808,748","$144,319,041","$15,443,333","$24,446,009","$2,479,012","$2,262,001","$10,852,298","$3,174,497","$7,261,453","$2,026,799","$83,667","$1,177,524","$10,500,595","$17,136,024","$0","$1,391,696","$109,160","$4,037,225","$7,133,640","$2,196,445","$8,194,714","$883,427"
106458,"Arkansas State University","$1,694,784","$358,695","$3,534,533","$439,750","$32,376,515","$7,149,603","$3,289,857","$0","$444,885","$3,037,320","$1,985,068","$1,118,759","$520,261","$0","$56,501","$1,328,758","$1,335,701","$0","$286,490","$113,471","$566,550","$5,115,529","$0","$0","$0"
100858,"Auburn University","$0","$0","$27,449,777","$4,215,945","$151,590,763","$17,038,195","$25,396,250","$8,237,638","$2,730,647","$8,632,590","$6,204,610","$3,067,546","$4,516,712","$0","$655,092","$12,690,741","$14,971,506","$0","$1,412,131","$422,514","$2,225,015","$10,585,260","$870,914","$22,977,679","$267,680"
150136,"Ball State University","$0","$0","$6,945,796","$514,400","$28,526,892","$7,989,910","$4,206,548","$169,159","$329,408","$2,222,285","$877,484","$731,130","$223,300","$130,040","$32,023","$0","$121,705","$1,477,705","$324,533","$287,584","$399,951","$1,248,866","$270,065","$277,959","$25,000"
142115,"Boise State University","$0","$0","$9,226,133","$990,140","$50,328,947","$9,859,723","$9,449,942","$0","$772,351","$3,957,831","$654,830","$1,273,233","$598,805","$96,893","$227,795","$3,699,467","$3,185,190","$2,180,691","$1,021,299","$787,294","$879,148","$1,116,716","$351,466","$240,200","$0"
201441,"Bowling Green State University-Main Campus","$0","$0","$6,082,885","$562,500","$25,353,769","$6,985,795","$3,953,648","$0","$558,481","$2,017,240","$1,161,519","$515,507","$59,036","$2,855","$0","$178,492","$0","$0","$338,686","$359,804","$466,106","$2,111,215","$0","$220,198","$0"
196088,"University at Buffalo","$81,094","$19,216","$7,269,527","$459,500","$39,537,565","$8,341,717","$8,755,148","$388,256","$757,049","$3,237,975","$761,090","$749,625","$448,639","$144,383","$7,224","$735,706","$1,323,679","$2,322,836","$437,211","$279,182","$0","$3,018,508","$0","$654,690","$0"
110635,"University of California-Berkeley","$0","$0","$24,104,486","$1,790,755","$114,485,848","$13,128,738","$25,700,531","$553,564","$2,058,379","$8,117,376","$5,713,272","$4,976,888","$4,244,985","$0","$112,271","$9,448,049","$5,303,838","$0","$3,156,284","$123,618","$2,289,441","$3,663,373","$0","$3,726,331","$0"
169248,"Central Michigan University","$46,379","$32,930","$7,103,381","$762,867","$34,284,909","$5,604,743","$5,288,040","$122,025","$812,371","$2,165,814","$1,282,156","$805,967","$214,922","$7,295","$74,290","$4,359,672","$2,105,191","$134,372","$620,772","$310,960","$758,017","$1,002,561","$611,469","$4,717,335","$58,715"
199139,"University of North Carolina at Charlotte","$0","$0","$7,347,351","$608,079","$39,381,134","$6,958,335","$5,783,531","$6,402","$727,551","$3,472,883","$1,410,911","$1,608,704","$596,545","$0","$217,985","$2,391,596","$2,493,916","$3,379,277","$364,420","$395,764","$620,286","$997,598","$0","$1,880,746","$0"
201885,"University of Cincinnati-Main Campus","$0","$0","$14,023,267","$903,500","$75,902,262","$10,308,808","$8,626,782","$242,720","$1,244,563","$4,601,941","$1,347,996","$2,476,837","$1,828,890","$0","$338,641","$13,716,380","$1,631,074","$2,617,961","$653,636","$99,270","$940,595","$5,367,631","$4,309,125","$7,441,766","$622,645"
217882,"Clemson University","$0","$0","$24,829,284","$3,252,500","$143,356,820","$19,334,315","$29,870,133","$514,583","$4,315,503","$7,601,004","$3,786,960","$4,839,985","$6,792,476","$626,435","$818,212","$11,359,938","$6,156,059","$0","$1,686,321","$83,687","$3,406,302","$11,943,679","$1,604,788","$14,926,798","$534,656"
218724,"Coastal Carolina University","$0","$0","$9,424,144","$800,419","$45,443,779","$9,801,777","$5,858,441","$0","$724,162","$2,729,961","$1,273,916","$1,689,312","$83,704","$0","$286,940","$2,068,003","$2,867,842","$5,298,286","$180,209","$160,977","$351,974","$349,245","$789,467","$0","$705,000"
126614,"University of Colorado Boulder","$0","$0","$16,592,504","$2,675,007","$95,968,696","$12,119,821","$18,221,731","$953,134","$1,247,057","$4,279,701","$1,643,354","$3,954,962","$821,185","$200,420","$266,685","$7,256,406","$10,334,777","$2,358,054","$1,762,088","$130,550","$1,871,498","$9,279,762","$0","($1,094,866)","$0"
126818,"Colorado State University-Fort Collins","$30,942","$0","$10,683,998","$820,568","$61,220,502","$9,469,746","$7,589,601","$1,589,459","$1,030,814","$3,689,146","$2,127,930","$2,006,996","$782,085","$250,105","$106,719","$12,574,192","$1,521,399","$1,944,899","$554,027","$646,953","$975,029","$2,825,894","$0","$42,728","$0"
129020,"University of Connecticut","$0","$0","$19,716,624","$2,184,500","$96,742,518","$12,889,346","$15,660,755","$12,625,742","$2,422,902","$7,894,202","$2,486,937","$3,323,180","$817,040","$0","$63,824","$7,349,869","$391,114","$0","$1,194,392","$146,154","$1,213,005","$6,362,932","$0","$2,299,442","$0"
198464,"East Carolina University","$0","$0","$10,769,588","$1,388,662","$54,133,021","$8,651,563","$9,091,270","$392,180","$1,067,618","$3,696,376","$1,938,057","$2,148,330","$73,439","$0","$163,872","$5,619,890","$3,375,973","$1,108,507","$488,993","$116,532","$1,510,823","$1,752,656","$653,388","$831,100","$125,304"
169798,"Eastern Michigan University","$0","$0","$6,376,830","$488,000","$33,040,581","$9,526,767","$4,251,023","$0","$685,797","$1,830,860","$1,559,493","$602,743","$992,957","$111,560","$107,195","$392,963","$2,539,800","$550,000","$953,534","$607,032","$154,445","$817,823","$450,036","$0","$41,723"
133669,"Florida Atlantic University","$0","$0","$7,563,874","$742,673","$38,132,721","#NUM!","$5,385,412","$54,033","$537,828","$2,928,181","$1,553,005","$2,493,235","$678,240","$0","$97,901","$2,357,483","$2,209,283","$4,243,014","$1,085,968","$420,451","$903,478","$612,008","$0","$1,068,803","$0"
133951,"Florida International University","$0","$0","$7,139,217","$610,172","$39,433,624","$8,048,411","$5,269,541","$0","$360,629","$2,621,524","$970,895","$1,192,016","$1,131,700","$0","$201,836","$3,343,486","$3,427,122","$2,583,709","$352,215","$492,240","$377,306","$1,311,605","$0","$1,610,261","$0"
134130,"University of Florida","$750,000","$0","$30,580,213","$3,276,612","$174,365,070","$14,256,396","$40,419,397","$17,207,528","$2,966,896","$10,845,140","$4,068,828","$6,502,339","$2,656,556","$717,972","$175,244","$10,773,719","$17,800,561","$0","$2,406,551","$119,610","$3,709,081","$3,402,223","$875,798","$16,052,069","$854,406"
